first_completion_lead,rows,sessions,stocks,one_transition_away_rows,one_transition_away_prefix_prevalence
0,24379,160,20,6049,0.24812338488043
1,447,144,20,447,1
2,365,143,20,254,0.695890410958904
3,327,142,20,200,0.611620795107034
