record_type,first_completion_lead,route_resolution_state,lead_rows,state_rows,state_prevalence,sessions,stocks,mean_active_prefix_count,mean_top_prefix_depth,mean_depth_margin,mean_prefix_family_entropy,mean_orientation_disagreement,mean_recent_loop_memory_weighted_top_depth,one_transition_away_prefix_prevalence
lead_summary,0,ALL,24379,24379,1,160,20,6.22984021913309,0.186294551261771,0.115901900713227,0.531861197058603,0.0908973991966334,0.206274245730618,0.24812338488043
route_state_prevalence,0,BROAD_CONFLICT,24379,3526,0.144632675663481,160,20,6.22984021913309,0.186294551261771,0.115901900713227,0.531861197058603,0.0908973991966334,0.206274245730618,0.24812338488043
route_state_prevalence,0,NARROWING,24379,619,0.025390705115058,160,20,6.22984021913309,0.186294551261771,0.115901900713227,0.531861197058603,0.0908973991966334,0.206274245730618,0.24812338488043
route_state_prevalence,0,DOMINANT_ROUTE,24379,813,0.0333483736002297,160,20,6.22984021913309,0.186294551261771,0.115901900713227,0.531861197058603,0.0908973991966334,0.206274245730618,0.24812338488043
route_state_prevalence,0,LOW_ROUTE_SUPPORT,24379,5579,0.228844497313261,160,20,6.22984021913309,0.186294551261771,0.115901900713227,0.531861197058603,0.0908973991966334,0.206274245730618,0.24812338488043
route_state_prevalence,0,OTHER,24379,13842,0.56778374830797,160,20,6.22984021913309,0.186294551261771,0.115901900713227,0.531861197058603,0.0908973991966334,0.206274245730618,0.24812338488043
lead_summary,1,ALL,447,447,1,144,20,11.3251841116737,0.537133029453859,0.243795961102358,0.833122786398893,0.272121750527788,0.624096521488715,1
route_state_prevalence,1,BROAD_CONFLICT,447,31,0.0693512304250559,144,20,11.3251841116737,0.537133029453859,0.243795961102358,0.833122786398893,0.272121750527788,0.624096521488715,1
route_state_prevalence,1,NARROWING,447,35,0.0782997762863535,144,20,11.3251841116737,0.537133029453859,0.243795961102358,0.833122786398893,0.272121750527788,0.624096521488715,1
route_state_prevalence,1,DOMINANT_ROUTE,447,58,0.129753914988814,144,20,11.3251841116737,0.537133029453859,0.243795961102358,0.833122786398893,0.272121750527788,0.624096521488715,1
route_state_prevalence,1,LOW_ROUTE_SUPPORT,447,0,0,144,20,11.3251841116737,0.537133029453859,0.243795961102358,0.833122786398893,0.272121750527788,0.624096521488715,1
route_state_prevalence,1,OTHER,447,323,0.722595078299776,144,20,11.3251841116737,0.537133029453859,0.243795961102358,0.833122786398893,0.272121750527788,0.624096521488715,1
lead_summary,2,ALL,365,365,1,143,20,10.4363471375981,0.40453963681432,0.18583929078676,0.799649083200562,0.202823299774558,0.467397728677392,0.695890410958904
route_state_prevalence,2,BROAD_CONFLICT,365,76,0.208219178082192,143,20,10.4363471375981,0.40453963681432,0.18583929078676,0.799649083200562,0.202823299774558,0.467397728677392,0.695890410958904
route_state_prevalence,2,NARROWING,365,17,0.0465753424657534,143,20,10.4363471375981,0.40453963681432,0.18583929078676,0.799649083200562,0.202823299774558,0.467397728677392,0.695890410958904
route_state_prevalence,2,DOMINANT_ROUTE,365,21,0.0575342465753425,143,20,10.4363471375981,0.40453963681432,0.18583929078676,0.799649083200562,0.202823299774558,0.467397728677392,0.695890410958904
route_state_prevalence,2,LOW_ROUTE_SUPPORT,365,2,0.00547945205479452,143,20,10.4363471375981,0.40453963681432,0.18583929078676,0.799649083200562,0.202823299774558,0.467397728677392,0.695890410958904
route_state_prevalence,2,OTHER,365,249,0.682191780821918,143,20,10.4363471375981,0.40453963681432,0.18583929078676,0.799649083200562,0.202823299774558,0.467397728677392,0.695890410958904
lead_summary,3,ALL,327,327,1,142,20,9.88929271334403,0.357328226141695,0.163940851594513,0.768515651965391,0.190006677987861,0.427684987232021,0.611620795107034
route_state_prevalence,3,BROAD_CONFLICT,327,79,0.241590214067278,142,20,9.88929271334403,0.357328226141695,0.163940851594513,0.768515651965391,0.190006677987861,0.427684987232021,0.611620795107034
route_state_prevalence,3,NARROWING,327,13,0.0397553516819572,142,20,9.88929271334403,0.357328226141695,0.163940851594513,0.768515651965391,0.190006677987861,0.427684987232021,0.611620795107034
route_state_prevalence,3,DOMINANT_ROUTE,327,16,0.0489296636085627,142,20,9.88929271334403,0.357328226141695,0.163940851594513,0.768515651965391,0.190006677987861,0.427684987232021,0.611620795107034
route_state_prevalence,3,LOW_ROUTE_SUPPORT,327,17,0.0519877675840979,142,20,9.88929271334403,0.357328226141695,0.163940851594513,0.768515651965391,0.190006677987861,0.427684987232021,0.611620795107034
route_state_prevalence,3,OTHER,327,202,0.617737003058104,142,20,9.88929271334403,0.357328226141695,0.163940851594513,0.768515651965391,0.190006677987861,0.427684987232021,0.611620795107034
