experiment_model_version,data_snapshot_id,contract_hash,experiment_run_id,dimension,key,net_contribution_bps,absolute_contribution_share,rank,herfindahl
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,stock,QBTS,-1917.89242984,0.0498714707736,14,0.0807257450655
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,stock,RIVN,-2503.35131229,0.0650953149741,15,0.0807257450655
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,stock,WULF,-2612.70167507,0.0679387817592,16,0.0807257450655
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,stock,ASTS,-3863.3932414,0.100460849695,17,0.0807257450655
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,stock,MARA,-4090.25913756,0.106360104384,18,0.0807257450655
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,stock,RIOT,-4324.33250646,0.112446776918,19,0.0807257450655
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,stock,IREN,-5248.25859788,0.13647187465,20,0.0807257450655
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,period,2025,-10969.2684965,0.466245671463,1,0.50227870939
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,period,2023,-12557.5311456,0.533754328537,2,0.50227870939
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,month,2025-07,3502.3120083,0.105595894165,1,0.241746459666
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,month,2023-07,1084.19758533,0.0326889246883,2,0.241746459666
