experiment_model_version,data_snapshot_id,contract_hash,experiment_run_id,comparison,target_window_sessions,period_slice,treatment_model,control_model,paired_rows,treatment_brier,control_brier,brier_improvement,treatment_log_loss,control_log_loss,log_loss_improvement,brier_interval_lower,brier_interval_upper
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,M3_vs_M1,1,all,M3_directed_family_rotation,M1_destination_own_history,1609,0.0573856429103,0.0574016555564,1.60126461582e-05,0.224567737067,0.224733825028,0.000166087961253,-5.6802567101e-06,3.59136188454e-05
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,M3_vs_M1,1,2023,M3_directed_family_rotation,M1_destination_own_history,814,0.068627738834,0.0686370142273,9.2753932818e-06,0.260663786788,0.260763477372,9.96905834552e-05,-2.02481507094e-05,3.53676030364e-05
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,M3_vs_M1,1,2025,M3_directed_family_rotation,M1_destination_own_history,795,0.0458748679644,0.0458977788796,2.29109151412e-05,0.18760901446,0.187843086654,0.00023407219462,-2.70976929498e-06,5.02185827811e-05
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,M3_vs_M2,1,all,M3_directed_family_rotation,M2_undirected_system_state,1609,0.0573856429103,0.0573860630443,4.20134060489e-07,0.224567737067,0.224571137497,3.40043033864e-06,-1.12269036063e-06,2.15324890307e-06
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,M3_vs_M2,1,2023,M3_directed_family_rotation,M2_undirected_system_state,814,0.068627738834,0.0686281288513,3.90017339042e-07,0.260663786788,0.260667037754,3.25096597464e-06,-1.87888688899e-06,2.93650152503e-06
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,M3_vs_M2,1,2025,M3_directed_family_rotation,M2_undirected_system_state,795,0.0458748679644,0.045875318935,4.50970552637e-07,0.18760901446,0.187612567926,3.55346680703e-06,-1.67688888649e-06,2.72004705866e-06
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,M3_vs_M1,3,all,M3_directed_family_rotation,M1_destination_own_history,1994,0.120485597835,0.120359267634,-0.000126330200545,0.395117368763,0.394737499664,-0.000379869099147,-0.000341559986087,9.26112668686e-05
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,M3_vs_M1,3,2023,M3_directed_family_rotation,M1_destination_own_history,993,0.146623552109,0.146425496492,-0.000198055616492,0.467534149122,0.466923554994,-0.000610594127814,-0.000592312528082,0.000178246364422
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,M3_vs_M1,3,2025,M3_directed_family_rotation,M1_destination_own_history,1001,0.0945565383007,0.094501360286,-5.51780146959e-05,0.323279343891,0.323128355864,-0.000150988026753,-0.000217408227822,9.90937796005e-05
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,M3_vs_M2,3,all,M3_directed_family_rotation,M2_undirected_system_state,1994,0.120485597835,0.120482833843,-2.76399172279e-06,0.395117368763,0.395102818221,-1.45505417415e-05,-1.95316605308e-05,1.42626131904e-05
