experiment_model_version,data_snapshot_id,contract_hash,experiment_run_id,period,graph_freeze_timestamp,graph_as_of_session,source_family,source_event,destination_family,support,activations,raw_transition_probability,destination_base_rate,directed_lift,shrunk_lift,interval_lower,interval_upper,support_status,latest_label_availability_timestamp
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,2023,2023-12-29 14:30:00+00:00,2023-12-29,two_transition_return_cycle__state_5,active,two_transition_return_cycle__state_4,15,5,0.352941176471,0.198795180723,1.77540106952,1.27891401718,0.151983675081,0.586620636451,supported,2023-12-28 20:40:00+00:00
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,2023,2023-12-29 14:30:00+00:00,2023-12-29,two_transition_return_cycle__state_5,active,two_transition_return_cycle__state_6,17,1,0.105263157895,0.177083333333,0.594427244582,0.787421944232,0.0137512156644,0.272943599673,supported,2023-12-28 20:40:00+00:00
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,2023,2023-12-29 14:30:00+00:00,2023-12-29,two_transition_return_cycle__state_5,active,two_transition_return_cycle__state_7,16,2,0.166666666667,0.177777777778,0.9375,0.971723687385,0.0379850680706,0.364409162101,supported,2023-12-28 20:40:00+00:00
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,2023,2023-12-29 14:30:00+00:00,2023-12-29,two_transition_return_cycle__state_5,newly_decaying,two_transition_return_cycle__state_0,9,1,0.181818181818,0.106145251397,1.71291866029,1.18178640172,0.0252107263268,0.445016117028,supported,2023-12-28 20:40:00+00:00
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,2023,2023-12-29 14:30:00+00:00,2023-12-29,two_transition_return_cycle__state_5,newly_decaying,two_transition_return_cycle__state_4,8,2,0.3,0.198795180723,1.50909090909,1.12476435254,0.0748546314197,0.600093573716,supported,2023-12-28 20:40:00+00:00
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,2023,2023-12-29 14:30:00+00:00,2023-12-29,two_transition_return_cycle__state_5,newly_decaying,two_transition_return_cycle__state_6,9,1,0.181818181818,0.177083333333,1.02673796791,1.0082226145,0.0252107263268,0.445016117028,supported,2023-12-28 20:40:00+00:00
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,2023,2023-12-29 14:30:00+00:00,2023-12-29,two_transition_return_cycle__state_5,newly_decaying,two_transition_return_cycle__state_7,10,1,0.166666666667,0.177777777778,0.9375,0.978716910292,0.0228311983,0.412779916988,supported,2023-12-28 20:40:00+00:00
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,2023,2023-12-29 14:30:00+00:00,2023-12-29,two_transition_return_cycle__state_7,active,two_transition_return_cycle__state_0,9,3,0.363636363636,0.106145251397,3.42583732057,1.46541991924,0.12155225812,0.65245285006,supported,2023-12-28 20:40:00+00:00
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,2023,2023-12-29 14:30:00+00:00,2023-12-29,two_transition_return_cycle__state_7,active,two_transition_return_cycle__state_6,9,2,0.272727272727,0.177083333333,1.54010695187,1.14341910889,0.0667395111777,0.556095462308,supported,2023-12-28 20:40:00+00:00
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,2025,2025-12-31 14:30:00+00:00,2025-12-31,two_transition_return_cycle__state_1,active,two_transition_return_cycle__state_7,9,0,0.0909090909091,0.141304347826,0.643356643357,0.872075335581,0.00252857854446,0.308497107819,supported,2025-12-30 23:59:59+00:00
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,2025,2025-12-31 14:30:00+00:00,2025-12-31,two_transition_return_cycle__state_3,active,two_transition_return_cycle__state_7,8,0,0.1,0.141304347826,0.707692307692,0.905937884668,0.0028091367466,0.33626711688,supported,2025-12-30 23:59:59+00:00
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,2025,2025-12-31 14:30:00+00:00,2025-12-31,two_transition_return_cycle__state_4,active,two_transition_return_cycle__state_0,38,6,0.175,0.12865497076,1.36022727273,1.22331571472,0.0753504773167,0.305279924437,supported,2025-12-30 23:59:59+00:00
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,2025,2025-12-31 14:30:00+00:00,2025-12-31,two_transition_return_cycle__state_4,active,two_transition_return_cycle__state_1,10,0,0.0833333333333,0.0116279069767,7.16666666667,1.58740105197,0.00229897221381,0.284914152918,supported,2025-12-30 23:59:59+00:00
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,2025,2025-12-31 14:30:00+00:00,2025-12-31,two_transition_return_cycle__state_4,active,two_transition_return_cycle__state_2,10,0,0.0833333333333,0.101694915254,0.819444444444,0.935778734667,0.00229897221381,0.284914152918,supported,2025-12-30 23:59:59+00:00
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,2025,2025-12-31 14:30:00+00:00,2025-12-31,two_transition_return_cycle__state_4,active,two_transition_return_cycle__state_3,15,0,0.0588235294118,0.0119047619048,4.94117647059,1.81144732853,0.00158111172277,0.205907214208,supported,2025-12-30 23:59:59+00:00
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,2025,2025-12-31 14:30:00+00:00,2025-12-31,two_transition_return_cycle__state_4,active,two_transition_return_cycle__state_5,27,3,0.137931034483,0.100628930818,1.37068965517,1.19858037564,0.0403356307971,0.282264395715,supported,2025-12-30 23:59:59+00:00
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,2025,2025-12-31 14:30:00+00:00,2025-12-31,two_transition_return_cycle__state_4,active,two_transition_return_cycle__state_6,40,6,0.166666666667,0.190217391304,0.87619047619,0.915656013999,0.0715152881523,0.291730488017,supported,2025-12-30 23:59:59+00:00
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,2025,2025-12-31 14:30:00+00:00,2025-12-31,two_transition_return_cycle__state_4,active,two_transition_return_cycle__state_7,46,2,0.0625,0.141304347826,0.442307692308,0.5663445255,0.0133617694973,0.145405245488,supported,2025-12-30 23:59:59+00:00
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,2025,2025-12-31 14:30:00+00:00,2025-12-31,two_transition_return_cycle__state_4,newly_decaying,two_transition_return_cycle__state_0,15,1,0.117647058824,0.12865497076,0.914438502674,0.962391836022,0.0155136038154,0.302320738435,supported,2025-12-30 23:59:59+00:00
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,2025,2025-12-31 14:30:00+00:00,2025-12-31,two_transition_return_cycle__state_4,newly_decaying,two_transition_return_cycle__state_1,9,0,0.0909090909091,0.0116279069767,7.81818181818,1.53761003326,0.00252857854446,0.308497107819,supported,2025-12-30 23:59:59+00:00
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,2025,2025-12-31 14:30:00+00:00,2025-12-31,two_transition_return_cycle__state_4,newly_decaying,two_transition_return_cycle__state_3,8,0,0.1,0.0119047619048,8.4,1.48599428914,0.0028091367466,0.33626711688,supported,2025-12-30 23:59:59+00:00
