period,arm,omitted_dimension,omitted_value,retained_episode_count,retained_session_count,retained_shock_event_count,mean_aligned_return
assessment,continuation,market_shock_event_id_v1,market-shock-v1-74d2429f8aad0c31cbadc160,6,6,6,-0.006304795165819401
assessment,continuation,market_shock_event_id_v1,market-shock-v1-6b0d7ac8a9fe5d54328070c2,6,6,6,-0.0011441370951355205
assessment,continuation,market_shock_event_id_v1,market-shock-v1-7e8cf0c1e40ccd5938041fd5,6,6,6,-0.0018579487815610508
assessment,continuation,market_shock_event_id_v1,market-shock-v1-da5fd2bda08d5e277e5bfdab,6,6,6,-0.0001301952264859426
assessment,continuation,market_shock_event_id_v1,market-shock-v1-08442c4d2099371281d0af32,6,6,6,0.007310774791379205
assessment,continuation,market_shock_event_id_v1,market-shock-v1-188da2aef2ba4991464caa81,6,6,6,0.001486391694251647
assessment,continuation,market_shock_event_id_v1,market-shock-v1-fc8a67cf44f242d0d6eff366,6,6,6,-0.0014962753330041267
assessment,resistance,market_shock_event_id_v1,market-shock-v1-8210618121317d2922634b07,1,1,1,0.005343870860081049
assessment,resistance,market_shock_event_id_v1,market-shock-v1-b3c675a93bccd5bf41bc7c1b,1,1,1,-0.00925963549036415
stress,continuation,market_shock_event_id_v1,market-shock-v1-b4927eb9e03bdcad4dbf81a7,24,15,18,-0.0019672869262542052
stress,continuation,market_shock_event_id_v1,market-shock-v1-92dbb971bd4b2ede4179db14,24,15,18,-0.0024481704832200572
stress,continuation,market_shock_event_id_v1,market-shock-v1-1230ca526aa6cefdba878360,24,15,18,-0.003347191122661393
stress,continuation,market_shock_event_id_v1,market-shock-v1-af2bd5c3e1bbac5ae0c2d7c1,24,15,18,-0.0024582272712198867
stress,continuation,market_shock_event_id_v1,market-shock-v1-2d8606103f79fc350f8a3818,24,15,18,-0.002939651676208272
stress,continuation,market_shock_event_id_v1,market-shock-v1-7ce41425393158f7b2b1700b,22,16,18,-0.00038279284541216987
stress,continuation,market_shock_event_id_v1,market-shock-v1-9671dab7cf31647bd7f04602,22,15,18,-0.00318895006371042
stress,continuation,market_shock_event_id_v1,market-shock-v1-b7e390811d7f4b9663d100a6,24,15,18,-0.0025843800211297666
stress,continuation,market_shock_event_id_v1,market-shock-v1-b6c6f3383aac0450dcb54e36,24,15,18,-0.0026809250113602116
stress,continuation,market_shock_event_id_v1,market-shock-v1-6edccdb23c5f1ed2233e741e,23,15,18,-0.0010656921191046546
stress,continuation,market_shock_event_id_v1,market-shock-v1-94f58939c7fde6b8dd0bc649,24,16,18,-0.0027625594203810797
stress,continuation,market_shock_event_id_v1,market-shock-v1-7e7dbe30d146ec57ab21686f,24,16,18,-0.002392022616499403
stress,continuation,market_shock_event_id_v1,market-shock-v1-91df7bcecddd311ef7b1eef1,24,16,18,-0.001994358511907539
stress,continuation,market_shock_event_id_v1,market-shock-v1-2b511ac0dcaa63eb327e94e3,24,15,18,-0.002630584987822249
stress,continuation,market_shock_event_id_v1,market-shock-v1-01084782cc5e4b5a35da9856,23,16,18,-0.0026288073469691127
stress,continuation,market_shock_event_id_v1,market-shock-v1-2423245724875c8fc6d1c694,24,15,18,-0.0021371498123820393
stress,continuation,market_shock_event_id_v1,market-shock-v1-308f5ca7c71aa5009adead48,24,15,18,-0.00246897640180362
stress,continuation,market_shock_event_id_v1,market-shock-v1-a62f02a0507aa7599acc3aab,24,15,18,-0.0022451751667454107
stress,continuation,market_shock_event_id_v1,market-shock-v1-8cdd46f076481ed3efc29e52,24,16,18,-0.0014993557731042514
stress,resistance,market_shock_event_id_v1,market-shock-v1-4ecf5f2f37252dd345f19818,3,2,2,-0.0039907585828236
stress,resistance,market_shock_event_id_v1,market-shock-v1-94f58939c7fde6b8dd0bc649,3,2,2,0.00594583911109147
stress,resistance,market_shock_event_id_v1,market-shock-v1-66002120ad7ed8c40a7ac2f0,2,2,2,-0.014637784768230612
