period,arm,policy,evaluation_scope,eligible_episode_count,acted_episode_count,abstention_count,unique_shock_event_count,session_count,stock_count,call_count,put_count,material_up_count,material_down_count,no_material_move_count,material_direction_accuracy,accuracy_counting_no_move_as_failure,material_following_prediction_rate,material_opposing_prediction_rate,material_following_minus_opposing_rate,mean_aligned_return,median_aligned_return,positive_session_rate,positive_month_rate,maximum_stock_share,maximum_session_share,maximum_shock_event_share,maximum_checkpoint_share,one_percent_winsorised_mean_aligned_return,support_status,support_pass,negative_shock_action_count,positive_shock_action_count,support_checks_json,session_cluster_lower_95,session_cluster_upper_95,shock_event_cluster_lower_95,shock_event_cluster_upper_95,follow_market_same_acted_mean_aligned_return,resistance_minus_follow_market_same_acted_mean_return,recent_momentum_same_acted_mean_aligned_return,resistance_minus_recent_momentum_mean_return,frozen_a1_same_acted_mean_aligned_return,resistance_minus_frozen_a1_mean_return,decision
assessment,resistance,resistance_v1,resistance_acted,2,2,0,2,2,2,2,0,0,0,2,,0.0,,,,-0.001957882315141551,-0.001957882315141551,0.5,0.5,0.5,0.5,0.5,0.5,-0.0019578823151415506,blocked_insufficient_support,False,2,0,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}",-0.00925963549036415,0.005343870860081049,-0.00925963549036415,0.005343870860081049,0.001957882315141551,-0.003915764630283102,0.0073017531752226,-0.00925963549036415,0.001957882315141551,-0.003915764630283102,blocked_insufficient_support
stress,resistance,resistance_v1,resistance_acted,4,4,0,3,3,3,4,0,1,1,2,0.5,0.25,0.5,0.5,0.0,-0.0029262909939572015,0.0006470707546240127,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,-0.002819090141499766,blocked_insufficient_support,False,4,0,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}",-0.029542681309103216,0.008785202780316208,-0.029542681309103216,0.008785202780316208,0.0029262909939572015,-0.005852581987914403,-0.0030598468802781977,0.00013355588632099624,0.023043028566564802,-0.025969319560522005,blocked_insufficient_support
