period,arm,policy,evaluation_scope,eligible_episode_count,acted_episode_count,abstention_count,unique_shock_event_count,session_count,stock_count,call_count,put_count,material_up_count,material_down_count,no_material_move_count,material_direction_accuracy,accuracy_counting_no_move_as_failure,material_following_prediction_rate,material_opposing_prediction_rate,material_following_minus_opposing_rate,mean_aligned_return,median_aligned_return,positive_session_rate,positive_month_rate,maximum_stock_share,maximum_session_share,maximum_shock_event_share,maximum_checkpoint_share,status
assessment,resistance,frozen_A1,resistance_resisting_acted,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,0.0,,,,0.001957882315141551,0.001957882315141551,0.5,0.5,0.5,0.5,0.5,0.5,
assessment,resistance,always_CALL,resistance_resisting_acted,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,,0.0,,,,-0.001957882315141551,-0.001957882315141551,0.5,0.5,0.5,0.5,0.5,0.5,
assessment,resistance,always_PUT,resistance_resisting_acted,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,0.0,,,,0.001957882315141551,0.001957882315141551,0.5,0.5,0.5,0.5,0.5,0.5,
assessment,resistance,resistance_v1,resistance_resisting_acted,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,,0.0,,,,-0.001957882315141551,-0.001957882315141551,0.5,0.5,0.5,0.5,0.5,0.5,
assessment,all,existing_frozen_D2,all_signed_shock_onsets,,,,,,,,,,,,,,,,,,,,,,,,,blocked_contaminated_or_unreproducible_lineage
assessment,continuation,existing_frozen_D2,continuation_amplifying_acted,,,,,,,,,,,,,,,,,,,,,,,,,blocked_contaminated_or_unreproducible_lineage
assessment,resistance,existing_frozen_D2,resistance_resisting_acted,,,,,,,,,,,,,,,,,,,,,,,,,blocked_contaminated_or_unreproducible_lineage
stress,all,follow_market_shock,all_signed_shock_onsets,29.0,29.0,0.0,21.0,16.0,11.0,8.0,21.0,6.0,6.0,17.0,0.4166666666666667,0.1724137931034483,0.4166666666666667,0.5833333333333334,-0.16666666666666666,-0.0015904276724526057,-0.00026711177264199227,0.6875,0.75,0.27586206896551724,0.13793103448275862,0.10344827586206896,0.5172413793103449,
stress,all,oppose_market_shock,all_signed_shock_onsets,29.0,29.0,0.0,21.0,16.0,11.0,21.0,8.0,6.0,6.0,17.0,0.5833333333333334,0.2413793103448276,0.5833333333333334,0.4166666666666667,0.16666666666666666,0.0015904276724526057,0.00026711177264199227,0.3125,0.25,0.27586206896551724,0.13793103448275862,0.10344827586206896,0.5172413793103449,
stress,all,recent_stock_momentum_5m,all_signed_shock_onsets,29.0,29.0,0.0,21.0,16.0,11.0,12.0,17.0,6.0,6.0,17.0,0.4166666666666667,0.1724137931034483,0.4166666666666667,0.5833333333333334,-0.16666666666666666,-0.002803026753449278,-0.00026711177264199227,0.5625,0.75,0.27586206896551724,0.13793103448275862,0.10344827586206896,0.5172413793103449,
stress,all,trailing_stock_momentum_15m,all_signed_shock_onsets,29.0,28.0,1.0,21.0,16.0,11.0,10.0,18.0,5.0,6.0,17.0,0.36363636363636365,0.14285714285714285,0.36363636363636365,0.6363636363636364,-0.2727272727272727,-0.00314750591964363,-7.595595416336377e-05,0.625,0.5,0.25,0.14285714285714285,0.10714285714285714,0.5357142857142857,
stress,all,frozen_A1,all_signed_shock_onsets,29.0,15.0,14.0,14.0,13.0,7.0,6.0,9.0,3.0,3.0,9.0,0.8333333333333334,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.6666666666666666,0.0043321107818510085,0.0014278671663324862,0.6153846153846154,0.5,0.3333333333333333,0.13333333333333333,0.13333333333333333,0.5333333333333333,
stress,all,always_CALL,all_signed_shock_onsets,29.0,29.0,0.0,21.0,16.0,11.0,29.0,0.0,6.0,6.0,17.0,0.5,0.20689655172413793,0.5,0.5,0.0,0.0014996000530968254,0.0014278671663324862,0.5,0.25,0.27586206896551724,0.13793103448275862,0.10344827586206896,0.5172413793103449,
stress,all,always_PUT,all_signed_shock_onsets,29.0,29.0,0.0,21.0,16.0,11.0,0.0,29.0,6.0,6.0,17.0,0.5,0.20689655172413793,0.5,0.5,0.0,-0.0014996000530968254,-0.0014278671663324862,0.5,0.75,0.27586206896551724,0.13793103448275862,0.10344827586206896,0.5172413793103449,
stress,continuation,follow_market_shock,continuation_amplifying_acted,25.0,25.0,0.0,19.0,16.0,11.0,8.0,17.0,5.0,5.0,15.0,0.4,0.16,0.4,0.6,-0.2,-0.002313102659078175,0.0007150519228554176,0.625,0.5,0.28,0.16,0.12,0.56,
stress,continuation,oppose_market_shock,continuation_amplifying_acted,25.0,25.0,0.0,19.0,16.0,11.0,17.0,8.0,5.0,5.0,15.0,0.6,0.24,0.6,0.4,0.2,0.002313102659078175,-0.0007150519228554176,0.375,0.5,0.28,0.16,0.12,0.56,
stress,continuation,recent_stock_momentum_5m,continuation_amplifying_acted,25.0,25.0,0.0,19.0,16.0,11.0,9.0,16.0,5.0,5.0,15.0,0.4,0.16,0.4,0.6,-0.2,-0.002761935533156651,-0.0011698880323229213,0.5,0.75,0.28,0.16,0.12,0.56,
stress,continuation,trailing_stock_momentum_15m,continuation_amplifying_acted,25.0,25.0,0.0,19.0,16.0,11.0,8.0,17.0,5.0,5.0,15.0,0.4,0.16,0.4,0.6,-0.2,-0.002313102659078175,0.0007150519228554176,0.625,0.5,0.28,0.16,0.12,0.56,
stress,continuation,frozen_A1,continuation_amplifying_acted,25.0,13.0,12.0,12.0,12.0,7.0,5.0,8.0,2.0,2.0,9.0,0.75,0.23076923076923078,0.75,0.25,0.5,0.0014535080457411926,0.0011698880323229213,0.5833333333333334,0.5,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.5384615384615384,
stress,continuation,always_CALL,continuation_amplifying_acted,25.0,25.0,0.0,19.0,16.0,11.0,25.0,0.0,5.0,5.0,15.0,0.5,0.2,0.5,0.5,0.0,0.002207742620625469,0.003418296971659488,0.5,0.25,0.28,0.16,0.12,0.56,
stress,continuation,always_PUT,continuation_amplifying_acted,25.0,25.0,0.0,19.0,16.0,11.0,0.0,25.0,5.0,5.0,15.0,0.5,0.2,0.5,0.5,0.0,-0.002207742620625469,-0.003418296971659488,0.5,0.75,0.28,0.16,0.12,0.56,
stress,continuation,continuation_v1,continuation_amplifying_acted,25.0,25.0,0.0,19.0,16.0,11.0,8.0,17.0,5.0,5.0,15.0,0.4,0.16,0.4,0.6,-0.2,-0.002313102659078175,0.0007150519228554176,0.625,0.5,0.28,0.16,0.12,0.56,
stress,resistance,follow_market_shock,resistance_resisting_acted,4.0,4.0,0.0,3.0,3.0,3.0,0.0,4.0,1.0,1.0,2.0,0.5,0.25,0.5,0.5,0.0,0.0029262909939572015,-0.0006470707546240127,0.3333333333333333,0.5,0.5,0.5,0.5,0.5,
stress,resistance,oppose_market_shock,resistance_resisting_acted,4.0,4.0,0.0,3.0,3.0,3.0,4.0,0.0,1.0,1.0,2.0,0.5,0.25,0.5,0.5,0.0,-0.0029262909939572015,0.0006470707546240127,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,
stress,resistance,recent_stock_momentum_5m,resistance_resisting_acted,4.0,4.0,0.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,0.5,0.0,-0.0030598468802781977,0.00037995898198202045,0.3333333333333333,0.0,0.5,0.5,0.5,0.5,
stress,resistance,trailing_stock_momentum_15m,resistance_resisting_acted,4.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,-1.0,-0.010100866424355752,-0.0010270297366060332,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,
stress,resistance,frozen_A1,resistance_resisting_acted,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.023043028566564802,0.023043028566564802,1.0,1.0,0.5,0.5,0.5,0.5,
stress,resistance,always_CALL,resistance_resisting_acted,4.0,4.0,0.0,3.0,3.0,3.0,4.0,0.0,1.0,1.0,2.0,0.5,0.25,0.5,0.5,0.0,-0.0029262909939572015,0.0006470707546240127,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,
stress,resistance,always_PUT,resistance_resisting_acted,4.0,4.0,0.0,3.0,3.0,3.0,0.0,4.0,1.0,1.0,2.0,0.5,0.25,0.5,0.5,0.0,0.0029262909939572015,-0.0006470707546240127,0.3333333333333333,0.5,0.5,0.5,0.5,0.5,
stress,resistance,resistance_v1,resistance_resisting_acted,4.0,4.0,0.0,3.0,3.0,3.0,4.0,0.0,1.0,1.0,2.0,0.5,0.25,0.5,0.5,0.0,-0.0029262909939572015,0.0006470707546240127,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,
stress,all,existing_frozen_D2,all_signed_shock_onsets,,,,,,,,,,,,,,,,,,,,,,,,,blocked_contaminated_or_unreproducible_lineage
stress,continuation,existing_frozen_D2,continuation_amplifying_acted,,,,,,,,,,,,,,,,,,,,,,,,,blocked_contaminated_or_unreproducible_lineage
stress,resistance,existing_frozen_D2,resistance_resisting_acted,,,,,,,,,,,,,,,,,,,,,,,,,blocked_contaminated_or_unreproducible_lineage
