partition,session,checkpoint,market_proxy_v1,market_shock_state_v1,market_shock_event_id_v1,shock_sign_v1,market_return_w0_v1,market_range_w0_v1,market_return_w1_v1,market_range_w1_v1,fresh_high_m1c_episode_count,represented_stock_count,amplifying_episode_count,resisting_episode_count,neutral_exact_episode_count
development,2024-01-16,30,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-489447c2be7101e9bc4bfed4,-1.0,-0.0014067366087297355,0.0019435700040737933,0.0001796785547212368,0.0014369471218565579,0,0,0,0,0
development,2024-01-17,20,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-ee9265c8cfc04129a646af9e,1.0,0.0013217072575354755,0.0022591131287661185,-0.0008102646745204934,0.0011086735105888801,0,0,0,0,0
development,2024-01-18,28,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-d224b9bf536b2ee9b13aa62a,-1.0,-0.0015273050454836133,0.001993769082637146,0.0008057974609105306,0.0011874932855903703,0,0,0,0,0
development,2024-01-18,32,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-0408f18f0a11a5d52628fda2,-1.0,-0.002484698920974611,0.0029312537748491727,-0.0005513475886752338,0.001485121713696094,0,0,0,0,0
development,2024-01-19,26,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-26ef8dabecf750506e63145f,-1.0,-0.001346682879449096,0.0018173562303716048,0.0006310181202592494,0.0012196153284685456,0,0,0,0,0
development,2024-01-24,16,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-9dee08db64200d61960a88f4,1.0,0.0017735218777738741,0.002659229135558708,0.00026837178979009134,0.0009083860329137082,0,0,0,0,0
development,2024-01-24,18,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-6525e51b47cca7e650577c8b,-1.0,-0.0014666380565789834,0.0021433131280177106,0.0023796460195302173,0.0027627752054238683,0,0,0,0,0
development,2024-01-25,14,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-478b87bc4e80c54f23c18458,-1.0,-0.0021261410627459332,0.0028079178007098652,0.0006187743900635112,0.0016442447945379393,0,0,0,0,0
development,2024-01-25,32,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-26972f78c787161e99dafac1,-1.0,-0.0024378765021661787,0.00260402737310926,0.0003302728800578391,0.0016927051297605635,0,0,0,0,0
development,2024-01-31,32,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-704ae016b78a8af26c5e0f99,1.0,0.0018426441343722868,0.001806591606045333,-0.00041340803072134266,0.0009701488669201492,0,0,0,0,0
development,2024-02-01,18,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-edfade1fc07e2ee06005d5f0,-1.0,-0.003616235232994785,0.004072524769791936,-0.0014510709680444719,0.0016168781554032937,1,1,1,0,0
development,2024-02-01,26,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-926627896fd71eebd12f9b2a,1.0,0.001686891469906103,0.0023108136267399803,0.0008652777891399886,0.001997715842496086,0,0,0,0,0
development,2024-02-01,32,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-e2ad53efca97a6db5b076a55,1.0,0.003313742497872218,0.003645275513452971,0.000556137512558241,0.001120071729174388,0,0,0,0,0
development,2024-02-02,16,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-5dc45330cd2567efb9222c2a,1.0,0.0022564697849295086,0.0039378491265935605,0.0005751848943490403,0.0022177134840455,0,0,0,0,0
development,2024-02-02,24,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-df27e03ce1a8a18d9121321c,1.0,0.0012277636183390236,0.002108129330234192,0.0004095433175834796,0.0017617146198147871,0,0,0,0,0
development,2024-02-02,26,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-9da759b5967a3aa537c4e822,1.0,0.002699952589026511,0.0030775917668667213,-4.0999488057076034e-05,0.0010648729438493532,0,0,0,0,0
development,2024-02-05,8,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-d1fc1e6bcf3c004aa0f3c247,-1.0,-0.002660333937298979,0.0031448809373329557,0.0004945721682568425,0.001432718896155946,0,0,0,0,0
development,2024-02-05,10,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-83af4bd7acfc2bb9be6099e3,-1.0,-0.002443863348500858,0.0036558565305731066,-0.0024379054377964243,0.0026167309764353057,0,0,0,0,0
development,2024-02-06,28,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-2b89f28c15f422a663f59fac,-1.0,-0.0017406692843692578,0.001874193304113264,0.00036809342947997155,0.0008248694001646364,0,0,0,0,0
development,2024-02-07,10,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-3c89720636aa140cd2e968a0,1.0,0.0030850239192817693,0.0037812324509003173,-0.00041327660529866695,0.0015274796664033184,0,0,0,0,0
