period,arm,omitted_dimension,omitted_value,retained_episode_count,retained_session_count,retained_shock_event_count,mean_aligned_return
assessment,continuation,stock,MARA,5,5,5,-0.008511481689870868
assessment,continuation,stock,MRNA,6,6,6,-0.0018579487815610508
assessment,continuation,stock,QBTS,6,6,6,-0.0001301952264859426
assessment,continuation,stock,RGTI,5,5,5,0.01098383680603206
assessment,continuation,stock,RIVN,6,6,6,-0.0014962753330041267
assessment,resistance,stock,CIFR,1,1,1,0.005343870860081049
assessment,resistance,stock,IONQ,1,1,1,-0.00925963549036415
stress,continuation,stock,AAL,24,15,18,-0.0019672869262542052
stress,continuation,stock,CIFR,21,12,15,-0.004531193992788931
stress,continuation,stock,IREN,21,14,17,-0.002557716751865347
stress,continuation,stock,MP,22,16,18,-0.002063758739990644
stress,continuation,stock,MRNA,24,16,18,-0.002392022616499403
stress,continuation,stock,NVTS,18,13,15,8.450492654968661e-05
stress,continuation,stock,RGTI,24,16,19,-0.0027509813544630973
stress,continuation,stock,RIOT,24,16,19,-0.0024392757666587416
stress,continuation,stock,RIVN,24,15,18,-0.0022451751667454107
stress,continuation,stock,SOFI,24,16,19,-0.0027695247100208986
stress,continuation,stock,WULF,24,16,18,-0.0014993557731042514
stress,resistance,stock,CIFR,2,1,1,0.008785202780316208
stress,resistance,stock,NVTS,3,3,3,-0.009416179933285064
stress,resistance,stock,WULF,3,3,3,-0.004244064570811613
