period,arm,policy,evaluation_scope,eligible_episode_count,acted_episode_count,abstention_count,unique_shock_event_count,session_count,stock_count,call_count,put_count,material_up_count,material_down_count,no_material_move_count,material_direction_accuracy,accuracy_counting_no_move_as_failure,material_following_prediction_rate,material_opposing_prediction_rate,material_following_minus_opposing_rate,mean_aligned_return,median_aligned_return,positive_session_rate,positive_month_rate,maximum_stock_share,maximum_session_share,maximum_shock_event_share,maximum_checkpoint_share,one_percent_winsorised_mean_aligned_return,support_status,support_pass,negative_shock_action_count,positive_shock_action_count,support_checks_json,session_cluster_lower_95,session_cluster_upper_95,shock_event_cluster_lower_95,shock_event_cluster_upper_95,follow_market_same_acted_mean_aligned_return,all_shock_follow_mean_aligned_return,amplifying_selection_mean_return_delta_vs_all_shock_follow,all_shock_follow_accuracy_counting_no_move_as_failure,amplifying_selection_accuracy_delta_vs_all_shock_follow,decision
assessment,continuation,continuation_v1,continuation_acted,7,7,0,7,7,5,6,1,2,2,3,0.5,0.2857142857142857,0.5,0.5,0.0,-0.0003051693023393129,0.00472863745443793,0.5714285714285714,0.5,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,-0.00023432455710604053,blocked_insufficient_support,False,1,6,"{""maximum_single_checkpoint_share"":true,""maximum_single_session_share"":true,""maximum_single_shock_event_share"":true,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}",-0.01821105422700505,0.016016763303846764,-0.01866504164288966,0.01578874043584567,-0.0003051693023393129,0.00019773105710087986,-0.0005029003594401928,0.2222222222222222,0.06349206349206349,blocked_insufficient_support
stress,continuation,continuation_v1,continuation_acted,25,25,0,19,16,11,8,17,5,5,15,0.4,0.16,0.4,0.6,-0.2,-0.002313102659078175,0.0007150519228554176,0.625,0.5,0.28,0.16,0.12,0.56,-0.002340920525822783,blocked_insufficient_support,False,17,8,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":true,""maximum_single_shock_event_share"":true,""maximum_single_stock_share"":false,""minimum_market_shock_events"":true,""minimum_negative_actions"":true,""minimum_positive_actions"":true,""minimum_sessions"":true,""minimum_stock_episodes"":false,""minimum_stocks"":true}",-0.007557116672064865,0.003334664946959873,-0.007616503671929624,0.0030868013439292593,-0.002313102659078175,-0.0015904276724526057,-0.0007226749866255692,0.1724137931034483,-0.012413793103448284,blocked_insufficient_support
