period,arm,omitted_dimension,omitted_value,retained_episode_count,retained_session_count,retained_shock_event_count,mean_aligned_return
assessment,continuation,session,2025-04-04,6,6,6,-0.006304795165819401
assessment,continuation,session,2025-05-21,6,6,6,-0.0011441370951355205
assessment,continuation,session,2025-03-05,6,6,6,-0.0018579487815610508
assessment,continuation,session,2025-04-11,6,6,6,-0.0001301952264859426
assessment,continuation,session,2025-04-25,6,6,6,0.007310774791379205
assessment,continuation,session,2025-05-14,6,6,6,0.001486391694251647
assessment,continuation,session,2025-01-07,6,6,6,-0.0014962753330041267
assessment,resistance,session,2025-05-12,1,1,1,0.005343870860081049
assessment,resistance,session,2025-01-02,1,1,1,-0.00925963549036415
stress,continuation,session,2025-11-21,24,15,18,-0.0019672869262542052
stress,continuation,session,2025-09-09,24,15,18,-0.0024481704832200572
stress,continuation,session,2025-10-10,24,15,18,-0.003347191122661393
stress,continuation,session,2025-11-07,24,15,18,-0.0024582272712198867
stress,continuation,session,2025-12-17,24,15,18,-0.002939651676208272
stress,continuation,session,2025-10-07,21,15,17,7.340569486217699e-05
stress,continuation,session,2025-11-14,22,15,18,-0.00318895006371042
stress,continuation,session,2025-11-25,24,15,18,-0.0025843800211297666
stress,continuation,session,2025-12-11,24,15,18,-0.0026809250113602116
stress,continuation,session,2025-10-17,23,15,18,-0.0010656921191046546
stress,continuation,session,2025-11-13,23,15,17,-0.0019329738333345018
stress,continuation,session,2025-11-06,22,15,17,-0.0027292520590600404
stress,continuation,session,2025-10-22,24,15,18,-0.002630584987822249
stress,continuation,session,2025-11-18,24,15,18,-0.0021371498123820393
stress,continuation,session,2025-12-18,24,15,18,-0.00246897640180362
stress,continuation,session,2025-12-12,24,15,18,-0.0022451751667454107
stress,resistance,session,2025-10-10,3,2,2,-0.0039907585828236
stress,resistance,session,2025-11-13,3,2,2,0.00594583911109147
stress,resistance,session,2025-11-21,2,2,2,-0.014637784768230612
