period,arm,policy,evaluation_scope,eligible_episode_count,acted_episode_count,abstention_count,unique_shock_event_count,session_count,stock_count,call_count,put_count,material_up_count,material_down_count,no_material_move_count,material_direction_accuracy,accuracy_counting_no_move_as_failure,material_following_prediction_rate,material_opposing_prediction_rate,material_following_minus_opposing_rate,mean_aligned_return,median_aligned_return,positive_session_rate,positive_month_rate,maximum_stock_share,maximum_session_share,maximum_shock_event_share,maximum_checkpoint_share,checkpoint,support_status,support_checks_json
assessment,continuation,continuation_v1,checkpoint_6,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,6,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
assessment,resistance,resistance_v1,checkpoint_6,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,6,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
assessment,continuation,continuation_v1,checkpoint_8,1,1,0,1,1,1,1,0,0,1,0,0.0,0.0,0.0,1.0,-1.0,-0.04600083386465042,-0.04600083386465042,0.0,0.0,1.0,1.0,1.0,1.0,8,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
assessment,resistance,resistance_v1,checkpoint_8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
assessment,continuation,continuation_v1,checkpoint_10,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,10,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
assessment,resistance,resistance_v1,checkpoint_10,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,10,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
assessment,continuation,continuation_v1,checkpoint_12,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,12,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
assessment,resistance,resistance_v1,checkpoint_12,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,12,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
assessment,continuation,continuation_v1,checkpoint_14,1,1,0,1,1,1,1,0,0,0,1,,0.0,,,,-0.0013550137574595356,-0.0013550137574595356,0.0,0.0,1.0,1.0,1.0,1.0,14,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
assessment,resistance,resistance_v1,checkpoint_14,1,1,0,1,1,1,1,0,0,0,1,,0.0,,,,-0.00925963549036415,-0.00925963549036415,0.0,0.0,1.0,1.0,1.0,1.0,14,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
