legacy_cycle_id,legacy_cycle_path,discovery_rank,dictionary_version,semantic_loop_id,primitive_loop_id,motif_type,repeat_depth,component_loops,supported,migration_status,ambiguity_reason,run_id_v2,git_sha,contract_hash,data_snapshot_hash,source_artifact_hash,dictionary_hash,state_model_version,symbol,session,timestamp,research_only,execution_enabled,order_placement,broker_connected,strategy_promotion
cycle_11,2->5->2,11,legacy_dictionary_v1,loop_p_2-5-2,loop_p_2-5-2,primitive,1,[],True,migrated,,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
cycle_12,0->1->0->1->0,12,legacy_dictionary_v1,loop_r2_0-1-0,loop_p_0-1-0,repeat,2,"['loop_p_0-1-0', 'loop_p_0-1-0']",True,migrated,,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
cycle_13,5->7->5,13,legacy_dictionary_v1,loop_p_5-7-5,loop_p_5-7-5,primitive,1,[],True,migrated,,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
cycle_14,1->3->1->3->1,14,legacy_dictionary_v1,loop_r2_1-3-1,loop_p_1-3-1,repeat,2,"['loop_p_1-3-1', 'loop_p_1-3-1']",True,migrated,,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
cycle_15,1->2->1->3->1,15,legacy_dictionary_v1,loop_c_bbb16cfd,,composite,1,"['loop_p_1-2-1', 'loop_p_1-3-1']",True,migrated,,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
cycle_16,1->2->3->1,16,legacy_dictionary_v1,loop_p_1-2-3-1,loop_p_1-2-3-1,primitive,1,[],True,migrated,,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
cycle_17,1->2->1->2->1,17,legacy_dictionary_v1,loop_r2_1-2-1,loop_p_1-2-1,repeat,2,"['loop_p_1-2-1', 'loop_p_1-2-1']",True,migrated,,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
cycle_18,0->3->1->0,18,legacy_dictionary_v1,loop_p_0-3-1-0,loop_p_0-3-1-0,primitive,1,[],True,migrated,,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
cycle_19,0->1->3->0,19,legacy_dictionary_v1,loop_p_0-1-3-0,loop_p_0-1-3-0,primitive,1,[],True,migrated,,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
cycle_20,2->3->2,20,legacy_dictionary_v1,loop_p_2-3-2,loop_p_2-3-2,primitive,1,[],True,migrated,,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
