period,horizon,selector,age_bin_sessions,filled_trades,mean_net_trade_bps,win_rate
2025,6,loop_current_regime,1-5,789,2.034912502420052,0.5095057034220533
2025,6,loop_current_regime,6-10,421,-0.4371643857109726,0.5320665083135392
2025,6,loop_current_regime,11-20,538,-14.285012695686904,0.45724907063197023
2025,6,loop_current_regime,21-40,557,-24.11507687740967,0.4272890484739677
2025,6,loop_current_regime,41+,304,-5.782200175956484,0.45394736842105265
2025,12,loop_current_regime,1-5,716,12.593293650960224,0.46787709497206703
2025,12,loop_current_regime,6-10,377,-28.951989363288984,0.3978779840848806
2025,12,loop_current_regime,11-20,323,-1.6706407063225452,0.4891640866873065
2025,12,loop_current_regime,21-40,530,-9.721067594537972,0.47358490566037736
2025,12,loop_current_regime,41+,405,-34.65151409055045,0.4419753086419753
2025,24,loop_current_regime,1-5,439,-6.273600746210048,0.4920273348519362
2025,24,loop_current_regime,6-10,183,-27.820978646299924,0.5027322404371585
2025,24,loop_current_regime,11-20,261,38.44103871683684,0.524904214559387
2025,24,loop_current_regime,21-40,389,-9.856847531101678,0.4652956298200514
2025,24,loop_current_regime,41+,616,2.6313402941523503,0.47564935064935066
2023,6,loop_current_regime,1-5,627,9.663674830075486,0.4960127591706539
2023,6,loop_current_regime,6-10,528,-8.133619257190324,0.4753787878787879
2023,6,loop_current_regime,11-20,756,-1.9726719658215248,0.4722222222222222
2023,6,loop_current_regime,21-40,827,6.099179070048508,0.5090689238210399
2023,6,loop_current_regime,41+,683,-13.76279722778751,0.48316251830161056
2023,12,loop_current_regime,1-5,648,2.42592370455263,0.4660493827160494
2023,12,loop_current_regime,6-10,411,-15.597455280146573,0.45985401459854014
2023,12,loop_current_regime,11-20,454,-22.253037135517502,0.42731277533039647
2023,12,loop_current_regime,21-40,590,15.034342787822299,0.4864406779661017
2023,12,loop_current_regime,41+,659,-22.217100555192655,0.464339908952959
2023,24,loop_current_regime,1-5,639,10.080203877455821,0.49608763693270735
2023,24,loop_current_regime,6-10,359,14.343433152217953,0.4818941504178273
2023,24,loop_current_regime,11-20,415,-28.666859859872012,0.4506024096385542
2023,24,loop_current_regime,21-40,394,1.5015555972911039,0.4467005076142132
2023,24,loop_current_regime,41+,535,4.9419330169474085,0.4691588785046729
