period,horizon,selector,score_sessions,accepted_signals,filled_trades,active_signal_fraction,individualized_decision_fraction,mean_net_trade_bps,median_net_trade_bps,win_rate,profit_factor,cumulative_return,annualized_return,annualized_volatility,descriptive_sharpe_zero_rate,maximum_drawdown,mean_daily_return
2025,6,unfiltered,190,8480,7889,1.0,0.0,-5.122037989117982,-10.0,0.47585245278235516,0.926485024406233,-0.1920803778215724,-0.2463999426741461,0.14034227402548302,-1.9447249626132013,-0.23568379791441374,-0.0010830441412986473
2025,6,loop_only,190,2573,2377,0.30341981132075474,0.0,-7.684512982653111,-8.176878191102901,0.48169962137147665,0.8910503012761485,-0.08914734520380918,-0.11648197835005603,0.05704099590349715,-2.142253103334561,-0.10574770073451845,-0.0004849057559188918
2025,6,loop_current_regime,190,2817,2609,0.3321933962264151,0.9791273584905661,-8.222968089866773,-10.0,0.47834419317746263,0.8858949159599578,-0.10313417823845594,-0.1344309832506183,0.06597146845018753,-2.1549264413048057,-0.1171401170080123,-0.0005641415148214875
2025,6,loop_previous_regime,190,2840,2635,0.33490566037735847,0.9218160377358491,-4.342158992195514,-4.658119087407311,0.4876660341555977,0.9381626464562691,-0.0565080707694251,-0.07424756752514783,0.06877908020288613,-1.0873661074821108,-0.09128397895924312,-0.00029677793935084203
2025,6,loop_regime_path,190,2826,2623,0.33325471698113207,0.9069575471698114,-5.833120328669436,-6.69312147441258,0.4822722073961113,0.9179419054595069,-0.07444132746944532,-0.09751283445844283,0.06567495467703778,-1.529340403135634,-0.10116035389917899,-0.0003985688954829184
2025,6,loop_direction,190,2637,2452,0.3109669811320755,0.9632075471698113,-10.899812478204627,-10.0,0.47553017944535075,0.848722048672513,-0.12581728895830335,-0.16334561202041353,0.06368475890149315,-2.7676820782583755,-0.13832486342438333,-0.0006994411344042387
2025,6,loop_volatility,190,2667,2460,0.3145047169811321,0.9745283018867924,-6.87684533595822,-7.006207973242464,0.48292682926829267,0.9014479475541287,-0.08289663591407503,-0.10843136865149872,0.058238900483576814,-1.941350460693037,-0.10644906419766242,-0.00044865919160336416
2025,6,loop_range,190,2673,2476,0.3152122641509434,0.980188679245283,-6.301646960096666,-7.282122863773157,0.484248788368336,0.9097008228827913,-0.07695749381345185,-0.10076543385031644,0.05687295041785876,-1.838865676713935,-0.10098502565720213,-0.00041500681133672186
2025,6,loop_session,190,2639,2459,0.3112028301886792,0.9653301886792452,-3.6248233912142402,-6.091832747167061,0.4843432289548597,0.9467493816607183,-0.045569657257878204,-0.05998569498188844,0.06658415061582794,-0.8958630566724709,-0.1056981964842807,-0.00023670746308188808
2025,6,loop_volume,190,2964,2736,0.34952830188679246,0.966627358490566,-3.9915472541621684,-5.393222655480914,0.48757309941520466,0.9438747020311326,-0.05628060568518456,-0.07395153772206187,0.06620340142495298,-1.1273614208452727,-0.07779423775411343,-0.000296171272600099
2025,6,loop_joint_all,190,2746,2547,0.32382075471698113,0.5653301886792453,-3.801440945639345,-5.247861329661365,0.4884177463682764,0.9458546220329846,-0.0491600256400766,-0.06467284995289913,0.06582646624979653,-0.9828623764480188,-0.0786119902904564,-0.00025673951210892983
2025,12,unfiltered,190,6527,6192,1.0,0.0,-0.3375967441824673,-10.0,0.48094315245478036,0.9962668154011757,-0.025713425502148612,-0.03396020838723379,0.19615974952255555,-0.07889626659554415,-0.20341943091401837,-6.141377735574088e-05
2025,12,loop_only,190,2163,2046,0.3313926765742301,0.0,-0.14382257680254149,-10.0,0.4760508308895406,0.9985075914656275,-0.005558616825592777,-0.007365786556926546,0.11257843460657463,-0.010223330448888904,-0.12767619981349243,-4.567168803181122e-06
