period,horizon,selector,quarter,sessions,cumulative_return,annualized_return,annualized_volatility,descriptive_sharpe_zero_rate,maximum_drawdown,mean_daily_return
2025,6,unfiltered,2025_q2,62,-0.05579686255072425,-0.20813148528132164,0.11391624139900952,-1.991667044455736,-0.10675550363951214,-0.0009003302532645692
2025,6,unfiltered,2025_q3,64,-0.014851853970656914,-0.05721572329792213,0.1297263253883608,-0.3904561384968835,-0.0904085537149284,-0.00020100174631956178
2025,6,unfiltered,2025_q4,64,-0.1314373046659082,-0.4258443844222446,0.17087839575049588,-3.159011604056105,-0.1343456584703655,-0.0021420906153107456
2025,6,loop_only,2025_q2,62,-0.04644580804335707,-0.1757689657936835,0.06303467878114308,-3.034455254265216,-0.054901998565816235,-0.0007590313977315861
2025,6,loop_only,2025_q3,64,-0.03187715616687292,-0.11975976235967756,0.07050124955885305,-1.7742571447438191,-0.059712754393337564,-0.0004963783561236589
2025,6,loop_only,2025_q4,64,-0.013329188128126779,-0.05146500983067104,0.030084060852836637,-1.741262032033687,-0.022837594458673283,-0.00020787394020807702
2025,6,loop_current_regime,2025_q2,62,-0.041116885821193994,-0.1568860503307642,0.07504498761824988,-2.236407815402589,-0.05179143023604049,-0.000665996812762875
2025,6,loop_current_regime,2025_q3,64,-0.021855912293216817,-0.08333392298299225,0.0717316419838428,-1.1775710790845324,-0.05534256129380111,-0.00033519486926753613
2025,6,loop_current_regime,2025_q4,64,-0.04377747688786848,-0.16160063578962736,0.04937585284165977,-3.5440965924344145,-0.04844371759501831,-0.0006944158404947201
2025,6,loop_previous_regime,2025_q2,62,-0.010522898324891283,-0.04208584728179099,0.07617158058197261,-0.5271295576225579,-0.03317906929273817,-0.00015933449037931044
2025,6,loop_previous_regime,2025_q3,64,-0.01003868948535791,-0.038948305509744374,0.06785983184132938,-0.552057956557723,-0.042275984765638985,-0.00014866095277251985
2025,6,loop_previous_regime,2025_q4,64,-0.036805000378050234,-0.13727032115389526,0.06275555528864138,-2.321179418209848,-0.051844594314640946,-0.0005780432671203355
2025,6,loop_regime_path,2025_q2,62,-0.011526741050143174,-0.04602969559577341,0.07617735672575653,-0.5812322414852866,-0.03374221389458909,-0.0001757013325402212
2025,6,loop_regime_path,2025_q3,64,-0.026253629956627167,-0.09945474738376892,0.06413804661683423,-1.601379493234862,-0.04726481208166988,-0.00040757679598547587
2025,6,loop_regime_path,2025_q4,64,-0.03840282688715202,-0.1428918235753941,0.05642557101517818,-2.704038466839699,-0.05015308002468366,-0.000605463946581099
2025,6,loop_direction,2025_q2,62,-0.04422119585530426,-0.16792530253567395,0.05832881831068777,-3.121769808589573,-0.054435006155182486,-0.000722575968146872
2025,6,loop_direction,2025_q3,64,-0.06574415975526848,-0.2349159083887512,0.07791305514825737,-3.396568444781205,-0.07261598865975893,-0.0010501469228296379
2025,6,loop_direction,2025_q4,64,-0.021008329979276597,-0.08020234332348053,0.05230009057019,-1.5723398373256097,-0.03187076721192561,-0.0003263234757906635
2025,6,loop_volatility,2025_q2,62,-0.03617810057937154,-0.13909606215225578,0.06442215108637107,-2.292484483178652,-0.045122564151286904,-0.0005860586576924462
