period,horizon,early_1_10_trades,early_1_10_mean_net_bps,late_21_plus_trades,late_21_plus_mean_net_bps,late_minus_early_mean_net_bps
2025,6,1210,1.1747931884504945,861,-17.642144801635258,-18.81693799008575
2025,12,1093,-1.736598111502681,935,-20.519817146286695,-18.783219034784015
2025,24,622,-12.613102604275078,1005,-2.2023960879609032,10.410706516314175
2023,6,1155,1.527768961611116,1510,-2.8847479573832806,-4.412516918994397
2023,12,1059,-4.568985419820715,1249,-4.620341890357729,-0.051356470537013976
2023,24,998,11.613770319980475,929,3.48282784650114,-8.130942473479335
