archetype,group,actions,mean_pre_entry_displacement,median_pre_entry_displacement,mean_remaining_fraction,median_remaining_fraction,at_least_half_remaining_rate,late_direction_problem
C1,all_actions,121,-0.00012257028790304205,-0.0005930622835840231,0.5442071251067614,0.5578368626958906,0.5619834710743802,False
C1,CALL,54,-0.0003053710716198283,-3.380644517441918e-05,0.583253256381161,0.5945737132356815,0.6481481481481481,False
C1,PUT,67,2.4761687032875095e-05,-0.001179156993630147,0.5127371088557527,0.47892720201880007,0.4925373134328358,False
C1,correct,62,0.0003838522825823883,-3.380644517441918e-05,0.5342579945624452,0.5278662838452255,0.532258064516129,False
C1,incorrect,59,-0.0006547431585826473,-0.0011065689215216386,0.5546621436448561,0.5792741795368905,0.5932203389830508,False
C1,largest_movement_quartile,25,0.004229930486804134,0.006563322007580387,0.7476501167644944,0.7321012137506907,0.96,False
A1,all_actions,140,-0.0012684466729615258,-0.0012368493670849164,0.5515471484694522,0.5723532098080942,0.6214285714285714,False
A1,CALL,66,-0.0012461239643315914,-0.00027277219203519906,0.5630815324629822,0.573103015740454,0.6666666666666666,False
A1,PUT,74,-0.0012883561157936297,-0.001733948123324809,0.541259724907655,0.5717698131727535,0.581081081081081,False
A1,correct,73,-0.00156035747218694,-0.0006654243616867217,0.5823015136798774,0.5743497552097007,0.6712328767123288,False
A1,incorrect,67,-0.000950394608133836,-0.002045755982681261,0.5180386610013766,0.5579803300065586,0.5671641791044776,False
A1,largest_movement_quartile,36,-0.0014714566690212298,-0.0008543720645058203,0.7121949610974756,0.6898334668640451,0.9444444444444444,False
R1,all_actions,103,-0.000580297348039978,-0.0007582146729614215,0.5444631695721625,0.5894585988302681,0.6213592233009708,False
R1,CALL,47,-0.00012702486626727235,-6.761289034883836e-05,0.570052010137133,0.6147022848403665,0.7021276595744681,False
R1,PUT,56,-0.0009607224666706421,-0.0012368493670849164,0.522986821240848,0.5675505889070441,0.5535714285714286,False
R1,correct,52,-0.0008995824301803405,-0.00010241238067884651,0.5539821867577083,0.6225077677014808,0.6346153846153846,False
R1,incorrect,51,-0.00025475177409294247,-0.0011528148128547287,0.534757504990822,0.5792741795368905,0.6078431372549019,False
R1,largest_movement_quartile,18,0.005229027944138352,0.0065150938841513455,0.737503964556696,0.7263226089989462,1.0,False
