archetype,diagnostic,excluded_stock,value
A1,leave_one_stock_out_mean_return,IREN,0.0014549830883673702
A1,leave_one_stock_out_median_return,IREN,0.00035861577279542846
A1,leave_one_stock_out_accuracy,MARA,0.5230769230769231
A1,leave_one_stock_out_mean_return,MARA,0.0017192739619944655
A1,leave_one_stock_out_median_return,MARA,0.00044336072048455733
A1,leave_one_stock_out_accuracy,MP,0.5259259259259259
A1,leave_one_stock_out_mean_return,MP,0.001717186185893246
A1,leave_one_stock_out_median_return,MP,0.0005075334852533129
A1,leave_one_stock_out_accuracy,MRNA,0.5263157894736842
A1,leave_one_stock_out_mean_return,MRNA,0.0019224799435854918
A1,leave_one_stock_out_median_return,MRNA,0.0007140258944621439
A1,leave_one_stock_out_accuracy,MSTR,0.5190839694656488
A1,leave_one_stock_out_mean_return,MSTR,0.0013529352279497986
A1,leave_one_stock_out_median_return,MSTR,0.0004009882466399929
A1,leave_one_stock_out_accuracy,NVTS,0.5190839694656488
A1,leave_one_stock_out_mean_return,NVTS,0.0018203116427948991
A1,leave_one_stock_out_median_return,NVTS,0.00044336072048455733
A1,leave_one_stock_out_accuracy,QBTS,0.5255474452554745
A1,leave_one_stock_out_mean_return,QBTS,0.001736195830936794
A1,leave_one_stock_out_median_return,QBTS,0.0005075334852533129
A1,leave_one_stock_out_accuracy,RGTI,0.5078125
A1,leave_one_stock_out_mean_return,RGTI,0.001250069651562083
A1,leave_one_stock_out_median_return,RGTI,0.0003029238109189643
A1,leave_one_stock_out_accuracy,RIOT,0.5151515151515151
A1,leave_one_stock_out_mean_return,RIOT,0.0015429131809032684
A1,leave_one_stock_out_median_return,RIOT,0.00035861577279542846
A1,leave_one_stock_out_accuracy,RIVN,0.5373134328358209
A1,leave_one_stock_out_mean_return,RIVN,0.002012176092473536
A1,leave_one_stock_out_median_return,RIVN,0.0008563455389022192
A1,leave_one_stock_out_accuracy,SMCI,0.5298507462686567
A1,leave_one_stock_out_mean_return,SMCI,0.001839728685802225
A1,leave_one_stock_out_median_return,SMCI,0.0005717062500220685
A1,leave_one_stock_out_accuracy,SOFI,0.5426356589147286
A1,leave_one_stock_out_mean_return,SOFI,0.0018140353417389454
A1,leave_one_stock_out_median_return,SOFI,0.0009285230363529998
A1,leave_one_stock_out_accuracy,WULF,0.5190839694656488
A1,leave_one_stock_out_mean_return,WULF,0.0015071944418306516
A1,leave_one_stock_out_median_return,WULF,0.0004009882466399929
R1,maximum_stock_share_of_actions,,0.11650485436893204
R1,maximum_month_share_of_actions,,0.1553398058252427
R1,maximum_session_share_of_actions,,0.05825242718446602
R1,leave_one_stock_out_accuracy,AAL,0.5053763440860215
R1,leave_one_stock_out_mean_return,AAL,-0.00014366494780784837
R1,leave_one_stock_out_median_return,AAL,0.00014333092668482856
R1,leave_one_stock_out_accuracy,AAOI,0.4897959183673469
R1,leave_one_stock_out_mean_return,AAOI,-0.000499439445940197
