period,model,rows,stocks,sessions,log_loss,brier_score,auc,average_precision,log_loss_improvement_vs_M0,brier_score_improvement_vs_M0,auc_improvement_vs_M0,average_precision_improvement_vs_M0
assessment,M0,13914,20,154,0.5664147518665081,0.1902995633319495,0.6114228235744024,0.3547849350670777,0.0,0.0,0.0,0.0
assessment,M1C,13914,20,154,0.5489855237780167,0.1834092449685779,0.6619524923252962,0.41496186802961427,0.017429228088491455,0.006890318363371589,0.05052966875089382,0.06017693296253657
opened_retrospective_stress,M0,18136,20,68,0.5649141424934444,0.1894504462133314,0.6081978631546369,0.3531870513851727,0.0,0.0,0.0,0.0
opened_retrospective_stress,M1C,18136,20,68,0.5454509227470229,0.18226817552863955,0.66610742351478,0.40536440850135064,0.019463219746421512,0.007182270684691849,0.057909560360143164,0.052177357116177936
