category,episodes,future_up_rate,directional_accuracy,mean_aligned_return,median_aligned_return,iv_excess_rate,mean_remaining_fraction
Continuation only,41,0.4634146341463415,0.5121951219512195,0.001782513070326923,0.0009354070124387116,0.43902439024390244,0.5858055712672389
Absorption/reversal only,65,0.5230769230769231,0.49230769230769234,0.0025551918399407516,-0.0009659415296385862,0.6461538461538462,0.5600745664808712
Relative strength only,29,0.5517241379310345,0.5172413793103449,-0.000634440831510228,0.0013650641595786786,0.5517241379310345,0.6099993543641365
Two archetypes agree,60,0.6440677966101694,0.4915254237288136,0.0017172787984707164,-0.00031530823627516245,0.4166666666666667,0.5134205993815256
All three agree,34,0.6176470588235294,0.5588235294117647,-0.001065382004515265,0.0009285230363529998,0.4117647058823529,0.5441584887198525
Archetypes conflict,3,0.3333333333333333,,,,0.6666666666666666,0.5901780483492166
All abstain,185,0.48333333333333334,,,,0.4864864864864865,0.5237019799319641
