archetype,horizon_minutes,episodes,actions,action_coverage,abstention_rate,call_count,put_count,call_put_balance,directional_accuracy,balanced_accuracy,mean_aligned_return,median_aligned_return,positive_aligned_return_rate,trimmed_mean_aligned_return,mean_favourable_excursion,mean_adverse_excursion,favourable_adverse_excursion_ratio,percent_total_absolute_movement_captured,abstentions,mean_winner,mean_loser,payoff_ratio
C1,5,417,121,0.290167865707434,0.709832134292566,54,67,0.8059701492537313,0.4583333333333333,0.4671428571428572,-0.001126380671352238,-0.0007887387832542317,0.45454545454545453,-0.0010759854310226952,0.006745862139321584,0.0073139979121186,0.9223221308477995,0.42164332952836475,296,0.006667256062558233,-0.007738325302681901,0.8615890133550649
C1,10,417,121,0.290167865707434,0.709832134292566,54,67,0.8059701492537313,0.512396694214876,0.522394366197183,0.0007087767660607461,0.0003029238109189643,0.512396694214876,-0.00010413134783846246,0.009843111211884952,0.009516672930308162,1.0343017232983984,0.5374954402968399,296,0.009914469579830276,-0.008965002122985202,1.1059082244287208
C1,15,417,121,0.290167865707434,0.709832134292566,54,67,0.8059701492537313,0.5333333333333333,0.5475910693301997,0.0003954578975649383,0.0007442997582697541,0.5289256198347108,-0.00012074867749902675,0.011462043018376153,0.010848414980722025,1.0565638426207482,0.5192448751831286,296,0.010086320728890485,-0.010672752161493456,0.9450534010600589
C1,30,417,121,0.290167865707434,0.709832134292566,54,67,0.8059701492537313,0.4380165289256198,0.439311098961181,0.00014165893599199107,-0.0013712664349825197,0.4380165289256198,-0.0009569642579659457,0.016086357585297615,0.015230644582323491,1.056183636769205,0.5044854048545494,296,0.018187392445149105,-0.01392339806379223,1.3062466764090717
A1,5,417,140,0.33573141486810554,0.6642685851318945,66,74,0.8918918918918919,0.4892086330935252,0.4930643127364439,0.0009538181939908342,-0.0002709173413491465,0.4857142857142857,0.00046756296068225795,0.008040527088702192,0.006823859407436245,1.1782961237360918,0.5609469863839053,277,0.00903700063186998,-0.006774387264907632,1.3339952793491794
A1,10,417,140,0.33573141486810554,0.6642685851318945,66,74,0.8918918918918919,0.5251798561151079,0.530168776371308,0.0017606225171078937,0.0005075334852533129,0.5214285714285715,0.0010713506919621896,0.011311522846656662,0.009149775518389209,1.2362623349526747,0.5858315113223569,277,0.011523048780174525,-0.0090105364932975,1.278841586041626
A1,15,417,140,0.33573141486810554,0.6642685851318945,66,74,0.8918918918918919,0.4928571428571429,0.4956709956709957,0.0012116503654349047,-0.00039668990390382856,0.4928571428571429,0.0007910396971898367,0.01292247767001948,0.010571031238790123,1.2224424824893891,0.5563957683386003,277,0.012127284536730691,-0.009396501153148322,1.290617043415933
A1,30,417,140,0.33573141486810554,0.6642685851318945,66,74,0.8918918918918919,0.4857142857142857,0.4865196078431372,0.0011915499642832816,-0.0007144138438329611,0.4857142857142857,0.000634948268062972,0.016606907745922994,0.014893389878423927,1.1150522400532497,0.5411335546165412,277,0.01613650988907834,-0.012923134409134274,1.2486529489063272
R1,5,417,103,0.24700239808153476,0.7529976019184652,47,56,0.8392857142857143,0.4117647058823529,0.4157608695652174,-0.0012595130024314046,-0.0017125417485925045,0.4077669902912621,-0.0013706373459225144,0.006557714717509815,0.007442038276146202,0.8811718610113993,0.4089981600610246,314,0.006941155516617539,-0.007020972849139521,0.9886315850755975
R1,10,417,103,0.24700239808153476,0.7529976019184652,47,56,0.8392857142857143,0.5098039215686274,0.519047619047619,-0.00014472528247138684,0.0002866618533696571,0.5048543689320388,-0.000255013642923747,0.009482741671838995,0.009824890047839688,0.9651753480868801,0.49210216556554376,314,0.00893090649289831,-0.009586276834505301,0.9316345278859441
R1,15,417,103,0.24700239808153476,0.7529976019184652,47,56,0.8392857142857143,0.5490196078431373,0.5524177949709864,0.00039354955870215803,0.000578115086614564,0.5436893203883495,0.00048742652251633365,0.010939002202012034,0.011424257996445896,0.9575240865021758,0.5181544849850038,314,0.0103298486939241,-0.011694259180726682,0.8833264710729801
R1,30,417,103,0.24700239808153476,0.7529976019184652,47,56,0.8392857142857143,0.44660194174757284,0.44860166288737713,-0.0018243185243601336,-0.0020347244751218792,0.44660194174757284,-0.00206273371850417,0.013682244044328433,0.015591598807184352,0.8775395142943185,0.4328693908931273,314,0.013170017579380388,-0.01392501081860687,0.9457814971161355
