archetype,subgroup_type,subgroup,episodes,actions,directional_accuracy,balanced_accuracy,mean_aligned_return,median_aligned_return,positive_return_rate,mean_remaining_fraction
C1,checkpoint_group,early,401,114,0.5087719298245614,0.514386189258312,0.0007343274647430481,0.0002947928321443107,0.5087719298245614,0.5504686007415943
C1,checkpoint_group,middle,15,7,0.5714285714285714,0.5,0.00029266538752039696,0.0009354070124387116,0.5714285714285714,0.4422345219109095
C1,checkpoint_group,late,1,0,,,,,,
C1,prior_close_atm_iv_group,low,224,65,0.47692307692307695,0.4817073170731707,-0.0006909065209157553,-0.0007751163479208962,0.47692307692307695,0.5449073632383794
C1,prior_close_atm_iv_group,high,193,56,0.5535714285714286,0.5602564102564103,0.002333409152729899,0.0008958762756704654,0.5535714285714286,0.5433943487039904
C1,movement_gate_probability_group,low,204,62,0.5645161290322581,0.5666666666666667,0.0009498203938117862,0.0008958762756704654,0.5645161290322581,0.5128883525271034
C1,movement_gate_probability_group,high,213,59,0.4576271186440678,0.46794871794871795,0.00045547668266134744,-0.0008841482397566057,0.4576271186440678,0.5771183776480969
C1,stock_local_volatility_group,low,222,63,0.5079365079365079,0.516629711751663,0.00040236813168662656,0.0005717062500220685,0.5079365079365079,0.5682535192252336
C1,stock_local_volatility_group,high,195,58,0.5172413793103449,0.5202380952380952,0.0010415999378809095,0.0002947928321443107,0.5172413793103449,0.5180877659780758
C1,decision,CALL,54,54,0.6111111111111112,0.5,0.004892233411790144,0.0032976274625628422,0.6111111111111112,0.583253256381161
C1,decision,PUT,67,67,0.43283582089552236,0.5,-0.0026629644110942913,-0.0020603716787540634,0.43283582089552236,0.5127371088557527
A1,checkpoint_group,early,401,130,0.5348837209302325,0.5362407862407862,0.001991710985316912,0.0007140258944621439,0.5307692307692308,0.5493888362426147
A1,checkpoint_group,middle,15,9,0.4444444444444444,0.4,-0.0007183805910911862,-0.00260078186915901,0.4444444444444444,0.5954539970299826
A1,checkpoint_group,late,1,1,0.0,,-0.005969850376272778,-0.005969850376272778,0.0,0.43696610091352217
A1,prior_close_atm_iv_group,low,224,77,0.5526315789473685,0.5588442565186751,0.001668760143993757,0.0010007005338037805,0.5454545454545454,0.5494327569692964
A1,prior_close_atm_iv_group,high,193,63,0.49206349206349204,0.49537037037037035,0.0018728987509140612,-0.0004767580770522911,0.49206349206349204,0.5541314047474202
A1,movement_gate_probability_group,low,204,77,0.5584415584415584,0.5582655826558266,0.00391076294091176,0.0010708550014930276,0.5584415584415584,0.5408091333515241
A1,movement_gate_probability_group,high,213,63,0.4838709677419355,0.5021929824561404,-0.0008673268897634986,-0.0009659415296385862,0.47619047619047616,0.5646713891691417
A1,stock_local_volatility_group,low,222,66,0.5384615384615384,0.532051282051282,0.0023282678052733144,0.0008212806257575481,0.5303030303030303,0.5875563573352585
A1,stock_local_volatility_group,high,195,74,0.5135135135135135,0.5213235294117647,0.0012543442871225192,0.00033076979185719637,0.5135135135135135,0.5194308270485977
A1,decision,CALL,66,66,0.6,0.5,0.0036140051963512838,0.002743512013761047,0.5909090909090909,0.5630815324629822
A1,decision,PUT,74,74,0.4594594594594595,0.5,0.0001076055329178437,-0.0019838005077533584,0.4594594594594595,0.541259724907655
R1,checkpoint_group,early,401,94,0.5053763440860215,0.5067567567567568,-0.0002857149246817605,0.00014333092668482856,0.5,0.5457049216929454
R1,checkpoint_group,middle,15,8,0.625,0.5,0.002240043650225679,0.002199016898854762,0.625,0.5433097157352926
R1,checkpoint_group,late,1,1,0.0,,-0.005969850376272778,-0.005969850376272778,0.0,0.43696610091352217
R1,prior_close_atm_iv_group,low,224,51,0.54,0.5516934046345812,-0.00015092441981452606,0.0010007005338037805,0.5294117647058824,0.5498337376641198
R1,prior_close_atm_iv_group,high,193,52,0.4807692307692308,0.48370370370370375,-0.00013864535930792343,-0.0010235599653337522,0.4807692307692308,0.5391958816358199
R1,movement_gate_probability_group,low,204,54,0.5370370370370371,0.5458333333333334,0.00034201180038969785,0.0007140258944621439,0.5370370370370371,0.511298272031262
R1,movement_gate_probability_group,high,213,49,0.4791666666666667,0.48333333333333334,-0.000681129414604011,-0.00031530823627516245,0.46938775510204084,0.5810122403315223
R1,stock_local_volatility_group,low,222,46,0.5333333333333333,0.532563025210084,0.00013517932011043512,0.0008212806257575481,0.5217391304347826,0.5383837264423043
R1,stock_local_volatility_group,high,195,57,0.49122807017543857,0.503125,-0.00037061320736198007,-0.0007751163479208962,0.49122807017543857,0.5493693868348553
R1,decision,CALL,47,47,0.6086956521739131,0.5,0.003333488643503368,0.0027008796095011884,0.5957446808510638,0.570052010137133
R1,decision,PUT,56,56,0.42857142857142855,0.5,-0.0030639405417716265,-0.0031202222510236226,0.42857142857142855,0.522986821240848
