baseline,conditional_on_archetype,episodes,predictions,directional_accuracy,balanced_accuracy,mean_aligned_return,median_aligned_return,positive_aligned_return_rate
B1_always_UP,all_assessment,417,411,0.5255474452554745,0.5,0.0016011365349372314,0.0008575051996508409,0.5255474452554745
B1_always_UP,C1,121,121,0.5867768595041323,0.5,0.0036578447915701262,0.002671246130689552,0.5867768595041323
B1_always_UP,A1,140,139,0.5683453237410072,0.5,0.001658716068512693,0.0022158218682817813,0.5683453237410072
B1_always_UP,R1,103,102,0.5882352941176471,0.5,0.0032181827116065627,0.0029013406000333733,0.5882352941176471
B2_five_minute_momentum,all_assessment,417,405,0.4740740740740741,0.4740802267064054,-3.8857110452948976e-05,-0.000968078499710624,0.4740740740740741
B2_five_minute_momentum,C1,121,118,0.5169491525423728,0.5279411764705882,-0.00082980600731983,0.00030911602359706334,0.5169491525423728
B2_five_minute_momentum,A1,140,137,0.48905109489051096,0.4792207792207792,0.000767275527336687,-0.0008563455389022192,0.48905109489051096
B2_five_minute_momentum,R1,103,99,0.48484848484848486,0.49624060150375937,-0.0012480247522563164,-0.0013650641595786786,0.48484848484848486
B3_ten_minute_momentum,all_assessment,417,411,0.5085158150851582,0.5084757834757835,0.00040407256891772234,0.0003029238109189643,0.5085158150851582
B3_ten_minute_momentum,C1,121,121,0.5454545454545454,0.5623943661971831,-2.4628650380648035e-05,0.0007751163479208962,0.5454545454545454
B3_ten_minute_momentum,A1,140,139,0.5251798561151079,0.5101265822784811,0.0020112680978972178,0.0007751163479208962,0.5251798561151079
B3_ten_minute_momentum,R1,103,102,0.5098039215686274,0.5154761904761905,-0.0001680447634290893,0.0003009850448224098,0.5098039215686274
B4_market_direction,all_assessment,417,411,0.4744525547445255,0.47207977207977203,-0.0009818996604457459,-0.0006897578674241791,0.4744525547445255
B4_market_direction,C1,121,121,0.5041322314049587,0.5035211267605634,0.00010266861690930222,0.0003029238109189643,0.5041322314049587
B4_market_direction,A1,140,139,0.5035971223021583,0.4951476793248945,-8.474183476771418e-05,0.0003029238109189643,0.5035971223021583
B4_market_direction,R1,103,102,0.46078431372549017,0.45952380952380956,-0.001726069240557609,-0.0008879084408623384,0.46078431372549017
B5_simple_relative_strength,all_assessment,417,411,0.5158150851581509,0.5151709401709401,0.0006399833057657145,0.000392233831301977,0.5158150851581509
B5_simple_relative_strength,C1,121,121,0.5619834710743802,0.5735211267605633,0.0004993449240985476,0.0008841482397566057,0.5619834710743802
B5_simple_relative_strength,A1,140,139,0.5611510791366906,0.5477848101265823,0.0025067778708759087,0.0019072293367526538,0.5611510791366906
B5_simple_relative_strength,R1,103,102,0.5392156862745098,0.5404761904761906,0.00043965025118188967,0.0006734112989714824,0.5392156862745098
B6_beta_adjusted_residual_direction,all_assessment,417,411,0.49878345498783455,0.4979700854700855,0.0002263733866850683,-3.268556054166005e-05,0.49878345498783455
B6_beta_adjusted_residual_direction,C1,121,121,0.5454545454545454,0.5594366197183098,0.00018638254071621602,0.0007751163479208962,0.5454545454545454
B6_beta_adjusted_residual_direction,A1,140,139,0.5179856115107914,0.5037974683544304,0.001279983679034347,0.0005717062500220685,0.5179856115107914
B6_beta_adjusted_residual_direction,R1,103,102,0.5,0.5071428571428571,-0.0001582817149952249,-0.000284841842766281,0.5
