archetype,subgroup,episodes,actions,directional_accuracy,balanced_accuracy,mean_aligned_return,median_aligned_return,positive_return_rate,mean_remaining_fraction
C1,ten_minute_iv_excess,207,52,0.4807692307692308,0.47815126050420165,0.0016634685924313125,-0.006693778464249717,0.4807692307692308,0.7049875109933014
C1,non_iv_excess,210,69,0.5362318840579711,0.5404040404040404,-1.0701132073594069e-05,0.00035861577279542846,0.5362318840579711,0.4230392980618325
C1,largest_absolute_movement_quartile,102,25,0.56,0.5441176470588236,0.005512666839295542,0.015385468931574475,0.56,0.7476501167644944
A1,ten_minute_iv_excess,207,75,0.56,0.563049853372434,0.0035768251877411218,0.007768915392832859,0.56,0.673025400320425
A1,non_iv_excess,210,65,0.484375,0.49014778325123154,-0.00033499594900736904,-0.0004767580770522911,0.47692307692307695,0.4113799347952524
A1,largest_absolute_movement_quartile,102,36,0.6666666666666666,0.6625386996904025,0.008522987585753867,0.015685928962649937,0.6666666666666666,0.7121949610974756
R1,ten_minute_iv_excess,207,45,0.5111111111111111,0.5,0.0002416849690989007,0.004823513298698382,0.5111111111111111,0.687445191750793
R1,non_iv_excess,210,58,0.5087719298245614,0.5148148148148148,-0.00044452633972419614,0.00014333092668482856,0.5,0.4335288420197769
R1,largest_absolute_movement_quartile,102,18,0.5555555555555556,0.5076923076923077,0.001768539835640081,0.017111738463106912,0.5555555555555556,0.737503964556696
