slice_type,slice_value,timing,source_opportunities,gross_payoff_bps,total_costs_bps,trade_count,net_payoff_bps,mean_net_payoff_bps,median_net_payoff_bps,positive_rate,profit_factor,maximum_drawdown_bps,population,run_id,contract_hash,data_snapshot_hash,model_version
all,all,T0_full_source,1663,40301.7636634,16630,1663,23671.7636634,14.2343738204,-4.44562647754,0.493686109441,1.12289671147,-10192.7873712,named,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
all,all,T1_available_unpaired_context,1663,14989.7700346,8080,808,6909.77003457,8.55169558733,-1.86097475451,0.49504950495,1.0764318675,-6968.80596651,named,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
period,2023,T0_full_source,854,17112.0271522,8540,854,8572.02715218,10.0375025201,-10,0.487119437939,1.08361936773,-10192.7873712,named,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
period,2023,T1_available_unpaired_context,854,0,0,0,0,,,,,0,named,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
period,2025,T0_full_source,809,23189.7365112,8090,809,15099.7365112,18.6646928445,1.68831320628,0.500618046972,1.16758371201,-4976.51970297,named,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
period,2025,T1_available_unpaired_context,809,14989.7700346,8080,808,6909.77003457,8.55169558733,-1.86097475451,0.49504950495,1.0764318675,-6968.80596651,named,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
loop_id,cycle_04,T0_full_source,228,8735.29450604,2280,228,6455.29450604,28.3126952019,12.2246102342,0.526315789474,1.36473465484,-3260.7385074,named,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
loop_id,cycle_04,T1_available_unpaired_context,228,3800.99909898,960,96,2840.99909898,29.5937406143,24.9188477984,0.53125,1.39348904812,-1852.92143736,named,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
loop_id,cycle_07,T0_full_source,1435,31566.4691573,14350,1435,17216.4691573,11.9975394824,-10,0.48850174216,1.09842678416,-10846.9077168,named,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
loop_id,cycle_07,T1_available_unpaired_context,1435,11188.7709356,7120,712,4068.77093559,5.71456592077,-8.90859288682,0.490168539326,1.04891273469,-7820.73779135,named,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
