slice_type,slice_value,source_opportunities,exact_t0_opportunities,exact_t1_opportunities,paired_opportunities,pairing_rate,t0_net_payoff_bps,t1_net_payoff_bps,t0_mean_net_payoff_bps,t1_mean_net_payoff_bps,t0_median_net_payoff_bps,t1_median_net_payoff_bps,t0_positive_rate,t1_positive_rate,t0_profit_factor,t1_profit_factor,t0_maximum_drawdown_bps,t1_maximum_drawdown_bps,paired_total_difference_bps,paired_mean_difference_bps,paired_median_difference_bps,opportunities_improved_fraction,opportunities_worsened_fraction,opportunities_unchanged_fraction,paired_sign_test_pvalue,sessions,sessions_improved_fraction,observed_session_mean_delta_bps,bootstrap_lower_95_bps,bootstrap_upper_95_bps,run_id,contract_hash,data_snapshot_hash,model_version
period,2023,854,854,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
period,2025,809,809,808,808,0.998763906057,15087.3164813,6909.77003457,18.6724213877,8.55169558733,0.640779964482,-1.86097475451,0.5,0.49504950495,1.1674458689,1.0764318675,-4642.76384025,-7335.08639211,-8177.54644671,-10.1207258004,-4.76222873905,0.455445544554,0.52103960396,0.0235148514851,0.0640654541168,168,0.410714285714,-10.8122983145,-18.5366208272,-3.29017944523,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
