slice_type,slice_value,entry_move_cell,opportunities,mean_direction_adjusted_entry_move_bps,median_direction_adjusted_entry_move_bps,mean_paired_difference_bps,total_paired_difference_bps,opportunities_improved_fraction,move_delta_spearman_rho,move_delta_spearman_pvalue,run_id,contract_hash,data_snapshot_hash,model_version
all,all,all,808,10.1762646976,4.73094136329,-10.1207258004,-8177.54644671,0.455445544554,-0.999863986501,0,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
all,all,adverse_before_t1,368,-53.8808697248,-37.4192188557,54.0521037243,19891.1741705,1,-0.999863986501,0,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
all,all,favourable_before_t1,421,66.6284606517,44.808464586,-66.6715454092,-28068.7206173,0,-0.999863986501,0,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
all,all,unchanged_before_t1,19,0,0,0,0,0,-0.999863986501,0,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
period,2025,all,808,10.1762646976,4.73094136329,-10.1207258004,-8177.54644671,0.455445544554,-0.999863986501,0,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
period,2025,adverse_before_t1,368,-53.8808697248,-37.4192188557,54.0521037243,19891.1741705,1,-0.999863986501,0,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
period,2025,favourable_before_t1,421,66.6284606517,44.808464586,-66.6715454092,-28068.7206173,0,-0.999863986501,0,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
period,2025,unchanged_before_t1,19,0,0,0,0,0,-0.999863986501,0,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
loop_id,cycle_04,all,96,1.14240101763,-2.32018583018,-1.15554436109,-110.932258665,0.5,-0.999687966355,1.93662597606e-152,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
loop_id,cycle_04,adverse_before_t1,48,-30.1877521366,-26.3193553645,30.1664239216,1447.98834824,1,-0.999687966355,1.93662597606e-152,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
loop_id,cycle_04,favourable_before_t1,43,36.2484325639,27.4777431764,-36.2539676024,-1558.9206069,0,-0.999687966355,1.93662597606e-152,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
loop_id,cycle_04,unchanged_before_t1,5,0,0,0,0,0,-0.999687966355,1.93662597606e-152,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
loop_id,cycle_07,all,712,11.3943137331,6.6901121586,-11.3295143091,-8066.61418805,0.449438202247,-0.999847465243,0,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
loop_id,cycle_07,adverse_before_t1,320,-57.434837363,-41.0101457586,57.6349556947,18443.1858223,1,-0.999847465243,0,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
loop_id,cycle_07,favourable_before_t1,378,70.0843897728,46.525021391,-70.1317460591,-26509.8000104,0,-0.999847465243,0,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
loop_id,cycle_07,unchanged_before_t1,14,0,0,0,0,0,-0.999847465243,0,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
orientation,state_4,all,96,1.14240101763,-2.32018583018,-1.15554436109,-110.932258665,0.5,-0.999687966355,1.93662597606e-152,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
orientation,state_4,adverse_before_t1,48,-30.1877521366,-26.3193553645,30.1664239216,1447.98834824,1,-0.999687966355,1.93662597606e-152,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
orientation,state_4,favourable_before_t1,43,36.2484325639,27.4777431764,-36.2539676024,-1558.9206069,0,-0.999687966355,1.93662597606e-152,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
orientation,state_4,unchanged_before_t1,5,0,0,0,0,0,-0.999687966355,1.93662597606e-152,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
orientation,state_5,all,712,11.3943137331,6.6901121586,-11.3295143091,-8066.61418805,0.449438202247,-0.999847465243,0,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
orientation,state_5,adverse_before_t1,320,-57.434837363,-41.0101457586,57.6349556947,18443.1858223,1,-0.999847465243,0,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
orientation,state_5,favourable_before_t1,378,70.0843897728,46.525021391,-70.1317460591,-26509.8000104,0,-0.999847465243,0,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
orientation,state_5,unchanged_before_t1,14,0,0,0,0,0,-0.999847465243,0,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
direction_label,long,all,550,14.3056578486,7.7569624188,-14.2552024975,-7840.36137361,0.44,-0.999826534076,0,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
direction_label,long,adverse_before_t1,242,-56.7064020672,-43.8100228826,56.9330124764,13777.7890193,1,-0.999826534076,0,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
direction_label,long,favourable_before_t1,296,72.942774044,52.9225173991,-73.0342918679,-21618.1503929,0,-0.999826534076,0,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
direction_label,long,unchanged_before_t1,12,0,0,0,0,0,-0.999826534076,0,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
direction_label,short,all,258,1.37329480192,0,-1.30691888799,-337.185073101,0.488372093023,-0.999800150446,0,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
direction_label,short,adverse_before_t1,126,-48.4540536386,-29.32994262,48.5189297719,6113.38515126,1,-0.999800150446,0,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
direction_label,short,favourable_before_t1,125,51.6761665389,33.5105153686,-51.6045617949,-6450.57022436,0,-0.999800150446,0,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
direction_label,short,unchanged_before_t1,7,0,0,0,0,0,-0.999800150446,0,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
t0_outcome,positive,all,404,23.6245918874,18.137570514,-23.9840498914,-9689.55615612,0.366336633663,-0.999818919541,0,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
t0_outcome,positive,adverse_before_t1,148,-51.3298219464,-40.7552470495,51.9639039211,7690.65778032,1,-0.999818919541,0,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
