dimension,contributor,contribution_bps,absolute_contribution_share,top_one_absolute_share,top_five_absolute_share,herfindahl,run_id,contract_hash,data_snapshot_hash,model_version
symbol,AAL,-4.75474131685,0.000435548730401,0.167261044185,0.568578257091,0.0901101501005,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
symbol,AAOI,-1825.93345354,0.167261044185,0.167261044185,0.568578257091,0.0901101501005,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
symbol,APLD,-963.196273129,0.0882317009343,0.167261044185,0.568578257091,0.0901101501005,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
symbol,ASTS,527.139921553,0.0482876161449,0.167261044185,0.568578257091,0.0901101501005,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
symbol,CIFR,-1263.20230593,0.11571316375,0.167261044185,0.568578257091,0.0901101501005,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
symbol,HIMS,-110.667980846,0.0101375228097,0.167261044185,0.568578257091,0.0901101501005,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
symbol,IONQ,-504.584074217,0.046221432095,0.167261044185,0.568578257091,0.0901101501005,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
symbol,IREN,-742.94570351,0.068056080522,0.167261044185,0.568578257091,0.0901101501005,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
symbol,MARA,-73.2639100617,0.0067111964427,0.167261044185,0.568578257091,0.0901101501005,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
symbol,MP,-94.5633630932,0.00866229096245,0.167261044185,0.568578257091,0.0901101501005,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
symbol,MRNA,26.0678716433,0.00238789613186,0.167261044185,0.568578257091,0.0901101501005,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
symbol,MSTR,-367.835510901,0.0336948488032,0.167261044185,0.568578257091,0.0901101501005,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
symbol,NVTS,580.450396529,0.0531710173954,0.167261044185,0.568578257091,0.0901101501005,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
symbol,QBTS,205.97638376,0.0188680616802,0.167261044185,0.568578257091,0.0901101501005,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
symbol,RGTI,29.9266959156,0.00274137614279,0.167261044185,0.568578257091,0.0901101501005,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
symbol,RIOT,-603.295744365,0.0552637205695,0.167261044185,0.568578257091,0.0901101501005,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
symbol,RIVN,-732.719347309,0.0671193152674,0.167261044185,0.568578257091,0.0901101501005,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
symbol,SMCI,-437.711037791,0.040095659067,0.167261044185,0.568578257091,0.0901101501005,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
symbol,SOFI,-410.731381185,0.0376242406663,0.167261044185,0.568578257091,0.0901101501005,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
