experiment_run_id,contract_hash,data_snapshot_id,experiment_model_version,analysis_scope,dimension,key,rank,net_contribution_bps,absolute_contribution_share
sequential-veto-5c76a755c8f8b5e1651e688f,49b55b4c4ba394cf3260652b977d527623fe9d4b1299df8fcf3e73708a0fd609,bea06a259c9820488a8fc143f2ee1aaa7f289cad4d5817e351e67d222c5a040b,sequential_loop_competitor_veto_v1.0.0,primary_paired_economic_increment,stock,QBTS,1,-2000.30746677,0.200010309658
sequential-veto-5c76a755c8f8b5e1651e688f,49b55b4c4ba394cf3260652b977d527623fe9d4b1299df8fcf3e73708a0fd609,bea06a259c9820488a8fc143f2ee1aaa7f289cad4d5817e351e67d222c5a040b,sequential_loop_competitor_veto_v1.0.0,primary_paired_economic_increment,stock,WULF,2,-1187.80402562,0.118768266841
sequential-veto-5c76a755c8f8b5e1651e688f,49b55b4c4ba394cf3260652b977d527623fe9d4b1299df8fcf3e73708a0fd609,bea06a259c9820488a8fc143f2ee1aaa7f289cad4d5817e351e67d222c5a040b,sequential_loop_competitor_veto_v1.0.0,primary_paired_economic_increment,stock,SOFI,3,862.990668643,0.0862902497414
sequential-veto-5c76a755c8f8b5e1651e688f,49b55b4c4ba394cf3260652b977d527623fe9d4b1299df8fcf3e73708a0fd609,bea06a259c9820488a8fc143f2ee1aaa7f289cad4d5817e351e67d222c5a040b,sequential_loop_competitor_veto_v1.0.0,primary_paired_economic_increment,stock,IREN,4,-852.650592417,0.0852563477627
sequential-veto-5c76a755c8f8b5e1651e688f,49b55b4c4ba394cf3260652b977d527623fe9d4b1299df8fcf3e73708a0fd609,bea06a259c9820488a8fc143f2ee1aaa7f289cad4d5817e351e67d222c5a040b,sequential_loop_competitor_veto_v1.0.0,primary_paired_economic_increment,stock,AAL,5,661.121555054,0.0661054008669
sequential-veto-5c76a755c8f8b5e1651e688f,49b55b4c4ba394cf3260652b977d527623fe9d4b1299df8fcf3e73708a0fd609,bea06a259c9820488a8fc143f2ee1aaa7f289cad4d5817e351e67d222c5a040b,sequential_loop_competitor_veto_v1.0.0,primary_paired_economic_increment,stock,ASTS,6,-494.529392809,0.0494478867043
sequential-veto-5c76a755c8f8b5e1651e688f,49b55b4c4ba394cf3260652b977d527623fe9d4b1299df8fcf3e73708a0fd609,bea06a259c9820488a8fc143f2ee1aaa7f289cad4d5817e351e67d222c5a040b,sequential_loop_competitor_veto_v1.0.0,primary_paired_economic_increment,stock,MP,7,-476.336595789,0.0476287928771
sequential-veto-5c76a755c8f8b5e1651e688f,49b55b4c4ba394cf3260652b977d527623fe9d4b1299df8fcf3e73708a0fd609,bea06a259c9820488a8fc143f2ee1aaa7f289cad4d5817e351e67d222c5a040b,sequential_loop_competitor_veto_v1.0.0,primary_paired_economic_increment,stock,RIOT,8,-475.227928509,0.0475179374762
sequential-veto-5c76a755c8f8b5e1651e688f,49b55b4c4ba394cf3260652b977d527623fe9d4b1299df8fcf3e73708a0fd609,bea06a259c9820488a8fc143f2ee1aaa7f289cad4d5817e351e67d222c5a040b,sequential_loop_competitor_veto_v1.0.0,primary_paired_economic_increment,stock,IONQ,9,455.621906485,0.0455575355874
sequential-veto-5c76a755c8f8b5e1651e688f,49b55b4c4ba394cf3260652b977d527623fe9d4b1299df8fcf3e73708a0fd609,bea06a259c9820488a8fc143f2ee1aaa7f289cad4d5817e351e67d222c5a040b,sequential_loop_competitor_veto_v1.0.0,primary_paired_economic_increment,stock,MARA,10,446.747589923,0.0446701945995
sequential-veto-5c76a755c8f8b5e1651e688f,49b55b4c4ba394cf3260652b977d527623fe9d4b1299df8fcf3e73708a0fd609,bea06a259c9820488a8fc143f2ee1aaa7f289cad4d5817e351e67d222c5a040b,sequential_loop_competitor_veto_v1.0.0,primary_paired_economic_increment,stock,NVTS,11,-397.45213392,0.0397411526478
