period,model_id,month,opportunities,directional_outputs,directional_coverage,mean_net_per_directional_bps,mean_net_per_opportunity_bps
2025,M0_clock_prior,2025-01,785,0,0.0,,0.0
2025,M0_clock_prior,2025-02,760,0,0.0,,0.0
2025,M0_clock_prior,2025-03,838,232,0.27684964200477324,-34.81658961316355,-9.638960370231434
2025,M0_clock_prior,2025-04,833,334,0.4009603841536615,-12.544547031314389,-5.02986639670949
2025,M0_clock_prior,2025-05,809,226,0.27935723114956734,-42.79828652912242,-11.956010822721467
2025,M0_clock_prior,2025-06,800,141,0.17625,7.779831550778608,1.3711953108247303
2025,M0_clock_prior,2025-07,858,343,0.3997668997668998,-29.225138326551665,-11.68324294406436
2025,M0_clock_prior,2025-08,838,194,0.2315035799522673,-21.36864449369652,-4.946917699018048
2025,M0_clock_prior,2025-09,818,0,0.0,,0.0
2025,M0_clock_prior,2025-10,901,0,0.0,,0.0
2025,M0_clock_prior,2025-11,722,0,0.0,,0.0
2025,M0_clock_prior,2025-12,853,0,0.0,,0.0
2025,M1_price_context,2025-01,785,195,0.2484076433121019,-63.758043725974886,-15.837985384159367
2025,M1_price_context,2025-02,760,155,0.20394736842105263,-52.82605820665742,-10.773735555305132
2025,M1_price_context,2025-03,838,394,0.4701670644391408,16.64238639956423,7.824701958744998
2025,M1_price_context,2025-04,833,457,0.5486194477791116,-9.338568930640927,-5.1233205297753965
2025,M1_price_context,2025-05,809,429,0.5302843016069221,-15.722336843560377,-8.337308412716194
2025,M1_price_context,2025-06,800,411,0.51375,8.649225825420174,4.443539767809612
2025,M1_price_context,2025-07,858,480,0.5594405594405595,-13.717785674312484,-7.67428569192307
2025,M1_price_context,2025-08,838,492,0.5871121718377088,-24.947110279758277,-14.646752097423715
2025,M1_price_context,2025-09,818,395,0.4828850855745721,-11.261188820622296,-5.437860127317611
2025,M1_price_context,2025-10,901,447,0.4961154273029967,-17.81398715089505,-8.837793847336387
2025,M1_price_context,2025-11,722,290,0.40166204986149584,-19.825549633175573,-7.9631709052921265
2025,M1_price_context,2025-12,853,295,0.34583821805392734,-25.15448844906878,-8.699383461284045
2025,M2_price_plus_activity,2025-01,785,200,0.25477707006369427,-47.29888730184061,-12.05067192403582
2025,M2_price_plus_activity,2025-02,760,154,0.2026315789473684,-27.855135529652912,-5.644330094166511
2025,M2_price_plus_activity,2025-03,838,410,0.4892601431980907,15.46508255885258,7.5664485073145125
2025,M2_price_plus_activity,2025-04,833,459,0.5510204081632653,-5.7514696432148,-3.1691771503428496
2025,M2_price_plus_activity,2025-05,809,436,0.5389369592088998,-17.553311830663592,-9.460128502063444
2025,M2_price_plus_activity,2025-06,800,414,0.5175,8.914820617391138,4.613419669499913
2025,M2_price_plus_activity,2025-07,858,494,0.5757575757575758,-11.900693210346157,-6.851914272623545
2025,M2_price_plus_activity,2025-08,838,506,0.60381861575179,-27.449872054350053,-16.57474374642139
2025,M2_price_plus_activity,2025-09,818,413,0.5048899755501223,-10.577424869868485,-5.340435783931157
2025,M2_price_plus_activity,2025-10,901,450,0.49944506104328523,-13.865005753648981,-6.924808644996716
2025,M2_price_plus_activity,2025-11,722,309,0.4279778393351801,-21.277442188547173,-9.106273734433623
2025,M2_price_plus_activity,2025-12,853,300,0.3516998827667057,-16.983526460003073,-5.973104264948326
2026,M0_clock_prior,2026-01,715,0,0.0,,0.0
2026,M0_clock_prior,2026-02,636,0,0.0,,0.0
2026,M0_clock_prior,2026-03,836,0,0.0,,0.0
2026,M0_clock_prior,2026-04,798,0,0.0,,0.0
2026,M0_clock_prior,2026-05,757,17,0.022457067371202115,37.731600529573804,0.8473410951159245
2026,M0_clock_prior,2026-06,759,68,0.08959156785243742,-169.8894884222314,-15.220665629396228
2026,M1_price_context,2026-01,715,277,0.38741258741258744,-22.234892886116114,-8.614077383851978
2026,M1_price_context,2026-02,636,321,0.5047169811320755,-20.525601490975088,-10.359619620444974
2026,M1_price_context,2026-03,836,422,0.5047846889952153,-15.902763474846678,-8.02747151481495
2026,M1_price_context,2026-04,798,430,0.5388471177944862,-14.156645995219675,-7.62826789216098
2026,M1_price_context,2026-05,757,378,0.49933949801849403,-23.749595688321538,-11.859111189148663
2026,M1_price_context,2026-06,759,400,0.5270092226613966,-21.62873264585547,-11.39854157884346
2026,M2_price_plus_activity,2026-01,715,287,0.4013986013986014,-20.292862433356937,-8.145526599123693
2026,M2_price_plus_activity,2026-02,636,329,0.5172955974842768,-23.471516468618432,-12.141712135496013
2026,M2_price_plus_activity,2026-03,836,438,0.5239234449760766,-20.00392218514507,-10.480523824274572
2026,M2_price_plus_activity,2026-04,798,434,0.543859649122807,-9.321283011073357,-5.069469707776738
2026,M2_price_plus_activity,2026-05,757,389,0.5138705416116248,-17.037237915893158,-8.754934675406128
2026,M2_price_plus_activity,2026-06,759,421,0.5546772068511199,-17.91484984584451,-9.93695887365025
