period,model_id,rows,sessions,stocks,accuracy,balanced_accuracy,macro_f1,log_loss,multiclass_brier,actual_long_rate,actual_neutral_rate,actual_short_rate,predicted_long_rate,predicted_neutral_rate,predicted_short_rate
2025,M0_clock_prior,9815,250,20,0.5033112582781457,0.3333333333333333,0.22320117474302495,1.041480553245014,0.6258488184236966,0.24085583290881304,0.5033112582781457,0.25583290881304127,0.0,1.0,0.0
2025,M1_price_context,9815,250,20,0.49821701477330615,0.3428671882312944,0.2671578780930121,1.0422845777149854,0.625351394022969,0.24085583290881304,0.5033112582781457,0.25583290881304127,0.0293428425878757,0.9360163015792154,0.034640855832908816
2025,M2_price_plus_activity,9815,250,20,0.4963830871115639,0.3423878889809559,0.2686083811053763,1.0434076069823524,0.6258778640306556,0.24085583290881304,0.5033112582781457,0.25583290881304127,0.031584309730005096,0.9322465613856342,0.03616912888436067
2026,M0_clock_prior,4501,122,19,0.4950011108642524,0.3333333333333333,0.22073611730321493,1.0461295005376994,0.6296856930302178,0.26971784047989333,0.4950011108642524,0.23528104865585425,0.0,1.0,0.0
2026,M1_price_context,4501,122,19,0.48922461675183293,0.3315188377359077,0.2274724409986477,1.0588733629400018,0.6373885762699606,0.26971784047989333,0.4950011108642524,0.23528104865585425,0.009997778271495223,0.9833370362141747,0.0066651855143301485
2026,M2_price_plus_activity,4501,122,19,0.48989113530326595,0.3329183908835734,0.23101224092876269,1.0594839765063797,0.6375733432084878,0.26971784047989333,0.4950011108642524,0.23528104865585425,0.01088646967340591,0.9813374805598756,0.007776049766718507
