period,model_id,deleted_stock,opportunities,directional_outputs,mean_net_per_directional_bps,mean_net_per_opportunity_bps
2025,M0_clock_prior,AAL,9323,1449,-23.30186803716806,-3.621624668653493
2025,M0_clock_prior,AAOI,9320,1388,-24.275697045144362,-3.615307671530083
2025,M0_clock_prior,APLD,9324,1375,-24.322703494865316,-3.5868422678506864
2025,M0_clock_prior,ASTS,9319,1391,-23.31496384438675,-3.480106739729796
2025,M0_clock_prior,CIFR,9325,1368,-24.308719884549692,-3.56614786081115
2025,M0_clock_prior,HIMS,9320,1378,-22.59405950030116,-3.340623818821352
2025,M0_clock_prior,IONQ,9324,1382,-24.823836632058732,-3.679380333065762
2025,M0_clock_prior,IREN,9327,1384,-23.88348679917302,-3.5439847464410263
2025,M0_clock_prior,MARA,9327,1393,-24.128473450076907,-3.6036199759791074
2025,M0_clock_prior,MP,9320,1407,-24.03795518720184,-3.628905895750322
2025,M0_clock_prior,MRNA,9319,1433,-24.03278419822105,-3.695566021681593
2025,M0_clock_prior,MSTR,9319,1420,-23.797209723975143,-3.626144200884719
2025,M0_clock_prior,NVTS,9325,1382,-23.20445338029551,-3.4389870854228843
2025,M0_clock_prior,QBTS,9322,1376,-22.73781191106684,-3.3562786086277594
2025,M0_clock_prior,RGTI,9343,1380,-22.782886269548843,-3.3651271595822974
2025,M0_clock_prior,RIOT,9331,1386,-24.604405082806476,-3.6546678217521995
2025,M0_clock_prior,RIVN,9328,1437,-23.84615876309099,-3.673555975832091
2025,M0_clock_prior,SMCI,9319,1401,-23.461262599128208,-3.527119744755728
2025,M0_clock_prior,SOFI,9323,1433,-24.46471736556034,-3.7603711235490684
2025,M0_clock_prior,WULF,9327,1367,-24.431934033100674,-3.5808356195184543
2025,M1_price_context,AAL,9323,4291,-15.219671087948328,-7.004999317643063
2025,M1_price_context,AAOI,9320,4163,-14.525322797174617,-6.4880814168066445
2025,M1_price_context,APLD,9324,4205,-15.55361761500857,-7.014474696601355
2025,M1_price_context,ASTS,9319,4194,-14.718007829046167,-6.623814232752402
2025,M1_price_context,CIFR,9325,4187,-14.347541290407094,-6.442161435167238
2025,M1_price_context,HIMS,9320,4194,-14.134139541763199,-6.360362793793438
2025,M1_price_context,IONQ,9324,4193,-14.412669272830275,-6.481373043862864
2025,M1_price_context,IREN,9327,4204,-14.619246214891433,-6.589397564855106
2025,M1_price_context,MARA,9327,4210,-15.073914843740052,-6.804029322627385
2025,M1_price_context,MP,9320,4230,-14.598230604313315,-6.6255917871507854
2025,M1_price_context,MRNA,9319,4240,-14.752862091153819,-6.7123227027033145
2025,M1_price_context,MSTR,9319,4248,-15.736697329080004,-7.173461772071239
2025,M1_price_context,NVTS,9325,4193,-15.535527735670147,-6.985572953958705
2025,M1_price_context,QBTS,9322,4208,-13.541458334925444,-6.112685762000244
2025,M1_price_context,RGTI,9343,4209,-14.471632773478735,-6.5194372625036925
2025,M1_price_context,RIOT,9331,4220,-15.320197472190731,-6.928650019573989
2025,M1_price_context,RIVN,9328,4262,-14.736146259218103,-6.733003361576711
2025,M1_price_context,SMCI,9319,4244,-15.169514163846863,-6.908404132564234
2025,M1_price_context,SOFI,9323,4266,-14.686664815337819,-6.7202951949191405
2025,M1_price_context,WULF,9327,4199,-15.949770648035754,-7.1805604107539525
2025,M2_price_plus_activity,AAL,9323,4380,-12.48867064072784,-5.8672506067132835
2025,M2_price_plus_activity,AAOI,9320,4268,-11.324585681975915,-5.1859797951366104
2025,M2_price_plus_activity,APLD,9324,4313,-13.571984004098697,-6.2779887397766725
2025,M2_price_plus_activity,ASTS,9319,4297,-12.26158780831303,-5.653830111849028
2025,M2_price_plus_activity,CIFR,9325,4272,-12.075208806798598,-5.531934801355883
2025,M2_price_plus_activity,HIMS,9320,4301,-11.619555797110511,-5.362200588344668
2025,M2_price_plus_activity,IONQ,9324,4296,-11.776974640227946,-5.42619938378585
2025,M2_price_plus_activity,IREN,9327,4294,-12.472983132669524,-5.742359769666873
2025,M2_price_plus_activity,MARA,9327,4319,-12.814007751470749,-5.933708532068421
2025,M2_price_plus_activity,MP,9320,4325,-11.595714165759107,-5.381058344088855
2025,M2_price_plus_activity,MRNA,9319,4338,-12.390718165135894,-5.767886618774494
2025,M2_price_plus_activity,MSTR,9319,4353,-12.945846668086777,-6.047137090479851
