period,model_id,deleted_stock,opportunities,directional_outputs,mean_net_per_directional_bps,mean_net_per_opportunity_bps
2025,M2_price_plus_activity,NVTS,9325,4286,-12.896649122429801,-5.927618030963445
2025,M2_price_plus_activity,QBTS,9322,4300,-11.194122432027028,-5.163562160235594
2025,M2_price_plus_activity,RGTI,9343,4326,-11.908729108680706,-5.513985028807956
2025,M2_price_plus_activity,RIOT,9331,4320,-13.164541183528986,-6.094825625639826
2025,M2_price_plus_activity,RIVN,9328,4357,-12.385224421828806,-5.784993868557902
2025,M2_price_plus_activity,SMCI,9319,4341,-12.57418297628491,-5.857337514760467
2025,M2_price_plus_activity,SOFI,9323,4365,-11.976400777340974,-5.607314104161039
2025,M2_price_plus_activity,WULF,9327,4304,-13.219394341595017,-6.10016867655462
2026,M0_clock_prior,AAOI,4263,80,-126.38810004636227,-2.3718151545177064
2026,M0_clock_prior,APLD,4264,80,-125.12988333920119,-2.3476525954821987
2026,M0_clock_prior,ASTS,4262,80,-129.11336472571455,-2.4235263205202164
2026,M0_clock_prior,CIFR,4261,80,-132.3836380816989,-2.485494261097374
2026,M0_clock_prior,HIMS,4261,81,-134.3315316126989,-2.553591659382448
2026,M0_clock_prior,IONQ,4262,80,-123.44794323033398,-2.3171833548631438
2026,M0_clock_prior,IREN,4271,80,-131.50158059100605,-2.4631529963194763
2026,M0_clock_prior,MARA,4262,81,-133.17338956004616,-2.530981828804256
2026,M0_clock_prior,MP,4259,81,-129.83459699038036,-2.4692656389342122
2026,M0_clock_prior,MRNA,4262,82,-132.08632606003746,-2.5413136407609276
2026,M0_clock_prior,MSTR,4260,81,-132.18178376289427,-2.513315606759257
2026,M0_clock_prior,NVTS,4262,80,-120.36290652863872,-2.2592755800776865
2026,M0_clock_prior,QBTS,4260,80,-126.3881000463623,-2.373485446880043
2026,M0_clock_prior,RGTI,4289,80,-121.49935692454804,-2.266250537179725
2026,M0_clock_prior,RIOT,4264,80,-125.55339616193575,-2.355598427053203
2026,M0_clock_prior,RIVN,4268,82,-125.61479912860676,-2.413405231618031
2026,M0_clock_prior,SMCI,4261,81,-126.78041662747006,-2.41004781666864
2026,M0_clock_prior,SOFI,4258,81,-132.13064676716593,-2.5135233415078533
2026,M0_clock_prior,WULF,4269,80,-130.786107953195,-2.450899188628625
2026,M1_price_context,AAOI,4263,2103,-20.692983138792084,-10.208150021318263
2026,M1_price_context,APLD,4264,2108,-18.79855118281224,-9.293467611015059
2026,M1_price_context,ASTS,4262,2106,-18.922826971891105,-9.350416143313625
2026,M1_price_context,CIFR,4261,2098,-19.15509694036062,-9.431446463477258
2026,M1_price_context,HIMS,4261,2110,-20.40602807537267,-10.104839061027068
2026,M1_price_context,IONQ,4262,2102,-18.907414382159452,-9.325055145776437
2026,M1_price_context,IREN,4271,2110,-19.829702893693373,-9.79645823125568
2026,M1_price_context,MARA,4262,2116,-18.442860209230123,-9.156520929782014
2026,M1_price_context,MP,4259,2116,-18.815628730185946,-9.34817337240513
2026,M1_price_context,MRNA,4262,2124,-20.91537284399537,-10.423334566083097
2026,M1_price_context,MSTR,4260,2113,-18.849964457745564,-9.349759366013238
2026,M1_price_context,NVTS,4262,2097,-17.629406472790276,-8.674065080582169
2026,M1_price_context,QBTS,4260,2103,-20.30394457429939,-10.023285314495682
2026,M1_price_context,RGTI,4289,2109,-17.695980684507912,-8.70152092880093
2026,M1_price_context,RIOT,4264,2106,-19.351522929863716,-9.557764373896106
2026,M1_price_context,RIVN,4268,2137,-19.933527957725826,-9.98077536215091
2026,M1_price_context,SMCI,4261,2115,-19.226229434229573,-9.543176543861899
2026,M1_price_context,SOFI,4258,2132,-19.737338176313166,-9.882575150751448
2026,M1_price_context,WULF,4269,2099,-20.55593746963925,-10.107030393247317
2026,M2_price_plus_activity,AAOI,4263,2167,-18.948265612777053,-9.63192389934034
2026,M2_price_plus_activity,APLD,4264,2167,-16.69021145867163,-8.482103243654176
2026,M2_price_plus_activity,ASTS,4262,2172,-17.516485076485687,-8.926749316313211
2026,M2_price_plus_activity,CIFR,4261,2168,-17.206239463044163,-8.75454756063829
2026,M2_price_plus_activity,HIMS,4261,2175,-18.523963353359374,-9.455437759576775
2026,M2_price_plus_activity,IONQ,4262,2172,-17.337253881053893,-8.835409533000716
2026,M2_price_plus_activity,IREN,4271,2174,-18.11899198605664,-9.22282570304077
2026,M2_price_plus_activity,MARA,4262,2190,-17.319217057617188,-8.899363058700528
2026,M2_price_plus_activity,MP,4259,2185,-17.42453705665337,-8.93933164329364
2026,M2_price_plus_activity,MRNA,4262,2190,-19.386980870011516,-9.96186956952727
2026,M2_price_plus_activity,MSTR,4260,2177,-16.746721529743137,-8.558125063439157
2026,M2_price_plus_activity,NVTS,4262,2160,-15.638679872851528,-7.92575047521335
2026,M2_price_plus_activity,QBTS,4260,2169,-18.12660498724827,-9.229250285760916
2026,M2_price_plus_activity,RGTI,4289,2181,-16.823494189438392,-8.554917422980914
2026,M2_price_plus_activity,RIOT,4264,2172,-17.29668118359786,-8.810598389018425
2026,M2_price_plus_activity,RIVN,4268,2203,-18.166572953280525,-9.376982243691891
2026,M2_price_plus_activity,SMCI,4261,2179,-17.40685462018146,-8.901557431911616
2026,M2_price_plus_activity,SOFI,4258,2201,-17.765328974817688,-9.183064601590823
2026,M2_price_plus_activity,WULF,4269,2162,-18.581774330259947,-9.410587046620284
