diagnostic_type,target,model,feature,value,feature_2,checkpoint,quintile,row_count,movement_rate,mean_absolute_future_movement_bps,direction_rate_among_large_moves,threshold_q20,threshold_q40,threshold_q60,threshold_q80,original_brier,permuted_brier,permutation
standardised_model_coefficient,movement,P3,directional_close_persistence_ratio,0.041628012332161894,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P3,historical_activity_proxy_shock,-0.37127149675561016,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P3,cross_sectional_dispersion_bps,0.02889945575438017,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P3,arousal,0.93855351547784005,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P3,conviction,-0.090157970276078608,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P3,frustration,-0.076034619669936271,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P3,tension,0.042366094417584439,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P3,signed_pressure,-0.10597018133113663,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P3,pressure_magnitude,0.10418022774612992,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P3,exhaustion_magnitude,0.013409351099906024,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P3,signed_exhaustion,-0.049736212772037179,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P3,independence,0.13728494697080182,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P3,signed_independence,0.001734120766136792,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P3,active_conviction,0.050041758960802193,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P3,active_frustration,0.02785622239385856,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P3,pressurised_tension,0.13195750641867701,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P3,pressurised_exhaustion,0.033280182622306385,,,,,,,,,,,,,,
standardised_model_coefficient,movement,P3,independent_pressure,-0.1062404918932572,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D0,checkpoint_60m,0.012965034351219368,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D0,open_to_decision_cohort_relative_return_bps,0.035755499884386602,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D1,checkpoint_60m,0.012077752208167354,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D1,opening_gap_bps,-0.038683126938581953,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D1,open_to_decision_raw_return_bps,-0.10957078976540832,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D1,open_to_decision_cohort_relative_return_bps,0.22860343994982688,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D1,latest_one_bar_return_bps,-0.036896870314579236,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D1,latest_three_bar_return_bps,-0.021890869346727446,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D1,opening_realized_volatility_bps,0.17513240533999053,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D1,opening_high_low_range_bps,0.11322413810510812,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D1,current_true_range_bps,-0.11147868233967687,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D1,mean_completed_bar_true_range_bps,-0.15945368562370021,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D1,close_location_within_opening_range,0.18654126786666866,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D1,distance_from_opening_high_bps,0.11334211421991937,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D1,distance_from_opening_low_bps,-0.24931832828704079,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D1,positive_close_fraction,0.020201376523325106,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D1,directional_close_persistence_ratio,0.19467254405723491,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D1,historical_activity_proxy_shock,0.01309544491635537,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D1,cross_sectional_dispersion_bps,-0.016390741404197919,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D2,checkpoint_60m,-0.012943183376281107,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D2,opening_gap_bps,-0.054380016996993727,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D2,open_to_decision_raw_return_bps,-0.16876267539985318,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D2,open_to_decision_cohort_relative_return_bps,0.47177861980910146,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D2,latest_one_bar_return_bps,-0.019552412660844384,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D2,latest_three_bar_return_bps,-0.047459508495511324,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D2,opening_realized_volatility_bps,0.18928103331923146,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D2,opening_high_low_range_bps,0.16794425496567472,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D2,current_true_range_bps,-0.07131883627137578,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D2,mean_completed_bar_true_range_bps,-0.19552243846000908,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D2,close_location_within_opening_range,0.32057289455981108,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D2,distance_from_opening_high_bps,0.10288740550354493,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D2,distance_from_opening_low_bps,-0.12509171258487758,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D2,positive_close_fraction,-0.021433554780520048,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D2,directional_close_persistence_ratio,0.14744442619223286,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D2,historical_activity_proxy_shock,0.28225444345776685,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D2,cross_sectional_dispersion_bps,-0.048518279522613332,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D2,arousal,-0.45312077991277089,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D2,conviction,0.078642161978883796,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D2,frustration,-0.0074869752589868969,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D2,tension,-0.10525174417786506,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D2,signed_pressure,-0.10632364245002102,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D2,pressure_magnitude,-0.2088612954144286,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D2,exhaustion_magnitude,-0.036272485862606375,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D2,signed_exhaustion,0.086428032870261073,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D2,independence,0.13529257449747123,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D2,signed_independence,-0.25043702916378746,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D3,checkpoint_60m,-0.011602614675741021,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D3,opening_gap_bps,-0.053435421247574742,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D3,open_to_decision_raw_return_bps,-0.15615766847364379,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D3,open_to_decision_cohort_relative_return_bps,0.50236023993769041,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D3,latest_one_bar_return_bps,-0.020416945487772155,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D3,latest_three_bar_return_bps,-0.03613538216080963,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D3,opening_realized_volatility_bps,0.17042592481458874,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D3,opening_high_low_range_bps,0.17830924734539502,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D3,current_true_range_bps,-0.069788520232113113,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D3,mean_completed_bar_true_range_bps,-0.18993116235533089,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D3,close_location_within_opening_range,0.27858254261097176,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D3,distance_from_opening_high_bps,0.065125891332845909,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D3,distance_from_opening_low_bps,-0.11265331377287641,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D3,positive_close_fraction,-0.016778884994338567,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D3,directional_close_persistence_ratio,0.14217152527694921,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D3,historical_activity_proxy_shock,0.26494578649990114,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D3,cross_sectional_dispersion_bps,-0.050052574530276596,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D3,arousal,-0.44786552122894752,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D3,conviction,0.057140897566136731,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D3,frustration,-0.041285925358144696,,,,,,,,,,,,,,
