record_type,scope_type,scope_value,system,friction_bps,selection_count,mean_signed_gross_return_bps,mean_signed_cohort_relative_return_bps
system,pooled,all,behavioural_conjunctions,0,314,-13.152445009904307,-7.6040145276216053
system,pooled,all,behavioural_conjunctions,10,314,-23.152445009904305,-17.604014527621608
system,pooled,all,behavioural_conjunctions,20,314,-33.152445009904305,-27.604014527621608
system,pooled,all,behavioural_dimensions,0,314,7.1138083227275795,20.794853244662587
system,pooled,all,behavioural_dimensions,10,314,-2.8861916772724214,10.794853244662587
system,pooled,all,behavioural_dimensions,20,314,-12.886191677272421,0.79485324466258678
system,pooled,all,highest_frozen_movement_probability,0,314,51.780191497682111,45.562633778366575
system,pooled,all,highest_frozen_movement_probability,10,314,41.780191497682111,35.562633778366582
system,pooled,all,highest_frozen_movement_probability,20,314,31.780191497682104,25.562633778366582
system,pooled,all,highest_open_to_decision_relative_momentum,0,314,94.500543562652567,93.848285776302376
system,pooled,all,highest_open_to_decision_relative_momentum,10,314,84.500543562652567,83.848285776302362
system,pooled,all,highest_open_to_decision_relative_momentum,20,314,74.500543562652567,73.848285776302362
system,pooled,all,predecessor,0,314,30.826384237273817,46.175836759705959
system,pooled,all,predecessor,10,314,20.826384237273817,36.175836759705966
system,pooled,all,predecessor,20,314,10.826384237273821,26.175836759705962
system,pooled,all,random_within_slate,0,314,10.773607244535739,25.229437977763432
system,pooled,all,random_within_slate,10,314,0.77360724453573726,15.229437977763434
system,pooled,all,random_within_slate,20,314,-9.2263927554642624,5.2294379777634328
system,pooled,all,strongest_reversal,0,314,-48.147173431187909,-79.403809609807297
system,pooled,all,strongest_reversal,10,314,-58.147173431187916,-89.403809609807311
system,pooled,all,strongest_reversal,20,314,-68.147173431187909,-99.403809609807311
paired_difference,pooled,all,behavioural_dimensions_minus_predecessor,0,314,-23.712575914546228,-25.380983515043376
paired_difference,pooled,all,behavioural_dimensions_minus_predecessor,10,314,-23.712575914546228,-25.380983515043376
paired_difference,pooled,all,behavioural_dimensions_minus_predecessor,20,314,-23.712575914546228,-25.380983515043376
paired_difference,pooled,all,behavioural_conjunctions_minus_predecessor,0,314,-43.978829247178126,-53.779851287327574
paired_difference,pooled,all,behavioural_conjunctions_minus_predecessor,10,314,-43.978829247178126,-53.779851287327574
paired_difference,pooled,all,behavioural_conjunctions_minus_predecessor,20,314,-43.978829247178126,-53.779851287327574
paired_difference,pooled,all,behavioural_conjunctions_minus_behavioural_dimensions,0,314,-20.266253332631891,-28.398867772284198
paired_difference,pooled,all,behavioural_conjunctions_minus_behavioural_dimensions,10,314,-20.266253332631891,-28.398867772284198
paired_difference,pooled,all,behavioural_conjunctions_minus_behavioural_dimensions,20,314,-20.266253332631891,-28.398867772284198
system,checkpoint,6,behavioural_conjunctions,0,157,19.639055042184481,18.752098628241615
system,checkpoint,6,behavioural_conjunctions,10,157,9.6390550421844843,8.75209862824161
system,checkpoint,6,behavioural_conjunctions,20,157,-0.36094495781551839,-1.2479013717583878
system,checkpoint,6,behavioural_dimensions,0,157,30.200315136933593,44.830635859395244
system,checkpoint,6,behavioural_dimensions,10,157,20.200315136933593,34.830635859395251
system,checkpoint,6,behavioural_dimensions,20,157,10.200315136933588,24.830635859395247
system,checkpoint,6,highest_frozen_movement_probability,0,157,92.212532844033845,89.108616675684345
system,checkpoint,6,highest_frozen_movement_probability,10,157,82.212532844033845,79.108616675684345
system,checkpoint,6,highest_frozen_movement_probability,20,157,72.212532844033845,69.108616675684345
system,checkpoint,6,highest_open_to_decision_relative_momentum,0,157,129.04204900881518,129.79146736218442
system,checkpoint,6,highest_open_to_decision_relative_momentum,10,157,119.0420490088152,119.79146736218443
system,checkpoint,6,highest_open_to_decision_relative_momentum,20,157,109.0420490088152,109.79146736218443
system,checkpoint,6,predecessor,0,157,86.361965549338336,90.456197864252545
system,checkpoint,6,predecessor,10,157,76.361965549338336,80.456197864252545
system,checkpoint,6,predecessor,20,157,66.361965549338336,70.456197864252545
system,checkpoint,6,random_within_slate,0,157,32.083076883965525,38.684491453714664
system,checkpoint,6,random_within_slate,10,157,22.083076883965525,28.68449145371466
system,checkpoint,6,random_within_slate,20,157,12.083076883965528,18.68449145371466
system,checkpoint,6,strongest_reversal,0,157,-66.397911755854523,-113.14185307372229
system,checkpoint,6,strongest_reversal,10,157,-76.397911755854523,-123.14185307372227
system,checkpoint,6,strongest_reversal,20,157,-86.397911755854537,-133.14185307372227
paired_difference,checkpoint,6,behavioural_dimensions_minus_predecessor,0,157,-56.16165041240474,-45.625562004857308
paired_difference,checkpoint,6,behavioural_dimensions_minus_predecessor,10,157,-56.16165041240474,-45.625562004857308
paired_difference,checkpoint,6,behavioural_dimensions_minus_predecessor,20,157,-56.16165041240474,-45.625562004857308
paired_difference,checkpoint,6,behavioural_conjunctions_minus_predecessor,0,157,-66.722910507153841,-71.704099236010933
paired_difference,checkpoint,6,behavioural_conjunctions_minus_predecessor,10,157,-66.722910507153841,-71.704099236010933
paired_difference,checkpoint,6,behavioural_conjunctions_minus_predecessor,20,157,-66.722910507153841,-71.704099236010933
paired_difference,checkpoint,6,behavioural_conjunctions_minus_behavioural_dimensions,0,157,-10.561260094749121,-26.078537231153629
paired_difference,checkpoint,6,behavioural_conjunctions_minus_behavioural_dimensions,10,157,-10.561260094749121,-26.078537231153629
paired_difference,checkpoint,6,behavioural_conjunctions_minus_behavioural_dimensions,20,157,-10.561260094749121,-26.078537231153629
system,checkpoint,12,behavioural_conjunctions,0,157,-45.943945061993077,-33.960127683484835
system,checkpoint,12,behavioural_conjunctions,10,157,-55.943945061993084,-43.960127683484835
system,checkpoint,12,behavioural_conjunctions,20,157,-65.943945061993091,-53.960127683484835
system,checkpoint,12,behavioural_dimensions,0,157,-15.972698491478432,-3.2409293700700599
system,checkpoint,12,behavioural_dimensions,10,157,-25.972698491478429,-13.240929370070061
system,checkpoint,12,behavioural_dimensions,20,157,-35.972698491478425,-23.240929370070067
system,checkpoint,12,highest_frozen_movement_probability,0,157,11.347850151330356,2.0166508810488146
system,checkpoint,12,highest_frozen_movement_probability,10,157,1.3478501513303518,-7.9833491189511854
system,checkpoint,12,highest_frozen_movement_probability,20,157,-8.6521498486696462,-17.983349118951185
system,checkpoint,12,highest_open_to_decision_relative_momentum,0,157,59.959038116489914,57.905104190420339
system,checkpoint,12,highest_open_to_decision_relative_momentum,10,157,49.959038116489921,47.905104190420339
system,checkpoint,12,highest_open_to_decision_relative_momentum,20,157,39.959038116489914,37.905104190420339
system,checkpoint,12,predecessor,0,157,-24.709197074790694,1.8954756551593721
system,checkpoint,12,predecessor,10,157,-34.709197074790687,-8.1045243448406268
system,checkpoint,12,predecessor,20,157,-44.709197074790687,-18.104524344840623
system,checkpoint,12,random_within_slate,0,157,-10.535862394894044,11.774384501812216
system,checkpoint,12,random_within_slate,10,157,-20.535862394894046,1.7743845018122175
system,checkpoint,12,random_within_slate,20,157,-30.535862394894053,-8.2256154981877856
system,checkpoint,12,strongest_reversal,0,157,-29.896435106521292,-45.665766145892356
system,checkpoint,12,strongest_reversal,10,157,-39.896435106521281,-55.665766145892356
system,checkpoint,12,strongest_reversal,20,157,-49.896435106521281,-65.665766145892349
paired_difference,checkpoint,12,behavioural_dimensions_minus_predecessor,0,157,8.7364985833122635,-5.1364050252294442
paired_difference,checkpoint,12,behavioural_dimensions_minus_predecessor,10,157,8.7364985833122635,-5.1364050252294442
paired_difference,checkpoint,12,behavioural_dimensions_minus_predecessor,20,157,8.7364985833122635,-5.1364050252294442
paired_difference,checkpoint,12,behavioural_conjunctions_minus_predecessor,0,157,-21.2347479872024,-35.855603338644222
paired_difference,checkpoint,12,behavioural_conjunctions_minus_predecessor,10,157,-21.2347479872024,-35.855603338644222
paired_difference,checkpoint,12,behavioural_conjunctions_minus_predecessor,20,157,-21.2347479872024,-35.855603338644222
paired_difference,checkpoint,12,behavioural_conjunctions_minus_behavioural_dimensions,0,157,-29.971246570514662,-30.719198313414775
paired_difference,checkpoint,12,behavioural_conjunctions_minus_behavioural_dimensions,10,157,-29.971246570514662,-30.719198313414775
paired_difference,checkpoint,12,behavioural_conjunctions_minus_behavioural_dimensions,20,157,-29.971246570514662,-30.719198313414775
system,month,2025-01,behavioural_conjunctions,0,40,-27.584635915023121,13.154551789678255
system,month,2025-01,behavioural_conjunctions,10,40,-37.584635915023114,3.154551789678254
system,month,2025-01,behavioural_conjunctions,20,40,-47.584635915023114,-6.845448210321746
system,month,2025-01,behavioural_dimensions,0,40,-10.261021682361337,44.878992517785505
system,month,2025-01,behavioural_dimensions,10,40,-20.261021682361338,34.87899251778552
system,month,2025-01,behavioural_dimensions,20,40,-30.261021682361338,24.87899251778552
system,month,2025-01,highest_frozen_movement_probability,0,40,-21.36897657316397,42.780958998289393
system,month,2025-01,highest_frozen_movement_probability,10,40,-31.36897657316397,32.780958998289393
system,month,2025-01,highest_frozen_movement_probability,20,40,-41.36897657316397,22.780958998289396
system,month,2025-01,highest_open_to_decision_relative_momentum,0,40,109.99492231422683,131.42101423217755
system,month,2025-01,highest_open_to_decision_relative_momentum,10,40,99.994922314226841,121.42101423217755
system,month,2025-01,highest_open_to_decision_relative_momentum,20,40,89.994922314226841,111.42101423217755
system,month,2025-01,predecessor,0,40,90.245871619265287,158.52574208864593
system,month,2025-01,predecessor,10,40,80.245871619265287,148.52574208864593
system,month,2025-01,predecessor,20,40,70.245871619265287,138.52574208864593
system,month,2025-01,random_within_slate,0,40,36.079937356056334,92.610199017086217
