record_type,draw,metric,value,interval_90_lower,interval_90_upper,interval_95_lower,interval_95_upper
draw,76,D2_minus_D1_brier_improvement,-0.0012771216471773594,,,,
draw,77,D2_minus_D1_brier_improvement,-0.00011007360545878253,,,,
draw,78,D2_minus_D1_brier_improvement,-0.00064850396522023179,,,,
draw,79,D2_minus_D1_brier_improvement,-0.0020550626838902741,,,,
draw,80,D2_minus_D1_brier_improvement,-0.0064259539233303964,,,,
draw,81,D2_minus_D1_brier_improvement,-0.0015212976536156664,,,,
draw,82,D2_minus_D1_brier_improvement,-0.0038584733151949546,,,,
draw,83,D2_minus_D1_brier_improvement,-0.00098599641355517909,,,,
draw,84,D2_minus_D1_brier_improvement,-0.0059844274082467563,,,,
draw,85,D2_minus_D1_brier_improvement,-0.0061487856042428402,,,,
draw,86,D2_minus_D1_brier_improvement,-0.0061728205593825636,,,,
draw,87,D2_minus_D1_brier_improvement,-0.0024830646479730434,,,,
draw,88,D2_minus_D1_brier_improvement,-0.00071983990186882951,,,,
draw,89,D2_minus_D1_brier_improvement,-0.0027522815683702073,,,,
draw,90,D2_minus_D1_brier_improvement,-0.006379461686531307,,,,
draw,91,D2_minus_D1_brier_improvement,-0.00087282940368316186,,,,
draw,92,D2_minus_D1_brier_improvement,-0.0043539398705469967,,,,
draw,93,D2_minus_D1_brier_improvement,-0.0018030801030687049,,,,
draw,94,D2_minus_D1_brier_improvement,-0.005380400989051376,,,,
draw,95,D2_minus_D1_brier_improvement,-0.0042245361199967357,,,,
draw,96,D2_minus_D1_brier_improvement,-0.0064400337630473592,,,,
draw,97,D2_minus_D1_brier_improvement,-0.0018673782389597438,,,,
draw,98,D2_minus_D1_brier_improvement,-0.0013814899535941338,,,,
draw,99,D2_minus_D1_brier_improvement,-0.0034353569173993237,,,,
draw,100,D2_minus_D1_brier_improvement,0.00025816478898627038,,,,
draw,101,D2_minus_D1_brier_improvement,0.0004294508281307563,,,,
draw,102,D2_minus_D1_brier_improvement,-0.0032833484797467338,,,,
draw,103,D2_minus_D1_brier_improvement,-0.0081745763882785094,,,,
draw,104,D2_minus_D1_brier_improvement,-0.00294850645579256,,,,
draw,105,D2_minus_D1_brier_improvement,-0.0027789291256178905,,,,
draw,106,D2_minus_D1_brier_improvement,-0.0011116511096009307,,,,
draw,107,D2_minus_D1_brier_improvement,-0.0069589839796662945,,,,
draw,108,D2_minus_D1_brier_improvement,-0.0033343273274592522,,,,
draw,109,D2_minus_D1_brier_improvement,-0.0026144244855479393,,,,
draw,110,D2_minus_D1_brier_improvement,-0.005221123836848085,,,,
draw,111,D2_minus_D1_brier_improvement,-0.006817378213187314,,,,
draw,112,D2_minus_D1_brier_improvement,-0.0057085205905519354,,,,
draw,113,D2_minus_D1_brier_improvement,-0.0070371457185932629,,,,
draw,114,D2_minus_D1_brier_improvement,-0.001956996819163781,,,,
draw,115,D2_minus_D1_brier_improvement,-0.0050797352611778868,,,,
draw,116,D2_minus_D1_brier_improvement,-0.0031329607195917097,,,,
draw,117,D2_minus_D1_brier_improvement,-0.0032284243020432868,,,,
