record_type,draw,comparison,metric,estimate,lower_90,upper_90,lower_95,upper_95,draws
draw,0,A1_minus_A0,brier,-0.00285522949188,,,,,200
draw,1,A1_minus_A0,brier,-0.00611197049506,,,,,200
draw,2,A1_minus_A0,brier,-0.00465383661106,,,,,200
draw,3,A1_minus_A0,brier,-0.00393873383191,,,,,200
draw,4,A1_minus_A0,brier,-0.00325863661754,,,,,200
draw,5,A1_minus_A0,brier,-0.00278128856499,,,,,200
draw,6,A1_minus_A0,brier,-0.00480589418807,,,,,200
draw,7,A1_minus_A0,brier,-0.00322676868058,,,,,200
draw,8,A1_minus_A0,brier,-0.00432689108543,,,,,200
draw,9,A1_minus_A0,brier,-0.00200713359158,,,,,200
draw,10,A1_minus_A0,brier,-0.00101047606334,,,,,200
draw,11,A1_minus_A0,brier,-0.000952721001324,,,,,200
draw,12,A1_minus_A0,brier,-0.00443909101761,,,,,200
draw,13,A1_minus_A0,brier,-0.00729354373966,,,,,200
draw,14,A1_minus_A0,brier,-0.00181904506919,,,,,200
draw,15,A1_minus_A0,brier,-0.00933390662371,,,,,200
draw,16,A1_minus_A0,brier,-0.00366352754046,,,,,200
draw,17,A1_minus_A0,brier,-0.00524615508589,,,,,200
draw,18,A1_minus_A0,brier,-0.00444638177625,,,,,200
draw,19,A1_minus_A0,brier,-0.00556575972625,,,,,200
draw,20,A1_minus_A0,brier,-0.00489971655275,,,,,200
draw,21,A1_minus_A0,brier,-0.00463527381393,,,,,200
draw,22,A1_minus_A0,brier,-0.00421171055919,,,,,200
draw,23,A1_minus_A0,brier,-0.00175752866538,,,,,200
draw,24,A1_minus_A0,brier,-0.00231659886833,,,,,200
draw,25,A1_minus_A0,brier,-0.00225111484436,,,,,200
draw,26,A1_minus_A0,brier,-0.00361822814383,,,,,200
draw,27,A1_minus_A0,brier,0.00108582185668,,,,,200
draw,28,A1_minus_A0,brier,-0.00738382100863,,,,,200
draw,29,A1_minus_A0,brier,-0.00335764599249,,,,,200
draw,30,A1_minus_A0,brier,-0.000579962750477,,,,,200
draw,31,A1_minus_A0,brier,-0.00290826218999,,,,,200
draw,32,A1_minus_A0,brier,-0.00653212615401,,,,,200
draw,33,A1_minus_A0,brier,-0.0042996594214,,,,,200
draw,34,A1_minus_A0,brier,-0.00660989835023,,,,,200
draw,35,A1_minus_A0,brier,-0.00203829532979,,,,,200
draw,36,A1_minus_A0,brier,-0.000645581422794,,,,,200
draw,37,A1_minus_A0,brier,-0.00425529444288,,,,,200
draw,38,A1_minus_A0,brier,-0.00213559983825,,,,,200
draw,39,A1_minus_A0,brier,-0.00343810153083,,,,,200
draw,40,A1_minus_A0,brier,-0.00776261011764,,,,,200
draw,41,A1_minus_A0,brier,-0.0044988709412,,,,,200
draw,42,A1_minus_A0,brier,-0.00250099117619,,,,,200
draw,43,A1_minus_A0,brier,-0.00105506463437,,,,,200
draw,44,A1_minus_A0,brier,-0.0030875903038,,,,,200
draw,45,A1_minus_A0,brier,-0.00262000057805,,,,,200
draw,46,A1_minus_A0,brier,0.000308585024499,,,,,200
draw,47,A1_minus_A0,brier,-0.00391243569293,,,,,200
draw,48,A1_minus_A0,brier,-0.00650913088376,,,,,200
draw,49,A1_minus_A0,brier,0.000531888690291,,,,,200
draw,50,A1_minus_A0,brier,-0.0063581041417,,,,,200
draw,51,A1_minus_A0,brier,-0.00568321746392,,,,,200
draw,52,A1_minus_A0,brier,-0.00403003431105,,,,,200
draw,53,A1_minus_A0,brier,-0.0022013873305,,,,,200
draw,54,A1_minus_A0,brier,-0.00256294515123,,,,,200
draw,55,A1_minus_A0,brier,-0.00147867462174,,,,,200
draw,56,A1_minus_A0,brier,-0.00200255598516,,,,,200
draw,57,A1_minus_A0,brier,-0.00127566844862,,,,,200
draw,58,A1_minus_A0,brier,-0.0033791723126,,,,,200
draw,59,A1_minus_A0,brier,-0.00447453009829,,,,,200
draw,60,A1_minus_A0,brier,-0.00131072097433,,,,,200
draw,61,A1_minus_A0,brier,-0.000913260488861,,,,,200
draw,62,A1_minus_A0,brier,-0.00638306371239,,,,,200
draw,63,A1_minus_A0,brier,-0.00300564213984,,,,,200
draw,64,A1_minus_A0,brier,-0.00438453474701,,,,,200
draw,65,A1_minus_A0,brier,-0.00279231622976,,,,,200
draw,66,A1_minus_A0,brier,-0.00258563309748,,,,,200
draw,67,A1_minus_A0,brier,-0.00336801611988,,,,,200
draw,68,A1_minus_A0,brier,-0.00188522635889,,,,,200
draw,69,A1_minus_A0,brier,-0.00201292248292,,,,,200
draw,70,A1_minus_A0,brier,-0.000143061403107,,,,,200
draw,71,A1_minus_A0,brier,-0.00488286600052,,,,,200
draw,72,A1_minus_A0,brier,-0.00366823108667,,,,,200
draw,73,A1_minus_A0,brier,-0.00204399622523,,,,,200
draw,74,A1_minus_A0,brier,-0.00730088245919,,,,,200
draw,75,A1_minus_A0,brier,-0.00384658389167,,,,,200
draw,76,A1_minus_A0,brier,-0.00541274451701,,,,,200
draw,77,A1_minus_A0,brier,-0.00603088840885,,,,,200
draw,78,A1_minus_A0,brier,-0.00311571573408,,,,,200
draw,79,A1_minus_A0,brier,-0.00174427689927,,,,,200
draw,80,A1_minus_A0,brier,-0.00176442330166,,,,,200
draw,81,A1_minus_A0,brier,-0.00297001118126,,,,,200
draw,82,A1_minus_A0,brier,-0.00239911960675,,,,,200
draw,83,A1_minus_A0,brier,-0.0038669621036,,,,,200
draw,84,A1_minus_A0,brier,-0.00477410138188,,,,,200
draw,85,A1_minus_A0,brier,0.000349314649586,,,,,200
draw,86,A1_minus_A0,brier,-0.00309660338449,,,,,200
draw,87,A1_minus_A0,brier,-0.00349314195001,,,,,200
draw,88,A1_minus_A0,brier,-0.00396194927216,,,,,200
draw,89,A1_minus_A0,brier,-0.00240178808559,,,,,200
draw,90,A1_minus_A0,brier,-0.00215038006786,,,,,200
draw,91,A1_minus_A0,brier,-0.00145670899746,,,,,200
draw,92,A1_minus_A0,brier,-0.00342222773127,,,,,200
draw,93,A1_minus_A0,brier,-0.00530406369984,,,,,200
draw,94,A1_minus_A0,brier,-0.00279588607883,,,,,200
draw,95,A1_minus_A0,brier,-0.00173947784313,,,,,200
draw,96,A1_minus_A0,brier,-0.00322512117512,,,,,200
draw,97,A1_minus_A0,brier,-0.00434447065163,,,,,200
draw,98,A1_minus_A0,brier,-0.00378097466116,,,,,200
draw,99,A1_minus_A0,brier,-0.00557619222689,,,,,200
draw,100,A1_minus_A0,brier,-0.00419816298625,,,,,200
draw,101,A1_minus_A0,brier,-0.00435341587813,,,,,200
draw,102,A1_minus_A0,brier,-0.00182686354301,,,,,200
draw,103,A1_minus_A0,brier,-0.00400444407249,,,,,200
draw,104,A1_minus_A0,brier,-0.00662088660494,,,,,200
draw,105,A1_minus_A0,brier,-0.00529953998055,,,,,200
draw,106,A1_minus_A0,brier,-0.00302375694076,,,,,200
draw,107,A1_minus_A0,brier,-0.00360572699239,,,,,200
draw,108,A1_minus_A0,brier,-0.00330243989197,,,,,200
draw,109,A1_minus_A0,brier,-0.00559444174577,,,,,200
draw,110,A1_minus_A0,brier,-0.00267686815717,,,,,200
draw,111,A1_minus_A0,brier,-0.00146657039551,,,,,200
draw,112,A1_minus_A0,brier,-0.00415896690548,,,,,200
draw,113,A1_minus_A0,brier,-0.00435248999502,,,,,200
draw,114,A1_minus_A0,brier,-0.00384016634415,,,,,200
draw,115,A1_minus_A0,brier,-0.0035436127812,,,,,200
draw,116,A1_minus_A0,brier,-0.00320966901882,,,,,200
draw,117,A1_minus_A0,brier,-0.00340987368138,,,,,200
draw,118,A1_minus_A0,brier,-0.00346373027821,,,,,200
draw,119,A1_minus_A0,brier,-0.00309719368156,,,,,200
draw,120,A1_minus_A0,brier,-0.00132760012837,,,,,200
draw,121,A1_minus_A0,brier,-0.00336808218986,,,,,200
draw,122,A1_minus_A0,brier,-0.00636601564713,,,,,200
draw,123,A1_minus_A0,brier,-0.00574414372502,,,,,200
draw,124,A1_minus_A0,brier,-0.00271508468173,,,,,200
draw,125,A1_minus_A0,brier,-0.00208050958915,,,,,200
draw,126,A1_minus_A0,brier,-0.00479788982263,,,,,200
