stage,model,scope_type,scope_value,bin,mean_probability,outcome_rate,rows
direction,D1,checkpoint,6,8,0.75141311743,0.833333333333,6
direction,D1,checkpoint,6,9,0.842278200975,0.666666666667,3
direction,D1,checkpoint,6,10,0.962888533336,1,1
direction,D2,checkpoint,6,1,0.0135216166319,1,1
direction,D2,checkpoint,6,2,0.150429555738,0.75,4
direction,D2,checkpoint,6,3,0.256439899303,0.571428571429,28
direction,D2,checkpoint,6,4,0.358801043036,0.56,25
direction,D2,checkpoint,6,5,0.456652912459,0.621621621622,37
direction,D2,checkpoint,6,6,0.542209143698,0.466666666667,30
direction,D2,checkpoint,6,7,0.647746647221,0.5,22
direction,D2,checkpoint,6,8,0.743457535627,0.5,16
direction,D2,checkpoint,6,9,0.834672987272,0.8,5
direction,D2,checkpoint,6,10,0.987577239441,1,1
direction,D3,checkpoint,6,1,0.0194621822744,0.5,2
direction,D3,checkpoint,6,2,0.161224235081,0.8,5
direction,D3,checkpoint,6,3,0.251050958615,0.5,22
direction,D3,checkpoint,6,4,0.350753887771,0.566666666667,30
direction,D3,checkpoint,6,5,0.450253717005,0.657142857143,35
direction,D3,checkpoint,6,6,0.546564628187,0.538461538462,26
direction,D3,checkpoint,6,7,0.650884675454,0.36,25
direction,D3,checkpoint,6,8,0.747866209944,0.666666666667,15
direction,D3,checkpoint,6,9,0.828196392635,0.666666666667,6
direction,D3,checkpoint,6,10,0.961280671443,0.666666666667,3
onset,A0,checkpoint,6,1,,,0
onset,A0,checkpoint,6,2,0.142069761477,0.134146341463,492
onset,A0,checkpoint,6,3,0.244364496786,0.264,125
onset,A0,checkpoint,6,4,0.350545597451,0.313432835821,67
onset,A0,checkpoint,6,5,0.443520194615,0.384615384615,26
onset,A0,checkpoint,6,6,0.547686814218,0.65,20
onset,A0,checkpoint,6,7,0.651085639727,0.785714285714,14
onset,A0,checkpoint,6,8,0.752397513557,0.6875,16
onset,A0,checkpoint,6,9,0.812359459112,1,4
onset,A0,checkpoint,6,10,,,0
onset,A1,checkpoint,6,1,0.0826047510397,0.129032258065,124
onset,A1,checkpoint,6,2,0.143929819765,0.150537634409,372
onset,A1,checkpoint,6,3,0.24174649603,0.220472440945,127
onset,A1,checkpoint,6,4,0.343668784901,0.344262295082,61
onset,A1,checkpoint,6,5,0.4508385072,0.481481481481,27
onset,A1,checkpoint,6,6,0.542487181018,0.636363636364,22
onset,A1,checkpoint,6,7,0.647217970139,0.625,8
onset,A1,checkpoint,6,8,0.742988772448,0.625,16
onset,A1,checkpoint,6,9,0.844617947373,0.5,2
onset,A1,checkpoint,6,10,0.967051811017,1,5
onset,A2,checkpoint,6,1,0.0785379626374,0.0964912280702,114
onset,A2,checkpoint,6,2,0.146572056047,0.146198830409,342
onset,A2,checkpoint,6,3,0.244611131462,0.261437908497,153
onset,A2,checkpoint,6,4,0.34167848526,0.222222222222,63
onset,A2,checkpoint,6,5,0.449583211353,0.542857142857,35
onset,A2,checkpoint,6,6,0.545317816883,0.388888888889,18
onset,A2,checkpoint,6,7,0.638084554187,0.588235294118,17
onset,A2,checkpoint,6,8,0.738241216176,0.846153846154,13
onset,A2,checkpoint,6,9,0.850715003955,0.333333333333,3
onset,A2,checkpoint,6,10,0.967100458811,1,6
onset,A3,checkpoint,6,1,0.0765498640299,0.142857142857,147
onset,A3,checkpoint,6,2,0.148382875622,0.14332247557,307
onset,A3,checkpoint,6,3,0.244729901633,0.226277372263,137
onset,A3,checkpoint,6,4,0.341706301638,0.25974025974,77
onset,A3,checkpoint,6,5,0.445380001608,0.259259259259,27
onset,A3,checkpoint,6,6,0.548973273711,0.636363636364,22
onset,A3,checkpoint,6,7,0.650093489463,0.736842105263,19
onset,A3,checkpoint,6,8,0.731945696683,0.555555555556,9
onset,A3,checkpoint,6,9,0.839857117208,0.571428571429,7
onset,A3,checkpoint,6,10,0.964582486647,0.75,12
