omitted_stock,rows,sessions,stocks,remains_below_iv_rate,mean_iv_residual,median_iv_residual,breach_1_5_sigma_rate,breach_2_0_sigma_rate,npv_lift,fresh_episode_rows,fresh_episode_1_5_sigma_containment,difference_remains_below_iv_rate,difference_npv_lift,difference_mean_iv_residual,difference_median_iv_residual,difference_breach_1_5_sigma_rate,difference_breach_2_0_sigma_rate,difference_fresh_episode_1_5_sigma_containment,status
AAL,1387,63,19,0.9163662581110312,-0.005007793142609792,-0.00478231057768842,0.012256669069935115,0.0028839221341023795,0.18529142424798573,520,0.9788461538461538,0.0012189930338923904,0.0051757439003168315,-6.62229276775228e-05,-7.5238092717444e-05,0.00033521044440916817,7.88730457433333e-05,-0.0008211289634579844,descriptive_only
AAOI,1386,63,19,0.9148629148629149,-0.004882516912019441,-0.004656354989503582,0.011544011544011546,0.002164502164502165,0.17999674174218583,524,0.9809160305343512,-0.00028435021422390516,-0.00011893860548306545,5.9053302912828384e-05,5.0717495467394146e-05,-0.00037744708151440064,-0.0006405469238568813,0.0012487477247393741,descriptive_only
APLD,1320,63,19,0.9159090909090908,-0.004730986045158865,-0.004627219401163673,0.01212121212121212,0.0022727272727272726,0.17986928704407767,509,0.9803536345776032,0.0007618258319519455,-0.00024639330359121914,0.0002105841697734043,7.98530838073035e-05,0.0001997534956861731,-0.0005323218156317736,0.0006863517679913667,descriptive_only
ASTS,1346,63,19,0.9130757800891531,-0.004858063511604656,-0.0046435445081036844,0.012630014858841012,0.002971768202080238,0.17928654887694462,513,0.9785575048732944,-0.0020714849879857056,-0.0008291314707242758,8.350670332761285e-05,6.352797686729177e-05,0.000708556233315066,0.00016671911372119182,-0.001109777936317391,descriptive_only
CIFR,1391,63,19,0.9158878504672897,-0.00486970327247699,-0.004675946865085161,0.012221423436376711,0.0028756290438533435,0.1798480466022766,525,0.979047619047619,0.0007405853901508719,-0.0002676337453922928,7.186694245527904e-05,3.1125619885815324e-05,0.0002999648108507648,7.057995549429727e-05,-0.0006196637619927392,descriptive_only
HIMS,1370,63,19,0.9145985401459855,-0.004933969058806078,-0.004706672712799541,0.012408759124087594,0.002919708029197081,0.17999651409678152,517,0.9787234042553191,-0.0005487249311533215,-0.00011916625088737032,7.6011561261912775e-06,3.997721714351851e-07,0.0004873004985616481,0.00011465894083803477,-0.0009438785542926764,descriptive_only
IONQ,1400,63,19,0.915,-0.004928008607858592,-0.004702511104146615,0.01142857142857143,0.0028571428571428576,0.17918879907621243,528,0.9810606060606061,-0.00014726507713880288,-0.0009268812714564589,1.3561607073677394e-05,4.56138082436091e-06,-0.0004928871969545161,5.209376878381137e-05,0.0013933232509942828,descriptive_only
IREN,1395,63,19,0.9132616487455198,-0.0048711726557133786,-0.004664727721028762,0.012186379928315415,0.0028673835125448033,0.17727263775650892,529,0.9792060491493384,-0.001885616331618989,-0.002843042591159972,7.039755921889063e-05,4.234476394221389e-05,0.0002649213027894684,6.233442418575709e-05,-0.00046123366027339685,descriptive_only
MARA,1383,63,19,0.913232104121475,-0.004923107705169098,-0.0046759468650851895,0.012292118582791035,0.002892263195950832,0.1771596403533593,519,0.9788053949903661,-0.0019151609556637972,-0.0029560399943096005,1.846250976317125e-05,3.11256198857867e-05,0.000370659957265089,8.72141075917857e-05,-0.0008618878192456769,descriptive_only
MP,1412,63,19,0.9143059490084986,-0.004953483805270192,-0.004740644527583151,0.012039660056657221,0.0028328611898016994,0.17831693801948767,533,0.9793621013133208,-0.000841316068640241,-0.0017987423281812243,-1.1913590337923191e-05,-3.3572042612175015e-05,0.00011820143113127485,2.781210144265321e-05,-0.000305181496290996,descriptive_only
MRNA,1295,62,19,0.9158301158301159,-0.005048304081878447,-0.004767040818704413,0.012355212355212357,0.0030888030888030892,0.1843539942671637,493,0.9797160243407708,0.0006828507529770267,0.004238313919494807,-0.00010673386694617752,-5.996833373343637e-05,0.0004337537296864105,0.000283754000444043,4.8741531158968954e-05,descriptive_only
MSTR,1329,63,19,0.9164785553047405,-0.0050782849875989034,-0.004808019235331527,0.01053423626787058,0.003009781790820166,0.17956415391665503,507,0.9842209072978304,0.0013312902276017002,-0.0005515264310138601,-0.00013671477266663425,-0.0001009467503605508,-0.0013872223576553658,0.00020473270246111966,0.0045536244882186105,descriptive_only
NVTS,1403,63,19,0.9158945117605133,-0.004919443660354596,-0.004695668317931507,0.012116892373485389,0.002851033499643621,0.18187075741520609,528,0.9791666666666666,0.0007472466833744473,0.0017550770675371918,2.2126554577672763e-05,1.140416703946951e-05,0.0001954337479594427,4.5984411284574755e-05,-0.000500616142945165,descriptive_only
QBTS,1395,63,19,0.9146953405017922,-0.0048903428333976024,-0.0046910255024171475,0.012186379928315415,0.0028673835125448033,0.17709060198691207,528,0.9791666666666666,-0.00045192457534659614,-0.0030250783607568277,5.122738153466675e-05,1.6046982553828693e-05,0.0002649213027894684,6.233442418575709e-05,-0.000500616142945165,descriptive_only
RGTI,1342,63,19,0.9172876304023844,-0.004873430154556666,-0.004656354989503486,0.011177347242921009,0.0022354694485842022,0.1814020482007086,505,0.9782178217821782,0.00214036532524553,0.001286367853039705,6.814006037560334e-05,5.071749546749042e-05,-0.0007441113826049377,-0.000569579639774844,-0.0014494610274335962,descriptive_only
RIOT,1319,63,19,0.9158453373768005,-0.004961888734262906,-0.004691025502417203,0.01213040181956027,0.0030326004548900673,0.18086274886838505,499,0.9779559118236473,0.0006980722996616784,0.0007470685207161543,-2.0318519330636726e-05,1.604698255377318e-05,0.00020894319403432296,0.00022755136653102113,-0.001711370985964522,descriptive_only
