sensitivity,rows,sessions,stocks,remains_below_iv_rate,mean_iv_residual,median_iv_residual,breach_1_5_sigma_rate,breach_2_0_sigma_rate,npv_lift,maximum_month_concentration,maximum_stock_concentration,maximum_surprise_event_month_concentration,maximum_surprise_event_stock_concentration,clustered_surprise_event_count,status
original,1426,63,20,0.9151472650771391,-0.004941570214932271,-0.004707072484970976,0.01192145862552595,0.002805049088359047,0.18011568034766912,0.3709677419354839,0.13253856942496495,0.5294117647058824,0.1764705882352941,17,descriptive_only
equal_month,1426,63,20,0.9135920327135877,-0.004898117541691911,-0.004684762886720554,0.012045884642215982,0.0027294161536071926,0.18009746416781558,0.3403111812162481,0.13380273120563285,0.560475217455734,0.18682507248524466,17,descriptive_only
equal_stock,1426,63,20,0.9151189400805921,-0.005010187660797579,-0.004768454282027675,0.012044932862427441,0.003137614435652642,0.18021740893974214,0.37041420890450305,0.12159666356862381,0.5167987563789735,0.17600365767212378,17,descriptive_only
equal_stock_month,1426,63,20,0.9138730427861022,-0.005054240366233937,-0.004786006889570408,0.011651421580166705,0.00299178747711824,0.1803302450562152,0.33716224879279233,0.12075833982876834,0.5376546219834644,0.17348480632119506,17,descriptive_only
one_fresh_episode_per_stock_session,472,63,20,0.8877118644067795,-0.004478126221514232,-0.004684633776846283,0.021186440677966094,0.004237288135593219,0.15268027967730957,0.3305084745762712,0.10381355932203389,0.6,0.19999999999999998,10,descriptive_only
