month,trading_sessions_in_source_calendar,sessions_represented_in_joined_panel,planned_stock_sessions,valid_exact_previous_close_chains,valid_option_pairs,option_pair_coverage_rate,eligible_checkpoint_rows,source_exposure_share,represented_stock_sessions,mean_eligible_checkpoints_per_valid_pair
2025-09,21,16,420,289,289,0.6880952380952381,4313,0.23781429201588003,289,14.923875432525952
2025-10,23,19,460,337,337,0.7326086956521739,5043,0.27806572562858406,337,14.964391691394658
2025-11,19,15,380,275,275,0.7236842105263158,4104,0.2262902514336127,275,14.923636363636364
2025-12,22,18,440,313,313,0.7113636363636363,4676,0.25782973092192324,313,14.939297124600639
