omitted_checkpoint_group,rows,sessions,stocks,remains_below_iv_rate,mean_iv_residual,median_iv_residual,breach_1_5_sigma_rate,breach_2_0_sigma_rate,npv_lift,fresh_episode_rows,fresh_episode_1_5_sigma_containment,difference_remains_below_iv_rate,difference_npv_lift,difference_mean_iv_residual,difference_median_iv_residual,difference_breach_1_5_sigma_rate,difference_breach_2_0_sigma_rate,difference_fresh_episode_1_5_sigma_containment,status
early,1414,63,20,0.9144271570014144,-0.004910164218865514,-0.0046961850381813325,0.012022630834512021,0.002828854314002829,0.13487286909150287,532,0.9793233082706767,-0.0007201080757244238,-0.04524281125616603,3.140599606675509e-05,1.08874467896437e-05,0.00010117220898607504,2.3805225643782745e-05,-0.0003439745389350879,descriptive_only
middle,1289,63,20,0.9123351435221102,-0.0048472961163716684,-0.004652636157948712,0.010861132660977503,0.0023273855702094647,0.18513199396207913,466,0.9828326180257511,-0.002812121555028635,0.005016313614410239,9.427409856060075e-05,5.4436327022264024e-05,-0.0010603259645484437,-0.00047766351814958153,0.0031653352161392645,descriptive_only
late,149,32,15,0.9463087248322148,-0.006055176869180649,-0.0063865840316111476,0.020134228187919465,0.006711409395973155,0.24766150375116547,84,0.9642857142857143,0.031161459755076004,0.06754582340349657,-0.00111360665424838,-0.0016795115466401713,0.008212769562393519,0.003906360307614109,-0.015381568523897493,descriptive_only
