experiment_run_id,contract_hash,data_snapshot_id,experiment_model_version,track,policy,period_slice,source_opportunities,retained_or_admitted,coverage,source_net_payoff_bps,policy_net_payoff_bps,veto_value_bps,losses_avoided_bps,profits_mistakenly_rejected_bps,net_negative_veto_value_bps,mean_bars_consumed
sequential-veto-500c56c9572a4c122a0f3ac4,49b55b4c4ba394cf3260652b977d527623fe9d4b1299df8fcf3e73708a0fd609,bea06a259c9820488a8fc143f2ee1aaa7f289cad4d5817e351e67d222c5a040b,sequential_loop_competitor_veto_v1.0.0,track_b_prior_only,bad_mass_veto,all,9926,9926,1,-12317.0834465,-12317.0834465,0,-0,0,-0,6.45970179327
sequential-veto-500c56c9572a4c122a0f3ac4,49b55b4c4ba394cf3260652b977d527623fe9d4b1299df8fcf3e73708a0fd609,bea06a259c9820488a8fc143f2ee1aaa7f289cad4d5817e351e67d222c5a040b,sequential_loop_competitor_veto_v1.0.0,track_b_prior_only,base_no_rejection,all,9926,9926,1,-12317.0834465,-12317.0834465,0,-0,0,-0,6.45970179327
sequential-veto-500c56c9572a4c122a0f3ac4,49b55b4c4ba394cf3260652b977d527623fe9d4b1299df8fcf3e73708a0fd609,bea06a259c9820488a8fc143f2ee1aaa7f289cad4d5817e351e67d222c5a040b,sequential_loop_competitor_veto_v1.0.0,track_b_prior_only,delayed_admit_after_resolution,all,9926,0,0,-12317.0834465,0,12317.0834465,1203285.58885,1190968.5054,12317.0834465,6.45970179327
sequential-veto-500c56c9572a4c122a0f3ac4,49b55b4c4ba394cf3260652b977d527623fe9d4b1299df8fcf3e73708a0fd609,bea06a259c9820488a8fc143f2ee1aaa7f289cad4d5817e351e67d222c5a040b,sequential_loop_competitor_veto_v1.0.0,track_b_prior_only,full_sequential_conservative_veto,all,9926,0,0,-12317.0834465,0,12317.0834465,1203285.58885,1190968.5054,12317.0834465,6.45970179327
sequential-veto-500c56c9572a4c122a0f3ac4,49b55b4c4ba394cf3260652b977d527623fe9d4b1299df8fcf3e73708a0fd609,bea06a259c9820488a8fc143f2ee1aaa7f289cad4d5817e351e67d222c5a040b,sequential_loop_competitor_veto_v1.0.0,track_b_prior_only,sequential_good_to_bad_odds_veto,all,9926,9677,0.974914366311,-12317.0834465,-3917.45899709,8399.62444943,38194.9689309,29795.3444814,8399.62444943,6.45970179327
sequential-veto-500c56c9572a4c122a0f3ac4,49b55b4c4ba394cf3260652b977d527623fe9d4b1299df8fcf3e73708a0fd609,bea06a259c9820488a8fc143f2ee1aaa7f289cad4d5817e351e67d222c5a040b,sequential_loop_competitor_veto_v1.0.0,track_b_prior_only,static_anchor_good_to_bad_odds_veto,all,9926,9217,0.928571428571,-12317.0834465,11361.8517993,23678.9352458,94101.2144311,70422.2791853,23678.9352458,6.45970179327
sequential-veto-500c56c9572a4c122a0f3ac4,49b55b4c4ba394cf3260652b977d527623fe9d4b1299df8fcf3e73708a0fd609,bea06a259c9820488a8fc143f2ee1aaa7f289cad4d5817e351e67d222c5a040b,sequential_loop_competitor_veto_v1.0.0,track_a_named_family,bad_mass_veto,2023,854,854,1,8572.02715218,8572.02715218,0,-0,0,-0,6.13114754098
sequential-veto-500c56c9572a4c122a0f3ac4,49b55b4c4ba394cf3260652b977d527623fe9d4b1299df8fcf3e73708a0fd609,bea06a259c9820488a8fc143f2ee1aaa7f289cad4d5817e351e67d222c5a040b,sequential_loop_competitor_veto_v1.0.0,track_a_named_family,bad_mass_veto,2025,809,809,1,15099.7365112,15099.7365112,0,-0,0,-0,6.38566131026
sequential-veto-500c56c9572a4c122a0f3ac4,49b55b4c4ba394cf3260652b977d527623fe9d4b1299df8fcf3e73708a0fd609,bea06a259c9820488a8fc143f2ee1aaa7f289cad4d5817e351e67d222c5a040b,sequential_loop_competitor_veto_v1.0.0,track_a_named_family,base_no_rejection,2023,854,854,1,8572.02715218,8572.02715218,0,-0,0,-0,6.13114754098
sequential-veto-500c56c9572a4c122a0f3ac4,49b55b4c4ba394cf3260652b977d527623fe9d4b1299df8fcf3e73708a0fd609,bea06a259c9820488a8fc143f2ee1aaa7f289cad4d5817e351e67d222c5a040b,sequential_loop_competitor_veto_v1.0.0,track_a_named_family,base_no_rejection,2025,809,809,1,15099.7365112,15099.7365112,0,-0,0,-0,6.38566131026
