scope,target,model,brier_score,log_loss,auc,calibration_intercept,calibration_slope,expected_calibration_error,base_rate,row_count,session_count,stock_count
checkpoint_6,large_remaining_move,M0,0.164600613085,0.512501841092,0.5,-1.37401454747,0,0.0584918438937,0.201972010178,3144,158,20
checkpoint_12,large_remaining_move,M0,0.171402477908,0.527230052038,0.5,-1.28557309197,0,0.0414283384897,0.216603053435,3144,158,20
checkpoint_6,large_remaining_move,M1,0.153348420123,0.484650970409,0.671163653368,-0.488148280899,0.891792546163,0.0638835703398,0.201972010178,3144,158,20
checkpoint_12,large_remaining_move,M1,0.162472918646,0.504142392714,0.663378053935,-0.396733733609,0.895751704661,0.050488937228,0.216603053435,3144,158,20
checkpoint_6,large_remaining_move,M2,0.154183087459,0.486176947278,0.663799926564,-0.473452871099,0.909312343053,0.0666713314871,0.201972010178,3144,158,20
checkpoint_12,large_remaining_move,M2,0.163599639192,0.505856658274,0.65754786106,-0.500056170889,0.784493894807,0.0547078697382,0.216603053435,3144,158,20
checkpoint_6,large_remaining_move,M3,0.15433037493,0.486471880732,0.665121154395,-0.485774914071,0.898514721823,0.0667328185472,0.201972010178,3144,158,20
checkpoint_12,large_remaining_move,M3,0.165014938776,0.510430784076,0.646114625682,-0.56263917067,0.712064091522,0.0570081299991,0.216603053435,3144,158,20
checkpoint_6,up_given_large_move,M0,0.249113098377,0.691375814954,0.5,0.135640653056,0,0.0161084036958,0.533858267717,635,154,20
checkpoint_12,up_given_large_move,M0,0.247282653254,0.687702600336,0.5,0.209277366782,0,0.000330170830586,0.552129221733,681,157,20
checkpoint_6,up_given_large_move,M1,0.248826164489,0.690894217225,0.540809614925,0.00248553044343,0.549991707828,0.042566617216,0.533858267717,635,154,20
checkpoint_12,up_given_large_move,M1,0.248726516731,0.690489778186,0.513646668992,0.125833219867,0.348040669492,0.0481820859262,0.552129221733,681,157,20
checkpoint_6,up_given_large_move,M2,0.249132683642,0.692051870748,0.558638284302,-0.00460476116114,0.514211720009,0.0427800974981,0.533858267717,635,154,20
checkpoint_12,up_given_large_move,M2,0.248260791144,0.691563913361,0.561562608999,0.086850945382,0.424644456715,0.0499757938383,0.552129221733,681,157,20
checkpoint_6,up_given_large_move,M3,0.250244555741,0.694527832968,0.560153073427,0.0189310904544,0.451843492398,0.0648196676409,0.533858267717,635,154,20
checkpoint_12,up_given_large_move,M3,0.251799132502,0.700059385826,0.554037321242,0.13462748021,0.31745205965,0.056602025571,0.552129221733,681,157,20
checkpoint_6,remaining_direction_up,M0,0.250001990903,0.693151162376,0.5,0.00127226480266,0,0.00144639882981,0.500318066158,3144,158,20
checkpoint_12,remaining_direction_up,M0,0.250000021206,0.693147222972,0.5,0,0,0.000145622771574,0.5,3144,158,20
checkpoint_6,remaining_direction_up,M1,0.249722249164,0.69254434857,0.517542407827,-0.00300051802701,0.69290379619,0.00902293506659,0.500318066158,3144,158,20
checkpoint_12,remaining_direction_up,M1,0.251065677487,0.695282943203,0.500809328646,0.000595452437698,-0.10969732464,0.0173139297775,0.5,3144,158,20
checkpoint_6,remaining_direction_up,M2,0.249991219683,0.693088565506,0.518537073135,0.00360479034792,0.506017739259,0.0153292592374,0.500318066158,3144,158,20
checkpoint_12,remaining_direction_up,M2,0.251723879387,0.696643106093,0.51081667735,-0.00148814652034,0.142787934895,0.0154133603542,0.5,3144,158,20
checkpoint_6,remaining_direction_up,M3,0.24993994543,0.693049873232,0.529836519594,0.00475418819109,0.508251103357,0.00772799392379,0.500318066158,3144,158,20
checkpoint_12,remaining_direction_up,M3,0.253862070517,0.701166389388,0.500609829135,-0.000302688297924,0.0631835984226,0.0437267906806,0.5,3144,158,20
