record_type,draw,metric,value,confidence_level,lower,upper
draw,0,movement_M2_minus_M1_brier_improvement,-0.000580665986294,,,
draw,0,movement_M3_minus_M2_brier_improvement,-0.000988344565688,,,
draw,0,direction_M2_minus_M1_brier_improvement,-0.00110695558029,,,
draw,0,direction_M3_minus_M2_brier_improvement,-0.00305591399273,,,
draw,0,movement_M2_minus_M1_log_loss_improvement,-0.000229325826072,,,
draw,0,movement_M3_minus_M2_log_loss_improvement,-0.00293439966032,,,
draw,0,direction_M2_minus_M1_log_loss_improvement,-0.00317673660491,,,
draw,0,direction_M3_minus_M2_log_loss_improvement,-0.00757275631688,,,
draw,0,M3_minus_M1_top_one_cohort_relative_bps,14.2483030276,,,
draw,1,movement_M2_minus_M1_brier_improvement,-0.000763895262737,,,
draw,1,movement_M3_minus_M2_brier_improvement,-0.00105570483703,,,
draw,1,direction_M2_minus_M1_brier_improvement,-4.71927184831e-05,,,
draw,1,direction_M3_minus_M2_brier_improvement,-0.00344515161358,,,
draw,1,movement_M2_minus_M1_log_loss_improvement,-0.00106515356062,,,
draw,1,movement_M3_minus_M2_log_loss_improvement,-0.00308791543894,,,
draw,1,direction_M2_minus_M1_log_loss_improvement,-0.0015831479869,,,
draw,1,direction_M3_minus_M2_log_loss_improvement,-0.00804700904761,,,
draw,1,M3_minus_M1_top_one_cohort_relative_bps,36.6745967882,,,
draw,2,movement_M2_minus_M1_brier_improvement,-0.00043159214974,,,
draw,2,movement_M3_minus_M2_brier_improvement,-0.000630192831583,,,
draw,2,direction_M2_minus_M1_brier_improvement,0.00147789631219,,,
draw,2,direction_M3_minus_M2_brier_improvement,-0.00263887703567,,,
draw,2,movement_M2_minus_M1_log_loss_improvement,0.000595664549457,,,
draw,2,movement_M3_minus_M2_log_loss_improvement,-0.00187156626453,,,
draw,2,direction_M2_minus_M1_log_loss_improvement,0.00216561170913,,,
draw,2,direction_M3_minus_M2_log_loss_improvement,-0.00615012402452,,,
draw,2,M3_minus_M1_top_one_cohort_relative_bps,8.5743139551,,,
draw,3,movement_M2_minus_M1_brier_improvement,-0.000795115130598,,,
draw,3,movement_M3_minus_M2_brier_improvement,-0.00070144956691,,,
draw,3,direction_M2_minus_M1_brier_improvement,0.000804519358559,,,
draw,3,direction_M3_minus_M2_brier_improvement,-0.00309531481891,,,
draw,3,movement_M2_minus_M1_log_loss_improvement,-0.00090730474843,,,
draw,3,movement_M3_minus_M2_log_loss_improvement,-0.00203989634098,,,
draw,3,direction_M2_minus_M1_log_loss_improvement,0.000454441891995,,,
draw,3,direction_M3_minus_M2_log_loss_improvement,-0.00640669456462,,,
draw,3,M3_minus_M1_top_one_cohort_relative_bps,23.6882115522,,,
draw,4,movement_M2_minus_M1_brier_improvement,-0.00122980324426,,,
draw,4,movement_M3_minus_M2_brier_improvement,-0.000671726815319,,,
draw,4,direction_M2_minus_M1_brier_improvement,-0.00141176548048,,,
draw,4,direction_M3_minus_M2_brier_improvement,-0.00248086242081,,,
draw,4,movement_M2_minus_M1_log_loss_improvement,-0.00160676858389,,,
draw,4,movement_M3_minus_M2_log_loss_improvement,-0.00243454850234,,,
draw,4,direction_M2_minus_M1_log_loss_improvement,-0.00505656511566,,,
draw,4,direction_M3_minus_M2_log_loss_improvement,-0.00506190125399,,,
draw,4,M3_minus_M1_top_one_cohort_relative_bps,10.6324029629,,,
draw,5,movement_M2_minus_M1_brier_improvement,-0.000754553664203,,,
draw,5,movement_M3_minus_M2_brier_improvement,-0.000720186279298,,,
draw,5,direction_M2_minus_M1_brier_improvement,0.00115378194453,,,
draw,5,direction_M3_minus_M2_brier_improvement,-0.00373443167413,,,
draw,5,movement_M2_minus_M1_log_loss_improvement,-0.00115794735235,,,
draw,5,movement_M3_minus_M2_log_loss_improvement,-0.00201860478226,,,
draw,5,direction_M2_minus_M1_log_loss_improvement,0.00139907923866,,,
draw,5,direction_M3_minus_M2_log_loss_improvement,-0.00992834704194,,,
draw,5,M3_minus_M1_top_one_cohort_relative_bps,-20.1729861351,,,
draw,6,movement_M2_minus_M1_brier_improvement,-0.00108285024881,,,
draw,6,movement_M3_minus_M2_brier_improvement,-0.00058003183887,,,
draw,6,direction_M2_minus_M1_brier_improvement,0.00244110367884,,,
draw,6,direction_M3_minus_M2_brier_improvement,0.000651093782519,,,
draw,6,movement_M2_minus_M1_log_loss_improvement,-0.00164908442158,,,
draw,6,movement_M3_minus_M2_log_loss_improvement,-0.00219280069156,,,
draw,6,direction_M2_minus_M1_log_loss_improvement,0.0045430838666,,,
draw,6,direction_M3_minus_M2_log_loss_improvement,0.00177017769683,,,
draw,6,M3_minus_M1_top_one_cohort_relative_bps,-3.69969419677,,,
draw,7,movement_M2_minus_M1_brier_improvement,-0.00133231273575,,,
draw,7,movement_M3_minus_M2_brier_improvement,-0.000451835110409,,,
draw,7,direction_M2_minus_M1_brier_improvement,-0.00290202876232,,,
draw,7,direction_M3_minus_M2_brier_improvement,-0.00071149272582,,,
draw,7,movement_M2_minus_M1_log_loss_improvement,-0.00302871750118,,,
draw,7,movement_M3_minus_M2_log_loss_improvement,-0.0021740458675,,,
draw,7,direction_M2_minus_M1_log_loss_improvement,-0.00909002513634,,,
draw,7,direction_M3_minus_M2_log_loss_improvement,-0.00116612723722,,,
draw,7,M3_minus_M1_top_one_cohort_relative_bps,32.3646393482,,,
draw,8,movement_M2_minus_M1_brier_improvement,-0.00124028958861,,,
draw,8,movement_M3_minus_M2_brier_improvement,-0.00055056087319,,,
draw,8,direction_M2_minus_M1_brier_improvement,0.000320553253718,,,
draw,8,direction_M3_minus_M2_brier_improvement,-0.00263485585891,,,
draw,8,movement_M2_minus_M1_log_loss_improvement,-0.00237822230696,,,
draw,8,movement_M3_minus_M2_log_loss_improvement,-0.00193414699635,,,
draw,8,direction_M2_minus_M1_log_loss_improvement,-0.000635532336609,,,
draw,8,direction_M3_minus_M2_log_loss_improvement,-0.00630284371172,,,
draw,8,M3_minus_M1_top_one_cohort_relative_bps,-27.4940973684,,,
draw,9,movement_M2_minus_M1_brier_improvement,-0.000865074887165,,,
draw,9,movement_M3_minus_M2_brier_improvement,-0.000430070616545,,,
draw,9,direction_M2_minus_M1_brier_improvement,0.00249742508371,,,
draw,9,direction_M3_minus_M2_brier_improvement,-0.00644004249047,,,
draw,9,movement_M2_minus_M1_log_loss_improvement,-0.00164448335853,,,
draw,9,movement_M3_minus_M2_log_loss_improvement,-0.00105077823279,,,
draw,9,direction_M2_minus_M1_log_loss_improvement,0.00426151330502,,,
draw,9,direction_M3_minus_M2_log_loss_improvement,-0.014903149145,,,
draw,9,M3_minus_M1_top_one_cohort_relative_bps,21.3668307097,,,
draw,10,movement_M2_minus_M1_brier_improvement,-0.00122391258234,,,
draw,10,movement_M3_minus_M2_brier_improvement,-0.000621553791545,,,
draw,10,direction_M2_minus_M1_brier_improvement,-0.000936952627704,,,
draw,10,direction_M3_minus_M2_brier_improvement,-0.00450060104996,,,
draw,10,movement_M2_minus_M1_log_loss_improvement,-0.00289887491071,,,
draw,10,movement_M3_minus_M2_log_loss_improvement,-0.00226828808697,,,
draw,10,direction_M2_minus_M1_log_loss_improvement,-0.00398726963317,,,
draw,10,direction_M3_minus_M2_log_loss_improvement,-0.0102617369939,,,
draw,10,M3_minus_M1_top_one_cohort_relative_bps,43.3240244741,,,
draw,11,movement_M2_minus_M1_brier_improvement,-0.00124576839375,,,
draw,11,movement_M3_minus_M2_brier_improvement,-0.000924127619861,,,
draw,11,direction_M2_minus_M1_brier_improvement,-0.00144466134223,,,
draw,11,direction_M3_minus_M2_brier_improvement,-0.00304420548883,,,
draw,11,movement_M2_minus_M1_log_loss_improvement,-0.00282912474541,,,
draw,11,movement_M3_minus_M2_log_loss_improvement,-0.00344303943933,,,
draw,11,direction_M2_minus_M1_log_loss_improvement,-0.00409787254867,,,
draw,11,direction_M3_minus_M2_log_loss_improvement,-0.00709039589808,,,
draw,11,M3_minus_M1_top_one_cohort_relative_bps,0.860831405318,,,
draw,12,movement_M2_minus_M1_brier_improvement,-0.000410136519287,,,
draw,12,movement_M3_minus_M2_brier_improvement,-0.00101802592828,,,
draw,12,direction_M2_minus_M1_brier_improvement,0.00205295889657,,,
draw,12,direction_M3_minus_M2_brier_improvement,-0.00221329206647,,,
draw,12,movement_M2_minus_M1_log_loss_improvement,0.000587713787549,,,
draw,12,movement_M3_minus_M2_log_loss_improvement,-0.00315525374477,,,
draw,12,direction_M2_minus_M1_log_loss_improvement,0.00411568425512,,,
draw,12,direction_M3_minus_M2_log_loss_improvement,-0.00539362453812,,,
draw,12,M3_minus_M1_top_one_cohort_relative_bps,1.03712948314,,,
draw,13,movement_M2_minus_M1_brier_improvement,-0.00171248244073,,,
draw,13,movement_M3_minus_M2_brier_improvement,-0.000779120412193,,,
draw,13,direction_M2_minus_M1_brier_improvement,0.00162269726534,,,
draw,13,direction_M3_minus_M2_brier_improvement,-0.00244844945289,,,
draw,13,movement_M2_minus_M1_log_loss_improvement,-0.00348874689389,,,
draw,13,movement_M3_minus_M2_log_loss_improvement,-0.0022361935064,,,
draw,13,direction_M2_minus_M1_log_loss_improvement,0.00163027845739,,,
draw,13,direction_M3_minus_M2_log_loss_improvement,-0.00508058593104,,,
draw,13,M3_minus_M1_top_one_cohort_relative_bps,8.22449058582,,,
draw,14,movement_M2_minus_M1_brier_improvement,-0.00119617926376,,,
draw,14,movement_M3_minus_M2_brier_improvement,-0.000759648261615,,,
draw,14,direction_M2_minus_M1_brier_improvement,0.000321221128585,,,
draw,14,direction_M3_minus_M2_brier_improvement,-0.000785869796519,,,
draw,14,movement_M2_minus_M1_log_loss_improvement,-0.00236773210728,,,
draw,14,movement_M3_minus_M2_log_loss_improvement,-0.00283342554111,,,
draw,14,direction_M2_minus_M1_log_loss_improvement,-8.35095111525e-05,,,
draw,14,direction_M3_minus_M2_log_loss_improvement,-0.00194909481207,,,
draw,14,M3_minus_M1_top_one_cohort_relative_bps,1.23238415817,,,
draw,15,movement_M2_minus_M1_brier_improvement,-0.00169859008203,,,
draw,15,movement_M3_minus_M2_brier_improvement,-0.000600667627449,,,
draw,15,direction_M2_minus_M1_brier_improvement,0.000232404191115,,,
draw,15,direction_M3_minus_M2_brier_improvement,-0.000501176710985,,,
draw,15,movement_M2_minus_M1_log_loss_improvement,-0.00336184332809,,,
draw,15,movement_M3_minus_M2_log_loss_improvement,-0.00239656413085,,,
draw,15,direction_M2_minus_M1_log_loss_improvement,-0.000774549824178,,,
draw,15,direction_M3_minus_M2_log_loss_improvement,-0.00176796560083,,,
draw,15,M3_minus_M1_top_one_cohort_relative_bps,4.43931148389,,,
draw,16,movement_M2_minus_M1_brier_improvement,-0.000548739328736,,,
draw,16,movement_M3_minus_M2_brier_improvement,-0.000965916282601,,,
draw,16,direction_M2_minus_M1_brier_improvement,-2.09002824318e-05,,,
draw,16,direction_M3_minus_M2_brier_improvement,-0.00286620232155,,,
draw,16,movement_M2_minus_M1_log_loss_improvement,1.68548072223e-05,,,
draw,16,movement_M3_minus_M2_log_loss_improvement,-0.00305795174832,,,
draw,16,direction_M2_minus_M1_log_loss_improvement,-0.00149602806418,,,
draw,16,direction_M3_minus_M2_log_loss_improvement,-0.0065675335381,,,
draw,16,M3_minus_M1_top_one_cohort_relative_bps,20.5919694034,,,
draw,17,movement_M2_minus_M1_brier_improvement,-6.33054797695e-05,,,
draw,17,movement_M3_minus_M2_brier_improvement,-0.000723598629985,,,
draw,17,direction_M2_minus_M1_brier_improvement,0.00325914982709,,,
draw,17,direction_M3_minus_M2_brier_improvement,-0.00212863989214,,,
draw,17,movement_M2_minus_M1_log_loss_improvement,0.00206807895632,,,
draw,17,movement_M3_minus_M2_log_loss_improvement,-0.00226775431663,,,
draw,17,direction_M2_minus_M1_log_loss_improvement,0.00595350212845,,,
draw,17,direction_M3_minus_M2_log_loss_improvement,-0.00509687120755,,,
draw,17,M3_minus_M1_top_one_cohort_relative_bps,-22.178446062,,,
draw,18,movement_M2_minus_M1_brier_improvement,-0.00117645198664,,,
draw,18,movement_M3_minus_M2_brier_improvement,-0.000626820878995,,,
draw,18,direction_M2_minus_M1_brier_improvement,-0.00204234466765,,,
draw,18,direction_M3_minus_M2_brier_improvement,-0.000521289737663,,,
draw,18,movement_M2_minus_M1_log_loss_improvement,-0.00197142890994,,,
draw,18,movement_M3_minus_M2_log_loss_improvement,-0.00213132340714,,,
draw,18,direction_M2_minus_M1_log_loss_improvement,-0.00552519396413,,,
draw,18,direction_M3_minus_M2_log_loss_improvement,-0.000828185971132,,,
draw,18,M3_minus_M1_top_one_cohort_relative_bps,38.1611491988,,,
draw,19,movement_M2_minus_M1_brier_improvement,-0.00111564298815,,,
