period,symbol,rows,sessions,weight_sum,weighted_joined_row_share
assessment,AAL,9,1,0.05263157894736842,0.3333333333333331
assessment,MSTR,15,1,0.052631578947368404,0.33333333333333304
assessment,WULF,15,1,0.052631578947368404,0.33333333333333304
development,AAL,15,2,0.09999999999999998,0.4
development,MSTR,18,2,0.1,0.40000000000000013
development,WULF,14,1,0.05,0.20000000000000007
