period,exact_selected_coverage,family_resolved_coverage,other_events_resolved_by_family_share,exact_identity_entropy_nats,family_entropy_nats,run_id,git_sha,contract_hash,data_snapshot_hash,dictionary_version,dictionary_hash,state_model_version,research_only,execution_enabled,order_placement,broker_connected,economic_outcomes_used,payoff_selection_used,production_runtime_modified,strategy_promotion,decision_id,symbol,session,decision_timestamp,event_timestamp,semantic_loop_id,primitive_loop_id,source_artifact,source_hash
development_2024,0.117808249635,1,1,3.99144798164,0.955403428797,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,,,loop_family_mapping.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
unchanged_retrospective_validation_2025,0.114998936057,1,1,4.06449624659,0.990876434506,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,29e82d6539810e5fcebc13e860d07474c38ee0349fe38aedce0378f9aefb67a4,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,,,loop_family_mapping.parquet,29e82d6539810e5fcebc13e860d07474c38ee0349fe38aedce0378f9aefb67a4
