year_month,log_loss,brier_score,auc,average_precision,expected_calibration_error,calibration_intercept,calibration_slope,base_rate,mean_probability_realised_class,rows,positive_outcomes,model,sessions,stocks,top_decile_probability_boundary,top_decile_precision,top_decile_lift,top_decile_rows,top_quintile_probability_boundary,top_quintile_precision,top_quintile_lift,top_quintile_rows
2025-01,0.182223362962696,0.0464313016017719,0.745418538054425,0.124702247941147,0.00324094219996702,-0.0463326793955265,0.989634149064137,0.0506469298245614,0.906986287564112,3173,161,H0,20,20,0.1281350683355,0.157126793745984,3.10239523482004,216,0.0918853407231872,0.133775434746309,2.64133354597604,485
2025-01,0.157927653270012,0.0428064673458299,0.855978216110199,0.232359556710462,0.00909189595287716,0.245679718485146,1.15139442089226,0.0506469298245614,0.911092874709806,3173,161,H1,20,20,0.172426954773482,0.264800073199744,5.22835390253662,253,0.0938956270617402,0.196884147745338,3.887385640696,528
2025-02,0.168221085638287,0.0414086875583129,0.73646441762989,0.130170247093978,0.0104476833077152,-0.0980828450993807,1.03359488619019,0.0450657894736842,0.910389485539588,3040,137,H0,19,20,0.1281350683355,0.144859813084112,3.2144075312095,214,0.0918853407231872,0.119747899159664,2.65717966018524,476
2025-02,0.145019945517586,0.0383201183725354,0.858990573557181,0.236389871426113,0.00942754449089725,0.177877171143704,1.1828240106621,0.0450657894736842,0.915726178025587,3040,137,H1,19,20,0.172426954773482,0.237442922374429,5.26880645268807,219,0.0938956270617402,0.173570019723866,3.85148072963907,507
2025-03,0.153681514467627,0.0369852148273842,0.755603633001584,0.123488599379933,0.0139894413071144,0.0377515875744225,1.14090021237505,0.0399436090225564,0.914467104809999,3354,134,H0,21,20,0.1281350683355,0.15049504950495,3.76768782760629,239,0.0918853407231872,0.119871794871795,3.00102564102564,492
2025-03,0.135735335868506,0.0348980955411965,0.859134273255724,0.19911807630621,0.0154530794813568,0.0505549773014642,1.18898269779302,0.0399436090225564,0.918779018407211,3354,134,H1,21,20,0.172426954773482,0.21753460777851,5.446042886502,239,0.0938956270617402,0.163356950404151,4.08968929952981,526
2025-04,0.162928947285534,0.0393434528640201,0.72084277131309,0.113098188484426,0.0120193938771864,-0.327529580887657,0.976307694144728,0.0420391255917572,0.912054965981893,3336,140,H0,21,20,0.1281350683355,0.144340434689047,3.43347851929033,216,0.0918853407231872,0.118921090387374,2.8288193132802,506
2025-04,0.139313380010217,0.036150848467609,0.857920504564043,0.218469504190723,0.0133415091869764,0.16587999617143,1.21723297730131,0.0420391255917572,0.917296901108607,3336,140,H1,21,20,0.172426954773482,0.248773704171934,5.91767075718417,230,0.0938956270617402,0.165334691290024,3.93287655161035,558
2025-05,0.158293920273004,0.0382844389296596,0.75518292286361,0.136999756490703,0.0160532794396512,0.178027685811928,1.21752390774434,0.0415572853072853,0.909601054437098,3337,138,H0,21,20,0.1281350683355,0.163775133887054,3.94094880539136,265,0.0918853407231872,0.118637938827784,2.85480483026127,563
2025-05,0.136719790271976,0.0348672210205479,0.85044887627527,0.261069212080506,0.0138570484966041,0.197349840715973,1.2286710895856,0.0415572853072853,0.919477003182559,3337,138,H1,21,20,0.172426954773482,0.267802777158981,6.44418361735562,229,0.0938956270617402,0.169036011951565,4.06754220593739,540
2025-06,0.167848513877597,0.0418241640609401,0.771581107745513,0.172336232336568,0.0169158823542019,0.205742060117744,1.22287363265831,0.0465625,0.903198529387729,3200,149,H0,20,20,0.1281350683355,0.164516129032258,3.53323230136393,310,0.0918853407231872,0.133550488599349,2.86819841287191,614
2025-06,0.145068377678522,0.0380356687476796,0.861691292765715,0.282659185305813,0.0147772932738836,0.203464173228128,1.22434866492007,0.0465625,0.913824284307476,3200,149,H1,20,20,0.172426954773482,0.282868525896414,6.07502874408407,251,0.0938956270617402,0.185920577617329,3.99292515688222,554
2025-07,0.168692281915722,0.0421026643362324,0.781005356682012,0.17717739351987,0.0165939876259401,0.467656056871162,1.32698578190528,0.0469348086124402,0.902523756985516,3519,165,H0,22,20,0.1281350683355,0.17045643153527,3.6317700353867,317,0.0918853407231872,0.139589206604913,2.97410835862906,653
2025-07,0.142613353445148,0.0373332724952592,0.873570587574014,0.338933070012612,0.0192532935785072,0.335407802283785,1.33507224318567,0.0469348086124402,0.911959562682357,3519,165,H1,22,20,0.172426954773482,0.273904700991366,5.83585422182304,329,0.0938956270617402,0.186173960698348,3.96665004507981,672
2025-08,0.165110997599379,0.0407839780772633,0.777829220110939,0.169601346880873,0.0190452334381827,0.440467586251882,1.34143726935873,0.0449424342105263,0.903118890834544,2559,115,H0,16,20,0.1281350683355,0.152124257651896,3.38486911810989,230,0.0918853407231872,0.123677248677249,2.75190364851847,477
2025-08,0.139053584350114,0.0370117572547481,0.889865481346022,0.267468303387793,0.0183467326151157,0.322334475401853,1.34797268202555,0.0449424342105263,0.912500873883482,2559,115,H1,16,20,0.172426954773482,0.272364404789857,6.06029489889233,224,0.0938956270617402,0.167024210848912,3.71640330086509,515
