subgroup_dimension,subgroup_value,log_loss,brier_score,auc,average_precision,expected_calibration_error,calibration_intercept,calibration_slope,base_rate,mean_probability_realised_class,rows,positive_outcomes,model,sessions,stocks,top_decile_probability_boundary,top_decile_precision,top_decile_lift,top_decile_rows,top_quintile_probability_boundary,top_quintile_precision,top_quintile_lift,top_quintile_rows
transition_probability_half,high,0.228406224634042,0.0600027758103484,0.711399795013541,0.159728943629505,0.0100748739153687,-0.155386771465486,1.00116568228634,0.0670754443303868,0.87221475966489,11355,761,H0,160,20,0.1281350683355,0.164833961953077,2.45744122306773,1660,0.0918853407231872,0.132309539132977,1.97254808304025,3371
transition_probability_half,high,0.188150928620138,0.0532211029692254,0.85897258462768,0.300171087602104,0.00628602062431217,0.120793136519776,1.11505124609888,0.0670754443303868,0.889267744307049,11355,761,H1,160,20,0.172426954773482,0.279938745228525,4.17349073156576,1556,0.0938956270617402,0.217903922632759,3.24863927191375,2585
transition_probability_half,low,0.115559971683857,0.0255128535241883,0.750290168483321,0.0809270962322723,0.0139411718527701,0.243052152432914,1.24159226741174,0.0266990000795914,0.936521027845257,14163,378,H0,160,20,0.1281350683355,0.120759180809181,4.52298514735345,347,0.0918853407231872,0.104982026555864,3.93205836334341,895
transition_probability_half,low,0.106181171250279,0.0247015401994991,0.843362914347924,0.132909505574697,0.0168414662147359,0.364440676418583,1.36483926944021,0.0266990000795914,0.935931978550795,14163,378,H1,160,20,0.172426954773482,0.182042454736783,6.81832481344257,418,0.0938956270617402,0.116986759667911,4.38169067452588,1815
posterior_entropy_half,high,0.241157881275183,0.0629190921281922,0.670175729372487,0.149661378759279,0.00880125628032283,-0.399781147583188,0.883232833390694,0.0697642306810536,0.867719730599476,12488,870,H0,160,20,0.1281350683355,0.161730867602622,2.31824913747016,1748,0.0918853407231872,0.128220079309952,1.83790572988823,3667
posterior_entropy_half,high,0.204045830430843,0.0569213811204524,0.82961171594365,0.273509438007691,0.00706237532143455,0.0719690683105937,1.09593718447317,0.0697642306810536,0.880957734003646,12488,870,H1,160,20,0.172426954773482,0.263915046368829,3.78295644906326,1632,0.0938956270617402,0.200084836166973,2.86801465756451,3122
posterior_entropy_half,low,0.0935436328021079,0.0197238404840556,0.790737107255713,0.0900444157765175,0.0155617816719603,0.60077984876118,1.41176307402645,0.0206168593438863,0.946411639401525,13030,269,H0,160,20,0.1281350683355,0.126703420831736,6.14562182912249,259,0.0918853407231872,0.116477296100968,5.64961394740797,599
posterior_entropy_half,low,0.0838342152483788,0.0186797981425394,0.871866339890866,0.186675381959563,0.0172369307133347,0.460013729997313,1.44375673779995,0.0206168593438863,0.947945980606544,13030,269,H1,160,20,0.172426954773482,0.236689716251661,11.4803963253427,342,0.0938956270617402,0.118090021408621,5.72783756433973,1278
recent_registered_completion_group,no_recent_registered_completion,0.153746562480935,0.0369149167519199,0.746286242878734,0.118982009898733,0.0115192154576568,0.295504054563142,1.2182528417412,0.0398667233111731,0.915980857011778,23901,952,H0,160,20,0.1281350683355,0.152209101480113,3.81794862577669,1297,0.0918853407231872,0.122608791982533,3.07546700102565,3230
recent_registered_completion_group,no_recent_registered_completion,0.130631768867063,0.0334701638168502,0.864980115866711,0.252079208609422,0.0117884119249232,0.331648029138727,1.27752503601655,0.0398667233111731,0.923047177143166,23901,952,H1,160,20,0.172426954773482,0.271144362214981,6.80127032509317,1481,0.0938956270617402,0.17826547940778,4.47153577223686,3487
recent_registered_completion_group,recent_registered_completion_within_6,0.343436958408916,0.0991365287721451,0.657904468798704,0.215724827321123,0.0290720702929164,-0.513483801481741,0.826620430014812,0.115552961288885,0.788629497466017,1617,187,H0,160,20,0.1281350683355,0.166308150492189,1.43923745992467,710,0.0918853407231872,0.138911161104667,1.20214280582032,1036
recent_registered_completion_group,recent_registered_completion_within_6,0.320274842055201,0.0953263453355286,0.741901975127148,0.269870671657974,0.0229590130056774,-0.354190325017739,0.917950276374371,0.115552961288885,0.79876743759216,1617,187,H1,160,20,0.172426954773482,0.223280298101378,1.93227672931006,493,0.0938956270617402,0.16862118775133,1.45925457790539,913
route_resolution_state,BROAD_CONFLICT,0.197387503528048,0.0477364848550366,0.717990713108092,0.142710920514102,0.0456629713771086,-0.0982407388427644,1.29562149374708,0.0501354014302089,0.870410125953045,3712,186,H0,159,20,0.1281350683355,0.112190539285695,2.23775089228856,742,0.0918853407231872,0.0871383465686285,1.73806021459566,1461
route_resolution_state,BROAD_CONFLICT,0.176124768877157,0.0440603920346439,0.747230449448132,0.200423365345029,0.0110396242691723,-0.298735919829409,0.969700868866157,0.0501354014302089,0.904128367469872,3712,186,H1,159,20,0.172426954773482,0.240604266171036,4.79908925245108,270,0.0938956270617402,0.172134506036583,3.43339239591416,446
route_resolution_state,DOMINANT_ROUTE,0.354684997508919,0.0960775310664328,0.580664746787817,0.139355722548357,0.0366125698197154,-1.44806437411421,0.270726682687065,0.104707979582938,0.82779528951571,908,95,H0,155,20,0.1281350683355,0.1467175066313,1.40120654811305,211,0.0918853407231872,0.144668636555509,1.38163907976964,345
route_resolution_state,DOMINANT_ROUTE,0.337418101369115,0.0950267826090715,0.604902702827277,0.161876472036165,0.0387713609348066,-1.1377894581167,0.504578948530165,0.104707979582938,0.798862477305633,908,95,H1,155,20,0.172426954773482,0.147410913140312,1.4078288371857,251,0.0938956270617402,0.124933961433477,1.1931656205296,529
route_resolution_state,LOW_ROUTE_SUPPORT,0.0638459920828637,0.00713170223487173,0.65763805579431,0.00616558420790598,0.0487678944119806,-3.87072874788074,0.60561811186727,0.0033847766710136,0.944940469714336,5598,19,H0,160,20,0.1281350683355,0.00367070945583342,1.0844761154461,272,0.0918853407231872,0.00764547642644769,2.25878312502023,783
route_resolution_state,LOW_ROUTE_SUPPORT,0.0264545524620985,0.0034905316724019,0.681529301036095,0.00840595713803193,0.00869071850164411,-1.59394591885026,0.926554593492145,0.0033847766710136,0.984657490809586,5598,19,H1,160,20,0.172426954773482,,,0,0.0938956270617402,0,0,1
