checkpoint,log_loss,brier_score,auc,average_precision,expected_calibration_error,calibration_intercept,calibration_slope,base_rate,mean_probability_realised_class,rows,positive_outcomes,model,sessions,stocks,top_decile_probability_boundary,top_decile_precision,top_decile_lift,top_decile_rows,top_quintile_probability_boundary,top_quintile_precision,top_quintile_lift,top_quintile_rows
6,0.0725644092323624,0.013426038390166,0.690947461195934,0.0384066725200301,0.0140810282305955,-0.377601205822615,1.10802492052158,0.0134722222222222,0.960155018216122,3195,43,H0,160,20,0.1281350683355,0,0,8,0.0918853407231872,0.0687713653730143,5.10467866686292,58
6,0.0618914655266929,0.0123489321044422,0.815927232339532,0.188982245941382,0.0133534771943254,0.491894452374958,1.41388682626967,0.0134722222222222,0.963341715798636,3195,43,H1,160,20,0.172426954773482,0.266666666666667,19.7938144329897,45,0.0938956270617402,0.151935688597419,11.2777005969218,138
10,0.130361867940084,0.0297369099440428,0.741377993760595,0.0910492231531294,0.0114912629927399,0.298918736987129,1.21939830532541,0.0313541666666667,0.930553769340012,3195,100,H0,160,20,0.1281350683355,0.146190919083453,4.6625675189407,69,0.0918853407231872,0.0939338918907094,2.99589821312562,267
10,0.112710683111379,0.0275308782354565,0.865221896192971,0.222785560508609,0.0148525492482385,0.41666077157486,1.34052839855127,0.0313541666666667,0.933225813796685,3195,100,H1,160,20,0.172426954773482,0.209500190766883,6.68173365901022,153,0.0938956270617402,0.145027030347709,4.62544681507642,380
14,0.151506091500055,0.0368291449848006,0.763727311365389,0.125876565384853,0.00875315701727556,0.823188561774353,1.34455757755934,0.0400164473684211,0.92151747992754,3194,128,H0,160,20,0.1281350683355,0.135260115606936,3.38011304106113,96,0.0918853407231872,0.153582363747704,3.83798097651475,286
14,0.129617241650239,0.0334073472369351,0.871518496417092,0.283840711617324,0.012283498323339,0.900336589980875,1.44422526869611,0.0400164473684211,0.926410393974001,3194,128,H1,160,20,0.172426954773482,0.308385933273219,7.70647954912114,149,0.0938956270617402,0.187049848706548,4.67432420935392,411
18,0.188663069492964,0.0476971111184818,0.729400651579595,0.13545874916174,0.0061772049992142,0.138640006265311,1.10339356342928,0.0522880116959064,0.899415681582345,3194,167,H0,160,20,0.1281350683355,0.146745293717396,2.80648066273449,232,0.0918853407231872,0.128127269126675,2.4504138706178,531
18,0.161033328089613,0.0436090261700812,0.860759967889494,0.252172655947183,0.0123680773203844,0.448211196894509,1.26704417008179,0.0522880116959064,0.906820898628419,3194,167,H1,160,20,0.172426954773482,0.256037614874973,4.89667911574114,246,0.0938956270617402,0.199431373356957,3.81409364955009,567
22,0.184265065545024,0.0455699616988443,0.712446868718574,0.128011588230974,0.0148173863864016,-0.277517793286324,1.00505393787697,0.049250730994152,0.896983825918179,3188,157,H0,160,20,0.1281350683355,0.133065111472021,2.70178957319073,316,0.0918853407231872,0.110493631295046,2.24349220944894,643
22,0.161357016533872,0.0420830395530686,0.827050394317706,0.235845200744908,0.0144152119202094,-0.0186612729135587,1.12957050932391,0.049250730994152,0.904896859123377,3188,157,H1,160,20,0.172426954773482,0.248428241438184,5.04415338460016,290,0.0938956270617402,0.149504405286344,3.03557738674164,656
26,0.197054892861301,0.0490459417260156,0.695274212416947,0.147674599969083,0.0189910853938316,-0.464451979396586,0.942616722110065,0.0532072368421053,0.887541120239469,3187,170,H0,160,20,0.1281350683355,0.150547084413587,2.82944752159076,398,0.0918853407231872,0.106294042981573,1.99773657288397,799
26,0.170458731939559,0.0454178357336156,0.832423111393213,0.248901427818139,0.0175651045924736,-0.160560033885077,1.08463298287581,0.0532072368421053,0.89738027752101,3187,170,H1,160,20,0.172426954773482,0.231372481130116,4.34851525586122,337,0.0938956270617402,0.166490260817365,3.12909052788123,738
30,0.186314484806784,0.0473388645407527,0.767718332628519,0.173509750034785,0.0208638795816292,0.246214283297447,1.27792875095494,0.0526845760233918,0.88839273535869,3187,168,H0,160,20,0.1281350683355,0.156052343161981,2.96201193861168,442,0.0918853407231872,0.132674379576543,2.51827744647003,851
30,0.157602875290101,0.0425200704076883,0.872985255602673,0.300878419306928,0.0194891255068609,0.210147440244233,1.30865116756555,0.0526845760233918,0.900167352057455,3187,168,H1,160,20,0.172426954773482,0.262694693208358,4.9861783663538,377,0.0938956270617402,0.18490895230311,3.50973598460792,741
34,0.215451936132361,0.0572336216237888,0.758840516056569,0.181049446349538,0.0118531106061954,0.194554850389141,1.14664829854116,0.06504779577148,0.878695724474234,3178,206,H0,160,20,0.1281350683355,0.195890735008741,3.01148920859557,446,0.0918853407231872,0.156372407481787,2.40396166583631,831
34,0.186568124776773,0.0522170979355354,0.854237433181417,0.292641707031,0.0112065751268381,0.103364474881981,1.13388017563475,0.06504779577148,0.889100504132679,3178,206,H1,160,20,0.172426954773482,0.290647236254814,4.46821037988573,377,0.0938956270617402,0.197039512480515,3.02914972204033,769
