record_type,draw,log_loss_improvement,brier_improvement,auc_improvement,average_precision_improvement,top_decile_precision_improvement,statistic,interval_level,lower,upper,point_estimate,draws,seed
draw,0,0.0221819776481826,0.00310057149570481,0.115920830501919,0.112554939086267,0.0791414321746062,,,,,,,
draw,1,0.0224273658019737,0.00320607893162476,0.111348020252565,0.108685606366353,0.0938015473373256,,,,,,,
draw,2,0.0228441892759455,0.00357898032555103,0.103026904149775,0.121113712840012,0.0951875875431659,,,,,,,
draw,3,0.0238755069265884,0.00357671386032226,0.111953622725446,0.117186440669288,0.100305710480133,,,,,,,
draw,4,0.0221651168401097,0.00305022284965577,0.106828746617099,0.0924447054460615,0.0894774456237025,,,,,,,
draw,5,0.0227803503452827,0.00326567536116983,0.114308183790227,0.11910773305957,0.106427632880469,,,,,,,
draw,6,0.0225005523892637,0.00340453110842413,0.101652769531161,0.110764878141679,0.0896506894690974,,,,,,,
draw,7,0.0210714512661148,0.00285286817701034,0.111091376413528,0.0968662405868863,0.0779066432073912,,,,,,,
draw,8,0.0245407333667215,0.00368769882241288,0.118707461407295,0.115354489124469,0.0981260542500583,,,,,,,
draw,9,0.0218927943982204,0.00326084715846183,0.102520287104032,0.109080153350234,0.0908930364638569,,,,,,,
draw,10,0.0225053454572915,0.00329026352679609,0.105043207102304,0.107902646605585,0.096937219419646,,,,,,,
draw,11,0.0221375216706135,0.0034599719416642,0.102028561060593,0.115483376069317,0.104370510994601,,,,,,,
draw,12,0.0242100193255994,0.0033892738336123,0.126985741386094,0.112832893645855,0.102820750106393,,,,,,,
draw,13,0.0243129895834263,0.0037210491723994,0.115670533951118,0.122546926750118,0.0990326474107728,,,,,,,
draw,14,0.0233736661096506,0.0035412314152269,0.109570977670571,0.115184721686382,0.0952898840757086,,,,,,,
interval,,,,,,,log_loss_improvement,0.8,0.0219906853071776,0.0242718014802956,0.0231177938240882,15,20260722
interval,,,,,,,log_loss_improvement,0.9,0.0216463914585887,0.0243813127184149,0.0231177938240882,15,20260722
interval,,,,,,,log_loss_improvement,0.95,0.0213589213623517,0.0244610230425682,0.0231177938240882,15,20260722
interval,,,,,,,brier_improvement,0.8,0.00307036230807539,0.00364421142366814,0.00346792083125872,15,20260722
interval,,,,,,,brier_improvement,0.9,0.00299101644786214,0.00369770392740884,0.00346792083125872,15,20260722
interval,,,,,,,brier_improvement,0.95,0.00292194231243624,0.00370937654990412,0.00346792083125872,15,20260722
interval,,,,,,,auc_improvement,0.8,0.102225251477968,0.117592809045144,0.109243139254547,15,20260722
interval,,,,,,,auc_improvement,0.9,0.101915823601763,0.121190945400935,0.109243139254547,15,20260722
interval,,,,,,,auc_improvement,0.95,0.101784296566462,0.124088343393514,0.109243139254547,15,20260722
interval,,,,,,,average_precision_improvement,0.8,0.101280802994366,0.120311320927835,0.115290930257854,15,20260722
interval,,,,,,,average_precision_improvement,0.9,0.0955397800446389,0.121543677013044,0.115290930257854,15,20260722
interval,,,,,,,average_precision_improvement,0.95,0.0939922427453502,0.122045301881581,0.115290930257854,15,20260722
interval,,,,,,,top_decile_precision_improvement,0.8,0.0832758375542447,0.103750606639318,0.101994717346586,15,20260722
interval,,,,,,,top_decile_precision_improvement,0.9,0.0787709954844417,0.104987647560361,0.101994717346586,15,20260722
interval,,,,,,,top_decile_precision_improvement,0.95,0.0783388193459164,0.105707640220415,0.101994717346586,15,20260722
