period,policy,evaluation_scope,eligible_rows,call_actions,put_actions,abstentions,action_sessions,directional_accuracy_unambiguous_material_moves,directional_accuracy_material_move_denominator,accuracy_counting_no_move_as_failure,mean_aligned_return,median_aligned_return,mean_aligned_return_CALL,mean_aligned_return_PUT,positive_session_rate,positive_month_rate,mean_maximum_favourable_excursion,mean_maximum_adverse_excursion,mean_movement_consumed_v1,mean_post_share_of_local_range_v1,status
assessment,asymmetric_downside_v1,all_complete_episodes,417.0,30.0,29.0,358.0,39.0,0.42424242424242425,33.0,0.23728813559322035,-0.002574210544582928,-0.001259576664358526,0.0008653175095586529,-0.006132343014384564,0.3333333333333333,0.5,0.011250621258931573,-0.01326775845412257,3.4759866211327455,0.4099076606253029,
assessment,asymmetric_downside_v1,asymmetric_policy_acted_episodes,59.0,30.0,29.0,0.0,39.0,0.42424242424242425,33.0,0.23728813559322035,-0.002574210544582928,-0.001259576664358526,0.0008653175095586529,-0.006132343014384564,0.3333333333333333,0.5,0.011250621258931573,-0.01326775845412257,3.4759866211327455,0.4099076606253029,
assessment,always_CALL,all_complete_episodes,417.0,417.0,0.0,0.0,126.0,0.5804878048780487,205.0,0.2853717026378897,0.001596014329614129,0.0010505341904887351,0.001596014329614129,,0.5,0.75,0.012554662763798042,-0.010374716663716437,3.0865514582883793,0.4199800827131632,
assessment,always_CALL,asymmetric_policy_acted_episodes,59.0,59.0,0.0,0.0,39.0,0.6060606060606061,33.0,0.3389830508474576,0.0034541944526086774,0.002174989228548262,0.0034541944526086774,,0.6153846153846154,0.625,0.013441691705340817,-0.011076688007713324,3.4759866211327455,0.4099076606253029,
assessment,always_PUT,all_complete_episodes,417.0,0.0,417.0,0.0,126.0,0.4195121951219512,205.0,0.20623501199040767,-0.001596014329614129,-0.0010505341904887351,,-0.001596014329614129,0.5,0.25,0.010374716663716437,-0.012554662763798042,3.0865514582883793,0.4199800827131632,
assessment,always_PUT,asymmetric_policy_acted_episodes,59.0,0.0,59.0,0.0,39.0,0.3939393939393939,33.0,0.22033898305084745,-0.0034541944526086774,-0.002174989228548262,,-0.0034541944526086774,0.38461538461538464,0.375,0.011076688007713324,-0.013441691705340817,3.4759866211327455,0.4099076606253029,
assessment,recent_signed_5m_momentum,all_complete_episodes,417.0,187.0,224.0,6.0,125.0,0.4729064039408867,203.0,0.23357664233576642,-0.000640637301875945,-0.0006540089725776973,0.0010756622933350065,-0.002073440981806516,0.496,0.625,0.01132943989817591,-0.011669858575157606,3.0867218657798654,0.42046445652034714,
assessment,recent_signed_5m_momentum,asymmetric_policy_acted_episodes,59.0,29.0,29.0,1.0,39.0,0.5454545454545454,33.0,0.3103448275862069,0.000686237939123982,-0.0006479110745928689,0.004168608879710368,-0.0027961330014624032,0.46153846153846156,0.625,0.013300932167359444,-0.011347944430990867,3.4892964175296144,0.4100178056867342,
assessment,recent_signed_15m_momentum,all_complete_episodes,417.0,183.0,232.0,2.0,126.0,0.4682926829268293,205.0,0.23132530120481928,-0.0005792764170077633,-0.0006094655491837814,0.0011840091904118729,-0.001970143943549976,0.48412698412698413,0.25,0.01120848252407784,-0.011738619750378992,3.0869948569964993,0.4201662186481532,
assessment,recent_signed_15m_momentum,asymmetric_policy_acted_episodes,59.0,30.0,28.0,1.0,38.0,0.45454545454545453,33.0,0.25862068965517243,-0.0010448426108976365,-0.0015397674071300483,0.00254093727937022,-0.004886749636184624,0.34210526315789475,0.625,0.012289692521343227,-0.012174672560898724,3.475669326818375,0.41232298299230863,
assessment,causal_broad_market_15m_direction,all_complete_episodes,417.0,224.0,193.0,0.0,126.0,0.4878048780487805,205.0,0.23980815347721823,2.9209803035202748e-05,0.0005124366989071107,0.0015127644270419,-0.0016926359781953685,0.5,0.375,0.011636879608028254,-0.011292499819486223,3.0865514582883793,0.4199800827131632,
assessment,causal_broad_market_15m_direction,asymmetric_policy_acted_episodes,59.0,29.0,30.0,0.0,39.0,0.36363636363636365,33.0,0.2033898305084746,-0.001604906575869227,-0.0006418131766080405,0.001881172150476337,-0.004974782678003273,0.48717948717948717,0.375,0.011507947713718453,-0.013010431999335692,3.4759866211327455,0.4099076606253029,
assessment,frozen_A1,all_complete_episodes,417.0,66.0,74.0,277.0,78.0,0.5625,64.0,0.2571428571428571,0.0012116503654349047,-0.00039668990390382856,0.003644682665262501,-0.0009583514154924114,0.5128205128205128,0.625,0.01292247767001948,-0.01057103123879013,3.1058599747221347,0.4249476002227832,
assessment,frozen_A1,asymmetric_policy_acted_episodes,59.0,4.0,17.0,38.0,17.0,0.4,10.0,0.19047619047619047,-0.0031219663309352643,-0.0006540089725776973,-0.004214697269069432,-0.002864853169021344,0.47058823529411764,0.2857142857142857,0.011049637546177802,-0.013075345891823792,3.603359236137869,0.39251777487644823,
assessment,existing_frozen_D2,all_complete_episodes,,,,,,,,,,,,,,,,,,,blocked_contaminated_or_unreproducible_lineage
assessment,existing_frozen_D2,asymmetric_policy_acted_episodes,,,,,,,,,,,,,,,,,,,blocked_contaminated_or_unreproducible_lineage
stress,asymmetric_downside_v1,all_complete_episodes,525.0,36.0,34.0,455.0,32.0,0.5121951219512195,41.0,0.3,0.00037745101932043084,0.0001480141209433489,-0.004489349218937338,0.0055305336245345385,0.53125,0.5,0.01410630356239914,-0.012735055527358695,3.656682226534633,0.4293328870326592,
stress,asymmetric_downside_v1,asymmetric_policy_acted_episodes,70.0,36.0,34.0,0.0,32.0,0.5121951219512195,41.0,0.3,0.00037745101932043084,0.0001480141209433489,-0.004489349218937338,0.0055305336245345385,0.53125,0.5,0.01410630356239914,-0.012735055527358695,3.656682226534633,0.4293328870326592,
stress,always_CALL,all_complete_episodes,525.0,525.0,0.0,0.0,67.0,0.362962962962963,270.0,0.18666666666666668,-0.0031928022552053527,-0.0022409074689196716,-0.0031928022552053527,,0.40298507462686567,0.0,0.009966481955119974,-0.013775775150596725,3.1850927434938403,0.4066354136132834,
