period,policy,evaluation_scope,eligible_rows,call_actions,put_actions,abstentions,action_sessions,directional_accuracy_unambiguous_material_moves,directional_accuracy_material_move_denominator,accuracy_counting_no_move_as_failure,mean_aligned_return,median_aligned_return,mean_aligned_return_CALL,mean_aligned_return_PUT,positive_session_rate,positive_month_rate,mean_maximum_favourable_excursion,mean_maximum_adverse_excursion,mean_movement_consumed_v1,mean_post_share_of_local_range_v1,status
stress,always_CALL,asymmetric_policy_acted_episodes,70.0,70.0,0.0,0.0,32.0,0.2926829268292683,41.0,0.17142857142857143,-0.004995067358798837,-0.0018818340184853389,-0.004995067358798837,,0.40625,0.25,0.010614040681685052,-0.01622731840807278,3.656682226534633,0.4293328870326592,
stress,always_PUT,all_complete_episodes,525.0,0.0,525.0,0.0,67.0,0.6370370370370371,270.0,0.32761904761904764,0.0031928022552053527,0.0022409074689196716,,0.0031928022552053527,0.5970149253731343,1.0,0.013775775150596725,-0.009966481955119974,3.1850927434938403,0.4066354136132834,
stress,always_PUT,asymmetric_policy_acted_episodes,70.0,0.0,70.0,0.0,32.0,0.7073170731707317,41.0,0.4142857142857143,0.004995067358798837,0.0018818340184853389,,0.004995067358798837,0.59375,0.75,0.01622731840807278,-0.010614040681685052,3.656682226534633,0.4293328870326592,
stress,recent_signed_5m_momentum,all_complete_episodes,525.0,280.0,239.0,6.0,67.0,0.4419475655430712,267.0,0.22736030828516376,-0.0021796582766532326,-0.0011577080651611026,-0.005129587250422885,0.0012763254583070293,0.3880597014925373,0.0,0.010724632745920755,-0.013028756825001885,3.192227999743931,0.40627415005880985,
stress,recent_signed_5m_momentum,asymmetric_policy_acted_episodes,70.0,41.0,27.0,2.0,31.0,0.48717948717948717,39.0,0.27941176470588236,-0.0024542732823903553,0.0009001911205378337,-0.006475309495083742,0.0036517446702181203,0.5161290322580645,0.25,0.012526251353061582,-0.014433991866575,3.677013587472095,0.42847209184296114,
stress,recent_signed_15m_momentum,all_complete_episodes,525.0,299.0,222.0,4.0,67.0,0.4216417910447761,268.0,0.21689059500959693,-0.002414043759157921,-0.0017376198985406563,-0.0048654198039772166,0.0008875843372428421,0.373134328358209,0.25,0.010260792477477796,-0.013483651712024267,3.189290841955274,0.40651588430901014,
stress,recent_signed_15m_momentum,asymmetric_policy_acted_episodes,70.0,40.0,30.0,0.0,32.0,0.4878048780487805,41.0,0.2857142857142857,-0.0012971667677268994,0.0008532807346900951,-0.005505704860710019,0.004314217356250593,0.5,0.25,0.01248065036445815,-0.014360708725299681,3.656682226534633,0.4293328870326592,
stress,causal_broad_market_15m_direction,all_complete_episodes,525.0,322.0,203.0,0.0,67.0,0.4,270.0,0.2057142857142857,-0.003031871495016276,-0.0014119433747145204,-0.005074462296376328,0.00020810012093415138,0.3880597014925373,0.25,0.009793674864292348,-0.013948582241424352,3.1850927434938403,0.4066354136132834,
stress,causal_broad_market_15m_direction,asymmetric_policy_acted_episodes,70.0,39.0,31.0,0.0,32.0,0.43902439024390244,41.0,0.2571428571428571,-0.0037049935893664764,-0.0007060449602872452,-0.007807747004763743,0.001456534900972019,0.46875,0.25,0.010899461954529156,-0.01594189713522868,3.656682226534633,0.4293328870326592,
stress,frozen_A1,all_complete_episodes,525.0,113.0,107.0,305.0,63.0,0.5294117647058824,102.0,0.24545454545454545,0.0005210094717751775,0.0006602385553136291,-0.0027222131613836623,0.003946095056326102,0.5555555555555556,0.5,0.011962966116257287,-0.01151498890628181,3.1403724135644677,0.40768783541750353,
stress,frozen_A1,asymmetric_policy_acted_episodes,70.0,11.0,13.0,46.0,16.0,0.21428571428571427,14.0,0.125,-0.008653716231776637,-0.004399326608649506,-0.014223482410168735,-0.003940837157752552,0.375,0.0,0.010220574702434112,-0.01604049790179414,3.86922003152687,0.4259497181700578,
stress,existing_frozen_D2,all_complete_episodes,,,,,,,,,,,,,,,,,,,blocked_contaminated_or_unreproducible_lineage
stress,existing_frozen_D2,asymmetric_policy_acted_episodes,,,,,,,,,,,,,,,,,,,blocked_contaminated_or_unreproducible_lineage
