period,bucket,rows,sessions,stocks,material_up_count,material_down_count,no_move_count,ambiguous_path_count,mean_signed_primary_horizon_return,median_signed_primary_horizon_return,mean_absolute_movement,median_absolute_movement,mean_previous_close_iv_residual,exceed_iv_rate,material_up_rate,material_down_rate,no_move_rate,ambiguous_path_rate
assessment,CALL,30,21,16,7,6,17,0,0.0008653175095586529,-0.0005274365818334275,0.009607827429518257,0.007309836679873271,0.0009892099934125898,0.43333333333333335,0.23333333333333334,0.2,0.5666666666666667,0.0
assessment,ABSTAIN,358,125,20,99,73,186,0,0.001289777940628994,0.001040489341979858,0.01078852974436645,0.007932255372815125,0.0018462262430170948,0.48044692737430167,0.276536312849162,0.20391061452513967,0.5195530726256983,0.0
assessment,PUT,29,22,16,13,7,9,0,0.006132343014384564,0.003421145998471171,0.014276831715613744,0.011443708716011669,0.00608399445808706,0.6896551724137931,0.4482758620689655,0.2413793103448276,0.3103448275862069,0.0
stress,CALL,36,20,15,7,15,14,0,-0.004489349218937338,-0.0013981323004180718,0.014210236367910014,0.01373253409087272,0.005440951786355976,0.6111111111111112,0.19444444444444445,0.4166666666666667,0.3888888888888889,0.0
stress,ABSTAIN,455,67,20,86,143,226,0,-0.0029155307008063565,-0.0022409074689196716,0.012081941974006026,0.009080097882968251,0.0025071877829332743,0.5032967032967033,0.189010989010989,0.3142857142857143,0.4967032967032967,0.0
stress,PUT,34,17,14,5,14,15,0,-0.0055305336245345385,-0.005242005139638649,0.012391042837352756,0.007128898054634538,0.002796097814686691,0.5588235294117647,0.14705882352941177,0.4117647058823529,0.4411764705882353,0.0
