period,phase,diagnostic,support_status,rows,sessions,conditional_mover_rows,conditional_mover_sessions,downside_auc,call_actions,put_actions,abstentions,mean_aligned_return,frozen_A1_mean_aligned_return,frozen_A1_actions,material_up_rate,material_down_rate,no_move_rate,acted_share_within_phase
stress,PERSISTENT,time_of_day_16:20:00+0000,blocked_insufficient_support,4,3,,,,,,,,,,,,,0.021621621621621623
stress,PERSISTENT,time_of_day_16:30:00+0000,blocked_insufficient_support,3,2,,,,,,,,,,,,,0.016216216216216217
stress,PERSISTENT,time_of_day_16:40:00+0000,blocked_insufficient_support,3,2,,,,,,,,,,,,,0.016216216216216217
stress,PERSISTENT,time_of_day_16:50:00+0000,blocked_insufficient_support,4,3,,,,,,,,,,,,,0.021621621621621623
stress,PERSISTENT,time_of_day_17:00:00+0000,blocked_insufficient_support,4,2,,,,,,,,,,,,,0.021621621621621623
stress,PERSISTENT,time_of_day_17:10:00+0000,blocked_insufficient_support,1,1,,,,,,,,,,,,,0.005405405405405406
stress,PERSISTENT,time_of_day_17:20:00+0000,blocked_insufficient_support,2,1,,,,,,,,,,,,,0.010810810810810811
stress,RE_ENTRY,summary,supported,97,43,39.0,25.0,0.553475935828877,9.0,12.0,76.0,0.001267756861730309,0.0013832626048428658,47.0,,,,
stress,RE_ENTRY,action_CALL,blocked_insufficient_support,9,9,,,,,,,-0.007648936170478965,,,0.1111111111111111,0.4444444444444444,0.4444444444444444,
stress,RE_ENTRY,action_ABSTAIN,supported,76,40,,,,,,,,,,0.21052631578947367,0.17105263157894737,0.618421052631579,
stress,RE_ENTRY,action_PUT,blocked_insufficient_support,12,5,,,,,,,0.007955276635887264,,,0.0,0.4166666666666667,0.5833333333333334,
stress,RE_ENTRY,checkpoint_10,blocked_insufficient_support,2,2,,,,,,,,,,,,,0.09523809523809523
stress,RE_ENTRY,checkpoint_14,blocked_insufficient_support,7,7,,,,,,,,,,,,,0.3333333333333333
stress,RE_ENTRY,checkpoint_16,blocked_insufficient_support,1,1,,,,,,,,,,,,,0.047619047619047616
stress,RE_ENTRY,checkpoint_18,blocked_insufficient_support,2,2,,,,,,,,,,,,,0.09523809523809523
stress,RE_ENTRY,checkpoint_20,blocked_insufficient_support,3,3,,,,,,,,,,,,,0.14285714285714285
stress,RE_ENTRY,checkpoint_22,blocked_insufficient_support,2,1,,,,,,,,,,,,,0.09523809523809523
stress,RE_ENTRY,checkpoint_24,blocked_insufficient_support,1,1,,,,,,,,,,,,,0.047619047619047616
stress,RE_ENTRY,checkpoint_28,blocked_insufficient_support,1,1,,,,,,,,,,,,,0.047619047619047616
stress,RE_ENTRY,checkpoint_32,blocked_insufficient_support,1,1,,,,,,,,,,,,,0.047619047619047616
stress,RE_ENTRY,checkpoint_34,blocked_insufficient_support,1,1,,,,,,,,,,,,,0.047619047619047616
stress,RE_ENTRY,time_of_day_14:20:00+0000,blocked_insufficient_support,1,1,,,,,,,,,,,,,0.047619047619047616
stress,RE_ENTRY,time_of_day_14:40:00+0000,blocked_insufficient_support,4,4,,,,,,,,,,,,,0.19047619047619047
stress,RE_ENTRY,time_of_day_15:10:00+0000,blocked_insufficient_support,2,2,,,,,,,,,,,,,0.09523809523809523
stress,RE_ENTRY,time_of_day_15:20:00+0000,blocked_insufficient_support,1,1,,,,,,,,,,,,,0.047619047619047616
stress,RE_ENTRY,time_of_day_15:40:00+0000,blocked_insufficient_support,3,3,,,,,,,,,,,,,0.14285714285714285
stress,RE_ENTRY,time_of_day_15:50:00+0000,blocked_insufficient_support,1,1,,,,,,,,,,,,,0.047619047619047616
stress,RE_ENTRY,time_of_day_16:00:00+0000,blocked_insufficient_support,2,2,,,,,,,,,,,,,0.09523809523809523
stress,RE_ENTRY,time_of_day_16:10:00+0000,blocked_insufficient_support,1,1,,,,,,,,,,,,,0.047619047619047616
stress,RE_ENTRY,time_of_day_16:20:00+0000,blocked_insufficient_support,2,1,,,,,,,,,,,,,0.09523809523809523
stress,RE_ENTRY,time_of_day_16:30:00+0000,blocked_insufficient_support,1,1,,,,,,,,,,,,,0.047619047619047616
stress,RE_ENTRY,time_of_day_16:50:00+0000,blocked_insufficient_support,1,1,,,,,,,,,,,,,0.047619047619047616
stress,RE_ENTRY,time_of_day_17:10:00+0000,blocked_insufficient_support,1,1,,,,,,,,,,,,,0.047619047619047616
stress,RE_ENTRY,time_of_day_17:20:00+0000,blocked_insufficient_support,1,1,,,,,,,,,,,,,0.047619047619047616
