period,policy,evaluation_scope,eligible_rows,call_actions,put_actions,abstentions,action_sessions,directional_accuracy_unambiguous_material_moves,directional_accuracy_material_move_denominator,accuracy_counting_no_move_as_failure,mean_aligned_return,median_aligned_return,mean_aligned_return_CALL,mean_aligned_return_PUT,positive_session_rate,positive_month_rate,mean_maximum_favourable_excursion,mean_maximum_adverse_excursion,mean_movement_consumed_v1,mean_post_share_of_local_range_v1
assessment,asymmetric_downside_v1,all_complete_episodes,417,30,29,358,39,0.42424242424242425,33,0.23728813559322035,-0.002574210544582928,-0.001259576664358526,0.0008653175095586529,-0.006132343014384564,0.3333333333333333,0.5,0.011250621258931573,-0.01326775845412257,3.4759866211327455,0.4099076606253029
stress,asymmetric_downside_v1,all_complete_episodes,525,36,34,455,32,0.5121951219512195,41,0.3,0.00037745101932043084,0.0001480141209433489,-0.004489349218937338,0.0055305336245345385,0.53125,0.5,0.01410630356239914,-0.012735055527358695,3.656682226534633,0.4293328870326592
