period,placebo,rows,sessions,roc_auc,log_loss,brier_score,down_rate_spread,up_rate_spread,mean_aligned_return,low_threshold,high_threshold
assessment,within_stock_prior_episode_feature_reassignment,416,126,0.45651749071721714,0.7217904796306629,0.26412265362627774,-0.3,-0.7333333333333334,-0.0006243815104605551,0.48670153978034086,0.6482298342864381
stress,within_stock_prior_episode_feature_reassignment,525,67,0.43343616516373995,0.6874769364506395,0.24721722024098164,0.23188405797101447,0.10869565217391304,-0.004920318891646126,0.48670153978034086,0.6482298342864381
