period,model,status,rows,sessions,downside_base_rate,roc_auc,average_precision,log_loss,brier_score,calibration_intercept,calibration_slope,calibration_status,log_loss_improvement_vs_constant,brier_improvement_vs_constant
assessment,asymmetric_downside_v1,supported,205,101,0.4195121951219512,0.5044948211842877,0.4115072953116002,0.7237889945889445,0.2648699911902738,-0.2978272628908802,-0.13937886856609163,supported,-0.013792639338868873,-0.006466771216253331
assessment,constant_2024_downside_base_rate,supported,205,101,0.4195121951219512,0.5,0.4195121951219512,0.7099963552500757,0.2584032199740205,-0.311245401359864,-0.051788351011036876,supported,0.0,0.0
assessment,recent_signed_5m_momentum,direction_only_baseline,205,101,0.4195121951219512,0.4817275747508306,0.4109522245773253,14.556837974702374,0.5268292682916292,-0.31690621404173597,-0.0026767029391003357,supported,-13.846841619452299,-0.26842604831760875
assessment,recent_signed_15m_momentum,direction_only_baseline,205,101,0.4195121951219512,0.4791381668946649,0.40978276151276716,14.691623659384605,0.5317073170721074,-0.31330311211596684,-0.0030778616460889214,supported,-13.98162730413453,-0.2733040970980869
assessment,frozen_A1,frozen_10m_model_applied_to_15m_primary_target,205,101,0.4195121951219512,0.5291186241938636,0.434482427659568,0.7078819959341394,0.25631264770363343,-0.32757289124316535,0.24494429627194492,supported,0.0021143593159362872,0.002090572270387059
assessment,existing_frozen_D2,blocked_contaminated_or_unreproducible_lineage,0,0,,,,,,,,,,
stress,asymmetric_downside_v1,supported,270,64,0.6370370370370371,0.49768628381585195,0.6669403738015572,0.6810140837505003,0.24413080245359803,0.531171962828013,0.2228688774837945,supported,-0.007211846766910557,-0.0037830041405135795
stress,constant_2024_downside_base_rate,supported,270,64,0.6370370370370371,0.5,0.6370370370370371,0.6738022369835898,0.24034779831308445,0.5459874184802351,0.09084724770976345,supported,0.0,0.0
stress,recent_signed_5m_momentum,direction_only_baseline,270,64,0.6370370370370371,0.4542002847650688,0.6174157382697223,15.350571383287564,0.5555555555544444,0.5493062182563624,-0.006683175263365076,supported,-14.676769146303974,-0.3152077572413599
stress,recent_signed_15m_momentum,direction_only_baseline,270,64,0.6370370370370371,0.4499288087327954,0.616067050950772,15.964593583153402,0.5777777777766222,0.5198349604541732,-0.00758856733511911,supported,-15.290791346169812,-0.33742997946353775
stress,frozen_A1,frozen_10m_model_applied_to_15m_primary_target,270,64,0.6370370370370371,0.5345870906502135,0.6718691594081736,0.7116452419514049,0.25687780647507263,0.5689694580241315,0.2646601152860864,supported,-0.03784300496781512,-0.016530008161988186
stress,existing_frozen_D2,blocked_contaminated_or_unreproducible_lineage,0,0,,,,,,,,,,
