model,multiclass_log_loss,multiclass_brier,top_one_accuracy,top_two_accuracy,top_three_accuracy,mean_reciprocal_rank,mean_probability_realised_class,macro_ovr_auc,expected_calibration_error,prediction_entropy,effective_candidate_count,rows,sessions,stocks,class_support,predicted_class_distribution,mean_predicted_probability_distribution,breakdown_type,group,value,trajectory_comparison_available
T0,0.80595301755676174,0.49390280920157409,0.61479966523115126,0.92970777931121118,1,0.79568446250077751,0.51281165584152977,0.69174167764192573,0.015836704875210616,0.78871624935134632,2.2005696295037884,3156,157,20,"{""NO_REGISTERED_COMPLETION"": 1834, ""REGISTERED_COMPLETION"": 229, ""UNREGISTERED_LOOP"": 1093}","{""NO_REGISTERED_COMPLETION"": 0.7225797154464786, ""REGISTERED_COMPLETION"": 0.0025273939575331307, ""UNREGISTERED_LOOP"": 0.2748928905959883}","{""NO_REGISTERED_COMPLETION"": 0.5692317835337729, ""REGISTERED_COMPLETION"": 0.07222678565577055, ""UNREGISTERED_LOOP"": 0.3585414308104566}",development_frozen_posterior_entropy,high,,False
T0,0.5377011456079368,0.31005145626261521,0.79401101366663474,0.97233816049612187,1,0.89239520024933772,0.67543980595603903,0.7157784905745127,0.020164254741494719,0.58757058582271948,1.7996110996752062,3105,157,20,"{""NO_REGISTERED_COMPLETION"": 2474, ""REGISTERED_COMPLETION"": 83, ""UNREGISTERED_LOOP"": 548}","{""NO_REGISTERED_COMPLETION"": 0.9887629057604893, ""REGISTERED_COMPLETION"": 0.0, ""UNREGISTERED_LOOP"": 0.011237094239510637}","{""NO_REGISTERED_COMPLETION"": 0.776113924084247, ""REGISTERED_COMPLETION"": 0.03562554660721009, ""UNREGISTERED_LOOP"": 0.188260529308543}",development_frozen_posterior_entropy,low,,False
T0,0.75874920286735847,0.45749328592392413,0.64871800004003122,0.93308981005184033,1,0.8132073016953224,0.54223017859404721,0.71487293205588232,0.013090038640164626,0.76465080678277664,2.1482440914002749,2912,157,20,"{""NO_REGISTERED_COMPLETION"": 1797, ""REGISTERED_COMPLETION"": 197, ""UNREGISTERED_LOOP"": 918}","{""NO_REGISTERED_COMPLETION"": 0.7534256720241789, ""REGISTERED_COMPLETION"": 0.0027381357458817882, ""UNREGISTERED_LOOP"": 0.2438361922299394}","{""NO_REGISTERED_COMPLETION"": 0.6012109990832938, ""REGISTERED_COMPLETION"": 0.0731950513253374, ""UNREGISTERED_LOOP"": 0.325593949591369}",development_frozen_transition_probability,high,,False
T0,0.5982277316919894,0.35506447354861442,0.75150190676859308,0.96630330680690268,1,0.87013483785211365,0.63804848435120931,0.73002301339600706,0.013335377886218221,0.62309893130241034,1.8646976673633846,3349,157,20,"{""NO_REGISTERED_COMPLETION"": 2511, ""REGISTERED_COMPLETION"": 115, ""UNREGISTERED_LOOP"": 723}","{""NO_REGISTERED_COMPLETION"": 0.9426175840632454, ""REGISTERED_COMPLETION"": 0.0, ""UNREGISTERED_LOOP"": 0.05738241593675449}","{""NO_REGISTERED_COMPLETION"": 0.7332845250665578, ""REGISTERED_COMPLETION"": 0.03743831030085887, ""UNREGISTERED_LOOP"": 0.2292771646325833}",development_frozen_transition_probability,low,,False
ALL,,,,,,,,,,,,,,,,,,support_concentration,maximum_assessment_stock_share,0.05014372404982434,False
ALL,,,,,,,,,,,,,,,,,,support_concentration,maximum_assessment_class_share,0.73171510699457043,False
ALL,,,,,,,,,,,,,,,,,,support_concentration,assessment_complete_trajectory_retention,0.50007985944737265,False
