model,multiclass_log_loss,multiclass_brier,top_one_accuracy,top_two_accuracy,top_three_accuracy,mean_reciprocal_rank,mean_probability_realised_class,macro_ovr_auc,expected_calibration_error,prediction_entropy,effective_candidate_count,rows,sessions,stocks,class_support,predicted_class_distribution,mean_predicted_probability_distribution,decision_ordinal,trajectory_comparison_available
T0,0.62547934107587766,0.37095600940648299,0.73749767199314631,0.96204976347450355,1,0.86242379657565726,0.62189693348519992,0.71817483621774603,0.01645850048079997,0.65332667004948775,1.9219238124717315,3131,157,20,"{""NO_REGISTERED_COMPLETION"": 2291, ""REGISTERED_COMPLETION"": 118, ""UNREGISTERED_LOOP"": 722}","{""NO_REGISTERED_COMPLETION"": 0.9352981711178158, ""REGISTERED_COMPLETION"": 0.0, ""UNREGISTERED_LOOP"": 0.06470182888218423}","{""NO_REGISTERED_COMPLETION"": 0.7204124804505383, ""REGISTERED_COMPLETION"": 0.04510731541547816, ""UNREGISTERED_LOOP"": 0.2344802041339837}",6,False
T0,0.72033756346339994,0.43448053062632236,0.66986814169180897,0.93965247513688677,1,0.82487615003538572,0.56504336270383571,0.73727324744141176,0.018839107326895508,0.72458187253586304,2.0638679596514438,3130,157,20,"{""NO_REGISTERED_COMPLETION"": 2017, ""REGISTERED_COMPLETION"": 194, ""UNREGISTERED_LOOP"": 919}","{""NO_REGISTERED_COMPLETION"": 0.7738983871568517, ""REGISTERED_COMPLETION"": 0.002547770700636943, ""UNREGISTERED_LOOP"": 0.22355384214251123}","{""NO_REGISTERED_COMPLETION"": 0.6232652702515451, ""REGISTERED_COMPLETION"": 0.06304010896923158, ""UNREGISTERED_LOOP"": 0.31369462077922344}",12,False
