model,target_class,support,mean_realised_probability,top_one_accuracy,top_two_accuracy,top_three_accuracy,ovr_auc,ovr_brier,trajectory_comparison_available
T0,REGISTERED_COMPLETION,312,0.10459239327523517,0.015992069429896755,0.044777794403710915,1,0.76262312319771075,0.045038123922066312,False
T0,UNREGISTERED_LOOP,1641,0.36300554729652579,0.28240658473654656,0.99574593607176121,1,0.71660828570915303,0.17224253710067927,False
T0,NO_REGISTERED_COMPLETION,4308,0.71658293624207658,0.91382716450304324,0.99930585436743435,1,0.7294089590418289,0.18543760899365713,False
