experiment_model_version,data_snapshot_id,contract_hash,experiment_run_id,model_name,nominated_forecasts,eligible_opportunities,no_tradeable_opportunity,total_gross_payoff_bps,total_cost_bps,total_net_payoff_bps,mean_net_payoff_bps,hit_rate,twice_cost_net_payoff_bps,one_bar_delay_observations,one_bar_delay_net_payoff_bps,entry_exit_overlap_cost_rules_changed,replacement_opportunity_used,capacity_refill_used
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,M1_destination_own_history,71,778,11,-6717.74585351,7780,-14497.7458535,-18.6346347731,0.480719794344,-22277.7458535,607,-4661.70578417,False,False,False
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,M2_undirected_system_state,82,904,11,-14418.4305175,9040,-23458.4305175,-25.9495912804,0.464601769912,-32498.4305175,670,-9879.09357754,False,False,False
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,M3_directed_family_rotation,82,887,11,-14656.7996421,8870,-23526.7996421,-26.5240131252,0.465614430665,-32396.7996421,653,-9047.43969422,False,False,False
